Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Harmony Pregnancy & Resource Center,721 NE 4th St,Chiefland,Florida (FL),32626,,http://harmonyprc.org/,https://goo.gl/maps/rJAXuCScjq12,https://www.facebook.com/harmonyprc.org/,https://www.yelp.com/biz/harmony-pregnancy-and-resource-center-chiefland
Bay Area Pregnancy Center  - Clearwater,2380 Drew St. #6,Clearwater,Florida (FL),33765,,www.mybapc.com,https://goo.gl/maps/9SXYxkEF9uj,https://www.facebook.com/mybapc/,https://www.yelp.com/biz/bay-area-pregnancy-center-clearwater-2
Bay Area Pregnancy Center - Clearwater Highpoint Center,5812 150th Avenue North,Clearwater,Florida (FL),33760,,www.mybapc.com,"https://www.google.com/search?q=bay%20area%20pregnancy%20center%20clearwater%20highpoint%20center&client=firefox-b-1-d&ei=mMZcYJfsB6exggf8wpLwDg&oq=bay+area+pregnancy+center+clearwater+highpoint+center&gs_lcp=Cgdnd3Mtd2l6EAMyBQghEKABMgUIIRCrAjIFCCEQqwIyBQghEKsCOgcIABBHELADOgsILhDHARCvARCTAjoHCCEQChCgAVC4vgdY8uMHYIXlB2gFcAJ4AIAB6wGIAaUfkgEGMi4yOS4xmAEAoAEBqgEHZ3dzLXdpesgBAsABAQ&sclient=gws-wiz&ved=2ahUKEwierYbo-svvAhXDmeAKHfLkDzcQvS4wAXoECAUQLg&uact=5&tbs=lf:1,lf_ui:4&tbm=lcl&rflfq=1&num=10&rldimm=15657751187895504077&lqi=CjViYXkgYXJlYSBwcmVnbmFuY3kgY2VudGVyIGNsZWFyd2F0ZXIgaGlnaHBvaW50IGNlbnRlciIDiAEBSMaGx-ScqoCACFqJAQoqYmF5IGFyZWEgcHJlZ25hbmN5IGNlbnRlciBoaWdocG9pbnQgY2VudGVyEAAQARACEAMQBRAGGAAYARgCGAMYBBgFGAYiNWJheSBhcmVhIHByZWduYW5jeSBjZW50ZXIgY2xlYXJ3YXRlciBoaWdocG9pbnQgY2VudGVyKgoIAhAAEAEQAhAFkgEObWVkaWNhbF9jbGluaWOqAT0QASo5IjViYXkgYXJlYSBwcmVnbmFuY3kgY2VudGVyIGNsZWFyd2F0ZXIgaGlnaHBvaW50IGNlbnRlcigA&rlst=f#rlfi=hd:;si:15657751187895504077,l,CjViYXkgYXJlYSBwcmVnbmFuY3kgY2VudGVyIGNsZWFyd2F0ZXIgaGlnaHBvaW50IGNlbnRlciIDiAEBSMaGx-ScqoCACFqJAQoqYmF5IGFyZWEgcHJlZ25hbmN5IGNlbnRlciBoaWdocG9pbnQgY2VudGVyEAAQARACEAMQBRAGGAAYARgCGAMYBBgFGAYiNWJheSBhcmVhIHByZWduYW5jeSBjZW50ZXIgY2xlYXJ3YXRlciBoaWdocG9pbnQgY2VudGVyKgoIAhAAEAEQAhAFkgEObWVkaWNhbF9jbGluaWOqAT0QASo5IjViYXkgYXJlYSBwcmVnbmFuY3kgY2VudGVyIGNsZWFyd2F0ZXIgaGlnaHBvaW50IGNlbnRlcigA;mv:[[27.9717803,-82.71171509999999],[27.9048367,-82.7404129]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!2m1!1e3,lf:1,lf_ui:4",https://www.facebook.com/mybapc/,
South Lake Pregnancy Care Center,221 N Frontage Rd Suite C,Clermont,Florida (FL),34711,,https://www.slpfcc.org/,https://goo.gl/maps/htAnzjQhcdn,https://www.facebook.com/SouthLakePregnancyCenter/,
Tree of Life Miami,133 Ponce de Leon Blvd.,Coral Gables,Florida (FL),33135,,https://www.treeoflifemiami.org/about,,https://www.facebook.com/LoveAndCarePregnancyResources/,
Wakulla Pregnancy Center,886 Woodville Highway,Crawfordville,Florida (FL),32327,,http://www.wakullapregnancycenter.org/,https://goo.gl/maps/pgoAygGfSDq,https://www.facebook.com/Wakulla-Pregnancy-Center-162340513815546/,https://www.yelp.com/biz/wakulla-pregnancy-center-crawfordville
Crestview Pregnancy Center,898 N Pearl St,Crestview,Florida (FL),32536,,https://www.crestviewpregnancycenter.org/,https://goo.gl/maps/ht5UsJ4GWZw,https://www.facebook.com/crestviewpregnancycenter/,
New Life Pregnancy & Resource Ctr,64 SE 9th Ave,Cross City,Florida (FL),32628,,http://newlifecrosscity.com/,https://goo.gl/maps/zmk4RokEkLA2,,
Citrus Pregnancy Center,726 NE Hwy 19,Crystal River,Florida (FL),34429,,www.citruspregnancy.org,https://goo.gl/maps/SRBxuxcuuLn,https://www.facebook.com/pg/CitrusPregnancyCenter,
Cornerstone Center for Women,37522 Meridian Ave,Dade City,Florida (FL),33525,,,https://goo.gl/maps/owTuUTAbiaD2,https://www.facebook.com/Cornerstone-Center-for-Women-119760205800/,https://www.yelp.com/biz/cornerstone-center-for-women-dade-city?osq=Cornerstone+Center+for+Women
Foundations of Life Pregnancy Center,37733 Meridian Ave,Dade City,Florida (FL),33525,,https://foundationsoflife.org/contact-us/dade-city-pregnancy-center/,https://goo.gl/maps/mKvrP7rvwYk,https://www.facebook.com/FOLPregnancyCtr/,
Mary's Pregnancy Resource Center,7705 Davie Road Extension,Davie,Florida (FL),33024,,https://www.maryspregnancyresourcecenter.org/,,,
Pregnancy Crisis Center,416 N Ridgewood Ave,Daytona Beach,Florida (FL),32114,,https://www.pccdaytona.org/,https://goo.gl/maps/ADKWT6VVRQG2,https://www.facebook.com/PCCDaytona/,https://www.yelp.com/biz/pregnancy-crisis-center-daytona-beach
Resources for Women - Daytona Beach,641 S Ridgewood Ave,Daytona Beach,Florida (FL),32114,,http://freepregtestdaytona.com/,https://goo.gl/maps/MhixFuYU4tE2,https://www.facebook.com/ResourcesForWomenDaytona/,https://www.yelp.com/biz/resources-for-women-daytona-beach
Pregnancy Support Center,295 Hwy. 90 West,DeFuniak Springs,Florida (FL),32433,,https://eridan.websrvcs.com/templates/System/details.asp?id=45328&PID=647341,https://goo.gl/maps/MEaJZ2xwP6y,https://www.facebook.com/Pregnancy-Support-Center-159463880741229/,https://www.yelp.com/biz/pregnancy-support-center-defuniak-springs
Grace House Pregnancy Center - DeLand,336 N Woodland Boulevard,DeLand,Florida (FL),32720,,www.gracehouseprc.org,https://goo.gl/maps/R2YNX2R73ct,https://www.facebook.com/GHPRC/,https://www.yelp.com/biz/grace-house-pregnancy-resource-center-deland?osq=Grace+House+Pregnancy+Center
Central Florida Pregnancy Center,"3151 Howland Blvd, Suite 1",Deltona,Florida (FL),32725,,https://optionsforu.org/,https://goo.gl/maps/wF3hQPwHz7n,https://www.facebook.com/OptionsForU.org,https://www.yelp.com/biz/central-florida-pregnancy-center-deltona
Family Hope Pregnancy Center,20892 Second Ave,Dunnellon,Florida (FL),34431,,https://www.familyhoperesource.org/,https://goo.gl/maps/UfiV1e1QMLR2,https://www.facebook.com/Family-Hope-Resource-Pregnancy-Center-384850214900067/,
Life Choices Women's Clinic,27 E. Pinehurst Blvd,Eustis,Florida (FL),32726,,https://www.lifeschoices.net/,"https://www.google.com/maps/place/Life's+Choices+Women's+Clinic/@28.8353782,-81.6846629,15z/data=!4m5!3m4!1s0x0:0x2877c17597a2d3f8!8m2!3d28.8353782!4d-81.6846629",,
Community Pregnancy Clinic - The Terraces,8660 College Parkway Suite 200,Fort Myers,Florida (FL),33919,,www.community4life.com and https://communitypregnancyclinic.com/fort-myers-clinic/,https://goo.gl/maps/kih1f4qAYQT2,,https://www.yelp.com/biz/community-pregnancy-clinics-fort-myers
Verity Pregnancy & Medical Resource Center,"8890 Salrose Lane, Ste 104",Fort Myers,Florida (FL),33912,,https://pregnancyfortmyers.com/ and  https://veritypmc.com/,https://goo.gl/maps/uphvYESSS6w,https://www.facebook.com/VerityFL/,
"Pregnancy Care Center, Inc.",1119 Delaware Ave,Fort Pierce,Florida (FL),34982,(772) 837-7100,https://pregnancycarecenters.org,https://goo.gl/maps/jiqJbhPzHzk,,https://www.yelp.com/biz/pregnancy-care-center-of-fort-pierce-fort-pierce
Fort Walton Beach Center for Women,117 Robinwood Dr SW,Fort Walton Beach,Florida (FL),32548,,www.fwbcenterforwomen.org,https://goo.gl/maps/GmEvCAyQP9E2,https://www.facebook.com/fwbcenterforwomen/,https://www.yelp.com/biz/fort-walton-beach-center-for-women-fort-walton-beach
Hope Women's Centers,"1400 E. Oakland Park Boulevard, Suite #201",Ft Lauderdale,Florida (FL),33334,,www.hopewomenscenters.org,https://goo.gl/maps/aPjiWEQPuV32,https://www.facebook.com/HopeWomensCenters,https://www.yelp.com/biz/hope-womens-centers-fort-lauderdale
Mary’s Pregnancy Resource Center,1120 SE 3rd Ave,Ft Lauderdale,Florida (FL),33316,,https://www.maryspregnancyresourcecenter.org/,"https://www.google.com/maps/place/Mary's+Pregnancy+Resource+Center/@26.1070465,-80.1403773,15z/data=!4m2!3m1!1s0x0:0x95db163f554534ab?sa=X&ved=2ahUKEwifmICtzuzkAhWqxFkKHXqcAWEQ_BIwCnoECA8QCA",https://www.facebook.com/MarysPregnancyResourceCenter/,
Pregnancy Help Center - Central Broward (Respect Life),"525 NE 13 Street, Unit 527",Ft. Lauderdale,Florida (FL),33304,,http://pregnancy911.org/ and https://respectlifemiami.org/,"https://www.google.com/maps/place/Pregnancy+Help+Center+-+Central+Broward+%2F+Respect+Life/@26.1424468,-80.138523,15z/data=!4m5!3m4!1s0x0:0x3a6b8a582a9d493c!8m2!3d26.1424468!4d-80.138523",,
A Woman's Answer Medical Center,"3601 SW 2nd Ave, Suite K",Gainesville,Florida (FL),32601,,www.awomansanswer.net,https://goo.gl/maps/gpDngfvJfTR2,https://www.facebook.com/AWomansAnswerMedicalCenter/,https://www.yelp.com/biz/a-womans-answer-medical-center-gainesville
Community Pregnancy Clinics - Gainesville,"1800 W University Ave, Suite 310",Gainesville,Florida (FL),32603,,https://communitypregnancyclinic.com/gainesville-clinic/ and https://community4life.com/,"https://www.google.com/maps/place/1800+W+University+Ave+Suite+310,+Gainesville,+FL+32603/@29.652256,-82.346582,15z/data=!4m5!3m4!1s0x88e8a378f4a8c01b:0xbb0863b74d29111b!8m2!3d29.6522559!4d-82.3465822?hl=en",,
Sira,912 NW 13th St,Gainesville,Florida (FL),32601,,www.siragainesville.com,https://goo.gl/maps/BEFXyxfWYES2,https://www.facebook.com/siragainesville/,
The Pregnancy Center of Gadsden County,106 NE 1st ST,Havana,Florida (FL),32333,,https://www.pregnancycentergadsdencounty.org,https://goo.gl/maps/PxySnmKLMgQ2,https://www.facebook.com/pregnancycenterofgadsdencounty/,
Hialeah Pregnancy Help Medical Clinic (Heartbeat of Miami),390 West 49th Street,Hialeah,Florida (FL),33012,,http://www.pregnancyhelpclinics.org/en and https://heartbeatofmiami.org/,https://goo.gl/maps/WeMzaZrndzR2,https://www.facebook.com/Heartbeatofmiami/,https://www.yelp.com/biz/pregnancy-help-medical-clinic-hialeah-2
Crossroads Pregnancy Center,19930 N US Highway 441 Suite A,High Springs,Florida (FL),32643,,www.cpchighsprings.org,https://goo.gl/maps/mF3qYYQPkx82,https://www.facebook.com/cpchighsprings/,https://www.yelp.com/biz/crossroads-pregnancy-center-high-springs
Hope Women's Center ,3990 Sheridan St #101,Hollywood,Florida (FL),33021,,,"https://www.google.com/search?client=firefox-b-1-d&tbs=lf:1,lf_ui:4&tbm=lcl&q=hope+women%27s+center+sunrise+fl&rflfq=1&num=10&sa=X&ved=2ahUKEwjawvjPi8zvAhWQVN8KHWh-Be8QjGp6BAgMEEc&biw=1608&bih=863#rlfi=hd:;si:2884240464164567315,l,Ch5ob3BlIHdvbWVuJ3MgY2VudGVyIHN1bnJpc2UgZmwiA4gBAUiuuZCu1JWAgAhaQwoTaG9wZSB3b21lbidzIGNlbnRlchAAEAEQAhgAGAEYAhgEIh5ob3BlIHdvbWVuJ3MgY2VudGVyIHN1bnJpc2UgZmySARxvYnN0ZXRyaWNzX2d5bmVjb2xvZ3lfY2xpbmljqgEbEAEqFyITaG9wZSB3b21lbidzIGNlbnRlcigA;mv:[[26.230232599999997,-80.1192944],[25.9964493,-80.2881749]]",,
Pregnancy Help Center - South Broward (Respect Life),"4747 Hollywood Blvd., Suite 101",Hollywood,Florida (FL),33021,,http://pregnancy911.org/ and https://respectlifemiami.org/,https://goo.gl/maps/aoWZ1CM4LQz,https://www.facebook.com/RespectLifeMinistryMiami/,https://www.yelp.com/biz/respect-life-archdiocese-of-miami-hollywood
"Immokalee Pregnancy Center, Inc.",1011 W Main St Ste 1,Immokalee,Florida (FL),34142,,www.immokaleepregnancy.com,"https://www.google.com/maps/place/Immokalee+Pregnancy+Center,+Inc./@26.41811,-81.4302557,17z/data=!3m1!4b1!4m5!3m4!1s0x88dba423204866b7:0x14e13032f3f382bd!8m2!3d26.41811!4d-81.428067",https://www.facebook.com/Immokalee-Pregnancy-Center-Inc-151701968205743/,https://www.yelp.com/biz/immokalee-pregnancy-center-immokalee
Citrus Pregnancy Center,3185 E THOMAS ST,Inverness,Florida (FL),34452,,www.citruspregnancy.org,https://goo.gl/maps/YSSUUjtK3HJ2,https://www.facebook.com/pg/CitrusPregnancyCenter,http://www.yelp.com/biz/citrus-pregnancy-center-inverness-2
Pregnancy & Family Life Center of Citrus County,317 W Tompkins St,Inverness,Florida (FL),34450,,https://pflcenter.org/health.php,https://goo.gl/maps/Bqc93oik6w82,https://www.facebook.com/pflcenter/,https://www.yelp.com/biz/pregnancy-and-family-life-center-inverness-2?fsid=vUJbEUkyKXj-0I99Pjr05g
Baby Luv Pregnancy Center,5540 Ortega Farms Blvd,Jacksonville,Florida (FL),32244,,http://chojax.org/events/baby-luv-pregnancy-center/,https://goo.gl/maps/rg7i4wJQSWN2,https://www.facebook.com/Baby-Luv-Pregnancy-Center-212456949343953/,https://www.yelp.com/biz/baby-luv-pregnancy-jacksonville
Emergency Pregnancy Services - Arlington,6903 Merrill Rd,Jacksonville,Florida (FL),32277,,https://www.emergencypregnancyservices.org/,"https://www.google.com/maps/place/Emergency+Pregnancy+Services-Arlington/@30.352211,-81.583304,15z/data=!4m5!3m4!1s0x0:0x7449343b9c49c8fb!8m2!3d30.352211!4d-81.583304",https://www.facebook.com/Emergency-Pregnancy-Services-143586872344260/,https://www.yelp.com/biz/emergency-pregnancy-services-of-arlington-jacksonville
Emergency Pregnancy Services - Riverside,1637 King St,Jacksonville,Florida (FL),32204,,https://www.emergencypregnancyservices.org/,https://goo.gl/maps/emqhgWmZctR2,https://www.facebook.com/Emergency-Pregnancy-Services-143586872344260/,https://www.yelp.com/biz/emergency-pregnancy-service-jacksonville
First Coast Women's Services - Mandarin,11215 San Jose Blvd,Jacksonville,Florida (FL),32223,,www.fcws.org,"https://www.google.com/maps/place/First+Coast+Women's+Services/@30.1711281,-81.6287696,15z/data=!4m5!3m4!1s0x0:0xbc45627aa1c27c84!8m2!3d30.1711281!4d-81.6287696",https://www.facebook.com/fcwsprc/,https://www.yelp.com/biz/first-coast-womens-services-jacksonville
"Lifeline Resources, Inc.",3733 Southside Blvd #8,Jacksonville,Florida (FL),32216,,https://www.scaredandpregnant.org/,https://goo.gl/maps/Q13DKjGFZg72,https://www.facebook.com/LifelineResourcesInc/,
The Nest Women's Center,8264 Old Plank Road,Jacksonville,Florida (FL),32220,,http://www.thenestwomenscenter.org/,https://goo.gl/maps/HwKm8Ry5JZq,https://www.facebook.com/thenestjax/,
Women's Help Center - Jacksonville,4209 University Blvd S,Jacksonville,Florida (FL),32216,,https://pregnancyjacksonville.com/ (parent site: www.whcjax.org),https://goo.gl/maps/DNvzM4Cpozm,https://www.facebook.com/whcjax,https://www.yelp.com/biz/womens-help-center-jacksonville-2
Women's Help Center - Jacksonville Westside,4116 Blanding Blvd,Jacksonville,Florida (FL),32210,,https://pregnancyjacksonville.com/ (parent site: www.whcjax.org),"https://www.google.com/maps/place/Women's+Help+Center/@30.265131,-81.738856,15z/data=!4m5!3m4!1s0x0:0x3f4887c48c256bb4!8m2!3d30.265131!4d-81.738856",,
First Coast Women's Services - Northside,404 Owens Road,Jacksonville ,Florida (FL),32218,,www.fcws.org,"https://www.google.com/maps/place/First+Coast+Women's+Services/@30.4906387,-81.6345503,15z/data=!4m5!3m4!1s0x0:0x60f6928936b566d8!8m2!3d30.4906387!4d-81.6345503",https://www.facebook.com/fcwsprc/,
Women's Help Center - Samuel Wells,3599 University Blvd. S. #1201,Jacksonville ,Florida (FL),32216,,https://pregnancyjacksonville.com/ (parent site: www.whcjax.org),,,
Jasper Pregnancy Care Center,507 Hatley St W,Jasper,Florida (FL),32052,,"www.northfloridapregnancy.com, www.friendsofpcc.com",https://goo.gl/maps/EuNfKduQbaR2,https://www.facebook.com/PregnancyCareCenterNorthFlorida/,
Pregnancy Center of Jasper,1114 Hatley St W.,Jasper,Florida (FL),32052,,,"https://www.google.com/maps/place/Pregnancy+Care+Center/@30.518523,-82.957731,15z/data=!4m2!3m1!1s0x0:0x157fdb3b227fd131?sa=X&ved=2ahUKEwir9IL6mszvAhWsnOAKHZKXBo8Q_BIwCnoECBYQBQ",https://www.facebook.com/PregnacyCareCenterNorthFlorida,
Answers Resource Facility Inc,115 Commercial Circle,Keystone Heights,Florida (FL),32656,,www.findanswersnow.org,https://goo.gl/maps/oSk5bwPKkMB2,https://www.facebook.com/pg/findanswersnow,
Beyond Pregnancy Care Center,1541 Mill Slough Road,Kissimmee,Florida (FL),34744,,https://www.beyondpregnancycare.com/,"https://www.google.com/maps/place/Beyond+Pregnancy+Care/@28.3154258,-81.3814086,15z/data=!4m2!3m1!1s0x0:0x45162a71c9ca169a?sa=X&ved=2ahUKEwiV_Mm5_MvvAhVNTt8KHYiXCPgQ_BIwC3oECB4QBQ",https://www.facebook.com/BeyondPregnancyCC/,
JMJ Pregnancy Center,800 North Rose Avenue (new location),Kissimmee,Florida (FL),34741,,www.jmjpc.org,https://goo.gl/maps/LqYYGPdhHWo,https://www.facebook.com/JMJPregnancyCenter/,https://www.yelp.com/biz/jmj-pregnancy-center-orlando
Osceola Pregnancy Center,1340 W Columbia Ave,Kissimmee,Florida (FL),34741,,www.opchelp.org,https://goo.gl/maps/7zNkKQkgtQA2,https://www.facebook.com/OsceolaPregnancyCenter/,
Pregnancy Care Center,130 NW Hilton Avenue,Lake City,Florida (FL),32055,,"www.northfloridapregnancy.com, www.friendsofpcc.com",https://goo.gl/maps/a2N7xLPqGNv,https://www.facebook.com/PregnancyCareCenterNorthFlorida/,https://www.yelp.com/biz/pregnancy-care-center-of-lake-city-lake-city
Solutions Mobile Unit at BRIDGES - Lake Park,1411 10th Street,Lake Park,Florida (FL),33403,,https://solutionsmobileunit.org/,,https://www.facebook.com/solutionsmobileunit/?pageid=1774002079485209&ftentidentifier=2583876938497715&padding=0,
Choices Family Resource Center,225 East Royal Palm St,Lake Placid,Florida (FL),33852,,https://choicesfrc.com/,https://goo.gl/maps/NL95w5fMrxE2,https://www.facebook.com/ChoicesFRC/,
Choices Pregnancy Care Program,210 Dr J A Wiltshire Ave E,Lake Wales,Florida (FL),33853,,www.choiceslakewales.com,https://goo.gl/maps/ZrpJZ6uhErt,,
Palm Beach Women's Clinic (formerly First Care) - Lake Worth ,3965 South Jog Road,Lake Worth,Florida (FL),33467,,https://palmbeachwc.org/ and https://firstcareforlife.com/,https://goo.gl/maps/BvPXXYyzTmN2,https://www.facebook.com/FirstCareWomensClinic/,https://www.yelp.com/biz/first-care-womens-clinic-lake-worth
Solutions Mobile Unit at BRIDGES - Lake Worth West,4730 Maine Street,Lake Worth,Florida (FL),33461,,https://solutionsmobileunit.org/,,https://www.facebook.com/solutionsmobileunit/?pageid=1774002079485209&ftentidentifier=2583876938497715&padding=0,
A Woman's Choice,1234 E Lime St,Lakeland,Florida (FL),33801,,www.yourchoicelakeland.com,https://goo.gl/maps/8qM7cCwNUAq,https://www.facebook.com/pg/awomanschoicelakeland,https://www.yelp.com/biz/a-womans-choice-a-medical-program-for-women-lakeland?
Options for Women Pregnancy Help Clinic,4435 Florida National Drive,Lakeland,Florida (FL),33813,,"www.optionsforwomeninfo.com, www.optionsforwomenphc.com",https://goo.gl/maps/e4ZfdfzgNsB2,https://www.facebook.com/optionsforwomenphc/,https://www.yelp.com/biz/options-for-women-pregnancy-help-clinic-lakeland
Oasis Pregnancy Care Center,3632 Land O'Lakes Blvd #108,Land O'Lakes,Florida (FL),34639,,https://oasispregnancycenter.org/,https://goo.gl/maps/xj4iyucmnbx,https://www.facebook.com/pg/Oasis.Pregnancy.Care.Centers,https://www.yelp.com/biz/oasis-pregnancy-care-centers-land-o-lakes
Pregnancy Care Center,"1309 High Street, Building 104",Leesburg,Florida (FL),34748,,https://www.3choicespregnancy.com/ and https:// www.christiancarecenter.org/pregnancyandfamilycarecenter,https://goo.gl/maps/HVpHT6LMiwj,https://www.facebook.com/CCCLeesburg/,https://www.yelp.com/biz/christian-care-medical-center-leesburg
Guiding Star Tampa (AKA Life Choices),18560 North Dale Mabry Highway,Lutz,Florida (FL),33548,,www.guidingstartampa.org,https://goo.gl/maps/UuHtgDW1MA32,https://www.facebook.com/guidingstartampa/,https://www.yelp.com/biz/guiding-star-tampa-lutz-2
First Coast Women's Services - Baker County,368 S 5th St,MacClenny,Florida (FL),32063,,www.fcws.org,https://goo.gl/maps/h389qjX4Myy,https://www.facebook.com/fcwsprc/,
A Women's Pregnancy Center,345 NW Marion St,Madison,Florida (FL),32340,,https://womensprc.org/,https://goo.gl/maps/kMKmE1sBqso,https://www.facebook.com/pages/A-Womens-Pregnancy-Center/159156037448317,
Respect Life North Broward,5115 Coconut Creek Pkwy,Margate,Florida (FL),33063,,https://pregnancyhelpsfl.org/,https://goo.gl/maps/zXeFDy8hDcU2,https://www.facebook.com/Respect-Life-408007289239364/,https://www.yelp.com/biz/respect-life-archdiocese-of-miami-margate
A Women's Pregnancy Center of Marianna,4469A Clinton St,Marianna,Florida (FL),32446,,http://www.awpcmarianna.com/,https://goo.gl/maps/ZbtSP8Wq1n42,https://www.facebook.com/A-Womens-Pregnancy-Center-Marianna-117698544951270/,https://www.yelp.com/biz/a-womens-pregnancy-center-marianna
Tri-County Pregnancy Center,20098 N. Hwy 441,Micanopy,Florida (FL),32667,,https://www.tcpcfl.com/,https://goo.gl/maps/ietPG37jB7N2,https://www.facebook.com/Tri-County-Pregnancy-Center-181217855233746/,
Birthright,814 Melbourne Ave,Melbourne,Florida (FL),32901,,http://birthright.org/melbourne,https://goo.gl/maps/7ZMtUurzW5B2,https://www.facebook.com/BirthrightInternational/,https://www.yelp.com/biz/birthright-of-melbourne-melbourne
Agape Pregnancy Center,300 Magnolia Ave. Suite C,Merritt Island,Florida (FL),32952,,https://www.apcbrevard.com/,https://goo.gl/maps/8hWvr2TLjXNKmumx5,https://www.facebook.com/apc.helps,https://www.yelp.com/biz/alternative-pregnancy-center-merritt-island
Flagler Pregnancy Help Medical Clinic (Heartbeat of Miami),4391 W Flagler St,Miami,Florida (FL),33134,,http://www.pregnancyhelpclinics.org/en and https://heartbeatofmiami.org/,https://goo.gl/maps/TXB4JzZLehQ2,https://www.facebook.com/Heartbeatofmiami/,https://www.yelp.com/biz/flagler-pregnancy-help-medical-clinics-coral-gables
Grace Women's Care Center,10112 SW 107th Ave,Miami,Florida (FL),33176,,http://www.gracewomenscarecenter.org/,"https://www.google.com/maps/place/Grace+Women's+Care+Center/@25.6723917,-80.3677752,15z/data=!4m2!3m1!1s0x0:0xfca8b999b2485f03?sa=X&ved=2ahUKEwjVz7Tuh8zvAhX-FFkFHRq-D4AQ_BIwCnoECCAQBQ",https://www.facebook.com/gracepregnancycenter/,
