,url,distance,address,state
39,https://www.plannedparenthood.org/health-center/new-york/plattsburgh/12901/plattsburgh-clinic-3315-91210,3.6,"66 Brinkerhoff Street, Plattsburgh, NY 12901",NY
43,https://www.plannedparenthood.org/health-center/new-york/batavia/14020/batavia-health-center-2353-91040,1.7,"222 W Main Street, Batavia, NY 14020",NY
45,https://www.plannedparenthood.org/health-center?location=10012&service=&channel=any,1.1,"26 Bleecker Street, New York, NY 10012",NY
47,https://www.plannedparenthood.org/health-center/new-york/patchogue/11772/patchogue-center-2317-91220,12.6,"450 Waverly Ave, Suite 4, Patchogue, NY 11772",NY
48,https://www.plannedparenthood.org/health-center/new-york/albany/12206/albany-health-center-3336-91020,5.1,"855 Central Ave., Albany, NY 12206",NY
49,https://www.nychealthandhospitals.org/queens/our-services/womens-health/,2.4,"82-68 164th Street, Jamaica, NY 11432",NY
54,https://www.plannedparenthood.org/health-center/new-york/north-tonawanda/14120/north-tonawanda-health-center-2977-91040,1.0,"15 Webster Street, North Tonawanda, NY 14120",NY
57,http://www.institute.org/health-care/services/womens-health-care/,0.6,"230 West 17th Street, 6th and 7th Fl., New York, NY 10011",NY
58,https://www.plannedparenthood.org/health-center/new-york/ithaca/14850/ithaca-health-center-3333-91090,18.8,"620 West Seneca Street, Ithaca, NY 14850",NY
63,http://www.columbiaobgyn.org/divisions/family-planning-preventive-services#.VhKawPkwuPY,0.8,"1790 Broadway, New York, NY 10019",NY
64,https://www.womensclinicmd.org/,0.8,"37-54 75th Street, Jackson Heights, NY 11372",NY
66,https://www.plannedparenthood.org/health-center/new-york/kingston/12401/kingston-health-center-2623-91160,1.7,"21 Grand Street, Kingston, NY 12401",NY
68,https://www.plannedparenthood.org/health-center/new-york/schenectady/12307/schenectady-center-4192-91180,0.4,"1040 State Street, Schenectady, NY 12307",NY
72,https://www.afshariobgyn.com/telehealth,2.2,"216-4 Union Turnpike, Oakland Gardens, NY 11364",NY
76,https://www.plannedparenthood.org/health-center/new-york/brooklyn/11201/joan-malin-brooklyn-health-center-2522-91110,0.5,"44 Court Street, 6th Floor, Brooklyn, NY 11201",NY
77,https://www.plannedparenthood.org/health-center/new-york/hudson/12534/hudson-health-center-2380-91020,1.5,"804 Columbia St., Hudson, NY 12534",NY
78,http://www.womenshlthhorizons.com/,1.9,"824 Franklin Park Drive, East Syracuse, NY 13057",NY
79,https://www.southerntierwomenshealth.com/,8.4,"149 Vestal Parkway W, Vestal, NY 13850",NY
85,https://www.plannedparenthood.org/health-center/new-york/buffalo/14214/buffalo-health-center-3334-91040,2.6,"60 E Amherst St, Buffalo, NY 14214",NY
103,https://www.plannedparenthood.org/health-center/new-york/saratoga-springs/12866/saratoga-springs-center-2776-91180,6.2,"236 Washington Street, Saratoga Springs, NY 12866",NY
