,token,Total0,Total1,Total2,Total3,Total4,Total5,Total6
125,american,0.0,0.0,0.0,0.0,2.0,0.0,0.0
126,americas,0.0,0.0,0.0,0.0,1.0,0.0,0.0
127,america’s,0.0,1.0,1.0,1.0,0.0,1.0,1.0
128,ames,0.0,0.0,0.0,0.0,0.0,0.0,4.0
129,among,0.0,1.0,1.0,1.0,0.0,1.0,1.0
130,amount,0.0,4.0,4.0,4.0,3.0,4.0,4.0
131,analystnyc,0.0,1.0,1.0,1.0,0.0,1.0,1.0
132,analytics,0.0,2.0,2.0,2.0,0.0,2.0,2.0
133,anatomy,0.0,2.0,2.0,2.0,0.0,2.0,2.0
134,anchor,0.0,0.0,0.0,0.0,1.0,0.0,0.0
135,andorra,0.0,0.0,0.0,0.0,1.0,0.0,0.0
136,angola,0.0,0.0,0.0,0.0,1.0,0.0,0.0
137,anguilla,0.0,0.0,0.0,0.0,1.0,0.0,0.0
138,anillo,0.0,2.0,2.0,2.0,0.0,2.0,2.0
139,ann,0.0,0.0,0.0,0.0,1.0,0.0,0.0
140,anne,0.0,0.0,0.0,0.0,1.0,0.0,0.0
141,annual,0.0,4.0,4.0,4.0,0.0,4.0,4.0
142,anonymous,0.0,2.0,2.0,2.0,16.0,2.0,2.0
143,answer,0.0,2.0,2.0,2.0,4.0,2.0,2.0
144,answering,0.0,2.0,2.0,2.0,0.0,2.0,2.0
145,answers,0.0,5.0,5.0,5.0,0.0,5.0,5.0
146,antarctica,0.0,0.0,0.0,0.0,1.0,0.0,0.0
147,anticonception,0.0,0.0,0.0,0.0,1.0,0.0,0.0
148,anticonceptivo,0.0,1.0,1.0,1.0,0.0,1.0,1.0
149,antigua,0.0,0.0,0.0,0.0,1.0,0.0,0.0
150,any,0.0,15.0,15.0,15.0,2.0,15.0,15.0
151,anything,0.0,1.0,1.0,1.0,0.0,1.0,1.0
152,anytime,0.0,1.0,1.0,0.0,0.0,1.0,1.0
153,anywhere—no,0.0,1.0,1.0,1.0,0.0,1.0,1.0
154,api,0.0,1.0,1.0,1.0,0.0,1.0,1.0
155,apis,0.0,0.0,0.0,0.0,1.0,0.0,0.0
156,app,0.0,8.0,8.0,8.0,0.0,8.0,8.0
157,apparel,0.0,1.0,1.0,1.0,0.0,1.0,1.0
158,appear,0.0,2.0,2.0,2.0,0.0,2.0,2.0
159,appelle,0.0,0.0,0.0,0.0,2.0,0.0,0.0
160,appends,0.0,2.0,2.0,2.0,0.0,2.0,2.0
161,applicant,0.0,1.0,1.0,1.0,0.0,1.0,1.0
162,apply,0.0,2.0,2.0,2.0,1.0,2.0,2.0
163,appointment,0.0,10.0,10.0,10.0,1.0,10.0,10.0
164,appointments,0.0,2.0,2.0,2.0,0.0,2.0,2.0
165,approach,0.0,0.0,0.0,0.0,1.0,0.0,0.0
166,apr,0.0,0.0,0.0,0.0,6.0,0.0,0.0
167,arab,0.0,0.0,0.0,0.0,2.0,0.0,0.0
168,arabia,0.0,0.0,0.0,0.0,1.0,0.0,0.0
169,archived,0.0,1.0,1.0,1.0,0.0,1.0,1.0
170,argentina,0.0,0.0,0.0,0.0,1.0,0.0,0.0
171,ariana,0.0,0.0,0.0,0.0,4.0,0.0,0.0
172,arizona,0.0,0.0,0.0,0.0,1.0,0.0,0.0
173,arkansas,0.0,0.0,0.0,0.0,1.0,0.0,0.0
174,arm,0.0,3.0,3.0,3.0,0.0,3.0,3.0
175,armed,0.0,0.0,0.0,0.0,3.0,0.0,0.0
176,armenia,0.0,0.0,0.0,0.0,1.0,0.0,0.0
177,army,0.0,12.0,0.0,0.0,0.0,0.0,0.0
178,arrangements,0.0,1.0,1.0,1.0,0.0,1.0,1.0
179,array,0.0,5.0,5.0,5.0,0.0,5.0,5.0
180,arrow,0.0,6.0,6.0,6.0,0.0,6.0,6.0
181,arrows,0.0,0.0,0.0,0.0,1.0,0.0,0.0
182,art,0.0,1.0,1.0,1.0,0.0,1.0,1.0
183,aruba,0.0,0.0,0.0,0.0,1.0,0.0,0.0
184,ascension,0.0,0.0,0.0,0.0,1.0,0.0,0.0
185,ask,0.0,7.0,7.0,7.0,1.0,7.0,7.0
186,asked,0.0,5.0,5.0,5.0,1.0,5.0,5.0
187,aspect,0.0,0.0,0.0,0.0,1.0,0.0,0.0
188,aspiration,0.0,0.0,0.0,0.0,1.0,0.0,0.0
189,assault,0.0,6.0,6.0,6.0,0.0,6.0,6.0
190,assoc,0.0,2.0,2.0,2.0,0.0,2.0,2.0
191,atlantic,0.0,5.0,5.0,5.0,0.0,5.0,5.0
192,attack,0.0,2.0,2.0,2.0,0.0,2.0,2.0
193,attacks,0.0,9.0,9.0,9.0,0.0,9.0,9.0
194,attorneynyc,0.0,1.0,1.0,1.0,0.0,1.0,1.0
195,attribute,0.0,0.0,0.0,0.0,1.0,0.0,0.0
196,attributefilter,0.0,1.0,1.0,1.0,0.0,1.0,1.0
197,attributes,0.0,1.0,1.0,1.0,0.0,1.0,1.0
198,aug,0.0,0.0,0.0,0.0,2.0,0.0,0.0
199,australia,0.0,0.0,0.0,0.0,1.0,0.0,0.0
200,austria,0.0,0.0,0.0,0.0,1.0,0.0,0.0
201,auth,0.0,2.0,2.0,2.0,0.0,2.0,2.0
202,auto,0.0,2.0,2.0,2.0,1.0,2.0,2.0
203,autocomplete,0.0,0.0,0.0,0.0,1.0,0.0,0.0
204,autofocus,0.0,1.0,1.0,1.0,0.0,1.0,1.0
205,automatic,0.0,2.0,2.0,2.0,0.0,2.0,2.0
206,autopopulate,0.0,4.0,4.0,4.0,0.0,4.0,4.0
207,availabilities,0.0,1.0,1.0,1.0,0.0,1.0,1.0
208,available,0.0,9.0,9.0,9.0,1.0,9.0,9.0
209,ave,0.0,0.0,0.0,1.0,0.0,0.0,0.0
210,avenue,0.0,0.0,1.0,0.0,0.0,0.0,0.0
211,avera,0.0,1.0,1.0,1.0,0.0,1.0,1.0
212,average,0.0,0.0,0.0,0.0,1.0,0.0,0.0
213,avoid,0.0,0.0,0.0,0.0,2.0,0.0,0.0
214,awesome,0.0,0.0,0.0,0.0,8.0,0.0,0.0
215,ayudarte,0.0,1.0,1.0,1.0,0.0,1.0,1.0
216,azerbaijan,0.0,0.0,0.0,0.0,1.0,0.0,0.0
217,back,0.0,9.0,9.0,9.0,0.0,9.0,9.0
218,background,0.0,25.0,25.0,25.0,11.0,25.0,25.0
219,bad,0.0,2.0,2.0,2.0,1.0,2.0,2.0
220,badword,0.0,3.0,3.0,3.0,0.0,3.0,3.0
221,badwordfilter,0.0,1.0,1.0,1.0,0.0,1.0,1.0
222,badwords,0.0,1.0,1.0,1.0,0.0,1.0,1.0
223,bahamas,0.0,0.0,0.0,0.0,1.0,0.0,0.0
224,bahrain,0.0,0.0,0.0,0.0,1.0,0.0,0.0
225,ban,0.0,3.0,3.0,3.0,1.0,3.0,3.0
226,bangladesh,0.0,0.0,0.0,0.0,1.0,0.0,0.0
227,bank,0.0,2.0,2.0,2.0,0.0,2.0,2.0
228,bans,0.0,15.0,15.0,15.0,0.0,15.0,15.0
229,bar,0.0,0.0,0.0,0.0,1.0,0.0,0.0
230,barbados,0.0,0.0,0.0,0.0,1.0,0.0,0.0
231,barbuda,0.0,0.0,0.0,0.0,1.0,0.0,0.0
232,barrier,0.0,0.0,0.0,0.0,1.0,0.0,0.0
233,barthélemy,0.0,0.0,0.0,0.0,1.0,0.0,0.0
234,basados,0.0,2.0,2.0,2.0,0.0,2.0,2.0
235,based,0.0,3.0,3.0,3.0,0.0,3.0,3.0
236,basic,0.0,4.0,4.0,4.0,0.0,4.0,4.0
237,basta,0.0,1.0,1.0,1.0,0.0,1.0,1.0
238,bcbs,0.0,1.0,0.0,1.0,0.0,1.0,1.0
239,bccbid,0.0,4.0,4.0,4.0,0.0,4.0,4.0
240,bcload,0.0,1.0,1.0,1.0,0.0,1.0,1.0
241,bday,0.0,0.0,0.0,0.0,1.0,0.0,0.0
242,because,0.0,2.0,2.0,2.0,2.0,2.0,2.0
243,become,0.0,3.0,3.0,3.0,0.0,3.0,3.0
244,becomes,0.0,2.0,2.0,2.0,0.0,2.0,2.0
245,been,0.0,5.0,5.0,5.0,5.0,5.0,5.0
246,before,0.0,5.0,5.0,5.0,6.0,5.0,5.0
247,began,0.0,0.0,0.0,0.0,2.0,0.0,0.0
248,behance,0.0,0.0,0.0,0.0,1.0,0.0,0.0
249,being,0.0,2.0,2.0,2.0,10.0,2.0,2.0
250,belarus,0.0,0.0,0.0,0.0,1.0,0.0,0.0
251,belgium,0.0,0.0,0.0,0.0,1.0,0.0,0.0
252,belief,0.0,0.0,0.0,0.0,2.0,0.0,0.0
253,believe,0.0,1.0,1.0,1.0,0.0,1.0,1.0
254,belize,0.0,0.0,0.0,0.0,1.0,0.0,0.0
255,below,0.0,4.0,3.0,4.0,0.0,4.0,4.0
256,benefits,0.0,1.0,1.0,1.0,0.0,1.0,1.0
257,benin,0.0,0.0,0.0,0.0,1.0,0.0,0.0
258,bermuda,0.0,0.0,0.0,0.0,1.0,0.0,0.0
259,best,0.0,2.0,2.0,2.0,4.0,2.0,2.0
260,better,0.0,1.0,1.0,1.0,0.0,1.0,1.0
261,between,0.0,1.0,1.0,1.0,0.0,1.0,1.0
262,bhutan,0.0,0.0,0.0,0.0,1.0,0.0,0.0
263,big,0.0,0.0,0.0,0.0,2.0,0.0,0.0
264,bill,0.0,1.0,1.0,1.0,0.0,1.0,1.0
265,billion,0.0,0.0,0.0,0.0,6.0,0.0,0.0
266,bills,0.0,1.0,1.0,1.0,0.0,1.0,1.0
267,bind,0.0,1.0,1.0,1.0,0.0,1.0,1.0
268,birth,0.0,37.0,37.0,37.0,9.0,37.0,38.0
269,black,0.0,1.0,1.0,1.0,0.0,1.0,1.0
270,block,0.0,5.0,5.0,5.0,0.0,5.0,5.0
271,blockquote,0.0,0.0,0.0,0.0,10.0,0.0,0.0
272,blog,0.0,12.0,12.0,12.0,0.0,12.0,12.0
273,bluffs,0.0,0.0,0.0,6.0,0.0,0.0,0.0
274,blur,0.0,1.0,1.0,1.0,0.0,1.0,1.0
275,bodies,0.0,12.0,12.0,12.0,0.0,12.0,12.0
276,body,0.0,3.0,3.0,3.0,13.0,3.0,3.0
277,bogus,0.0,1.0,1.0,1.0,0.0,1.0,1.0
278,bold,0.0,1.0,1.0,1.0,0.0,1.0,1.0
279,boldchat,0.0,10.0,10.0,10.0,0.0,10.0,10.0
280,boldchatevent,0.0,1.0,1.0,1.0,0.0,1.0,1.0
281,boldchatintervalid,0.0,1.0,1.0,1.0,0.0,1.0,1.0
282,boldchatlinks,0.0,1.0,1.0,1.0,0.0,1.0,1.0
283,boldchattimeoutid,0.0,1.0,1.0,1.0,0.0,1.0,1.0
284,boldchatwrapper,0.0,1.0,1.0,1.0,0.0,1.0,1.0
285,bolivia,0.0,0.0,0.0,0.0,1.0,0.0,0.0
286,book,0.0,7.0,7.0,7.0,0.0,7.0,7.0
287,border,0.0,0.0,0.0,0.0,1.0,0.0,0.0
288,borders,0.0,0.0,0.0,0.0,1.0,0.0,0.0
289,bosnia,0.0,0.0,0.0,0.0,1.0,0.0,0.0
290,both,0.0,3.0,3.0,3.0,2.0,3.0,3.0
291,bothinfo,0.0,1.0,1.0,1.0,0.0,1.0,1.0
292,botswana,0.0,0.0,0.0,0.0,1.0,0.0,0.0
293,bottom,0.0,1.0,1.0,1.0,0.0,1.0,1.0
294,bottorff,0.0,0.0,0.0,0.0,1.0,0.0,0.0
295,bouvet,0.0,0.0,0.0,0.0,1.0,0.0,0.0
296,box,0.0,2.0,2.0,2.0,0.0,2.0,2.0
297,brad,0.0,0.0,0.0,0.0,1.0,0.0,0.0
298,brand,0.0,1.0,1.0,1.0,0.0,1.0,1.0
299,brazil,0.0,0.0,0.0,0.0,1.0,0.0,0.0
300,breaking,0.0,1.0,1.0,1.0,0.0,1.0,1.0
301,breaks,0.0,1.0,0.0,1.0,0.0,1.0,1.0
302,bring,0.0,3.0,3.0,3.0,0.0,3.0,3.0
303,brings,0.0,2.0,2.0,2.0,0.0,2.0,2.0
304,british,0.0,0.0,0.0,0.0,2.0,0.0,0.0
305,brix,0.0,0.0,0.0,0.0,1.0,0.0,0.0
306,brown,0.0,0.0,0.0,0.0,1.0,0.0,0.0
307,browser,0.0,1.0,1.0,1.0,4.0,1.0,1.0
308,brunei,0.0,0.0,0.0,0.0,1.0,0.0,0.0
309,bucket,0.0,1.0,1.0,1.0,0.0,1.0,1.0
310,budget,0.0,1.0,1.0,1.0,0.0,1.0,1.0
311,bulgaria,0.0,0.0,0.0,0.0,1.0,0.0,0.0
312,bullied,0.0,0.0,0.0,0.0,2.0,0.0,0.0
313,bullis,0.0,0.0,0.0,0.0,1.0,0.0,0.0
314,bureau,0.0,0.0,0.0,0.0,1.0,0.0,0.0
315,burkina,0.0,0.0,0.0,0.0,1.0,0.0,0.0
316,burundi,0.0,0.0,0.0,0.0,1.0,0.0,0.0
317,business,0.0,1.0,1.0,1.0,2.0,1.0,1.0
318,but,0.0,2.0,2.0,2.0,18.0,2.0,2.0
319,button,0.0,11.0,11.0,11.0,5.0,11.0,11.0
320,buttons,0.0,4.0,4.0,4.0,3.0,4.0,4.0
321,buttonsubmit,0.0,4.0,4.0,4.0,0.0,4.0,4.0
322,cabo,0.0,0.0,0.0,0.0,1.0,0.0,0.0
323,cada,0.0,2.0,2.0,2.0,0.0,2.0,2.0
324,caicos,0.0,0.0,0.0,0.0,1.0,0.0,0.0
325,caledonia,0.0,0.0,0.0,0.0,1.0,0.0,0.0
326,california,0.0,0.0,0.0,0.0,1.0,0.0,0.0
327,call,0.0,17.0,17.0,17.0,1.0,17.0,17.0
328,called,0.0,0.0,0.0,0.0,6.0,0.0,0.0
329,callie,0.0,0.0,0.0,0.0,1.0,0.0,0.0
330,cambodia,0.0,0.0,0.0,0.0,1.0,0.0,0.0
331,cameroon,0.0,0.0,0.0,0.0,1.0,0.0,0.0
332,campaigns,0.0,8.0,8.0,8.0,0.0,8.0,8.0
333,campaignsapplynational,0.0,1.0,1.0,1.0,0.0,1.0,1.0
334,campaignshybridpublic,0.0,1.0,1.0,1.0,0.0,1.0,1.0
335,campaignspublic,0.0,1.0,1.0,1.0,0.0,1.0,1.0
336,can,0.0,42.0,42.0,42.0,3.0,42.0,42.0
337,can't,0.0,1.0,1.0,1.0,0.0,1.0,1.0
338,canada,0.0,0.0,0.0,0.0,2.0,0.0,0.0
339,cancel,0.0,1.0,1.0,1.0,1.0,1.0,1.0
340,cancer,0.0,4.0,4.0,4.0,0.0,4.0,4.0
341,candidates,0.0,1.0,1.0,1.0,0.0,1.0,1.0
342,cannot,0.0,2.0,2.0,2.0,0.0,2.0,2.0
343,captions,0.0,2.0,2.0,2.0,1.0,2.0,2.0
344,capture,0.0,0.0,0.0,0.0,5.0,0.0,0.0
345,capuchón,0.0,2.0,2.0,2.0,0.0,2.0,2.0
346,card,0.0,9.0,9.0,9.0,0.0,9.0,9.0
347,cards,0.0,4.0,4.0,4.0,0.0,4.0,4.0
348,care,0.0,57.0,57.0,57.0,10.0,57.0,57.0
349,career,0.0,1.0,1.0,1.0,0.0,1.0,1.0
350,careers,0.0,3.0,3.0,3.0,0.0,3.0,3.0
351,caregiver's,0.0,1.0,1.0,1.0,0.0,1.0,1.0
352,carolina,0.0,0.0,0.0,0.0,2.0,0.0,0.0
353,cart,0.0,11.0,11.0,11.0,0.0,11.0,11.0
354,case,0.0,5.0,5.0,5.0,2.0,5.0,5.0
355,cash,0.0,1.0,1.0,1.0,0.0,1.0,1.0
356,cat's,0.0,1.0,1.0,1.0,0.0,1.0,1.0
357,catch,0.0,2.0,2.0,2.0,0.0,2.0,2.0
358,categories,0.0,1.0,1.0,1.0,0.0,1.0,1.0
359,cause,0.0,0.0,0.0,0.0,1.0,0.0,0.0
360,causes,0.0,0.0,0.0,0.0,2.0,0.0,0.0
361,cayman,0.0,0.0,0.0,0.0,1.0,0.0,0.0
362,cctext,0.0,1.0,1.0,1.0,0.0,1.0,1.0
363,celebrities,0.0,0.0,0.0,0.0,4.0,0.0,0.0
364,celles,0.0,0.0,0.0,0.0,2.0,0.0,0.0
365,center,0.0,28.0,26.0,28.0,1.0,28.0,28.0
366,centered,0.0,1.0,1.0,1.0,0.0,1.0,1.0
367,centergroupsaboutcreate,0.0,1.0,1.0,1.0,0.0,1.0,1.0
368,centerprivacy,0.0,1.0,1.0,1.0,0.0,1.0,1.0
369,centers,0.0,5.0,5.0,5.0,0.0,5.0,5.0
370,central,0.0,18.0,18.0,18.0,1.0,18.0,18.0
371,century,0.0,0.0,0.0,0.0,2.0,0.0,0.0
372,certificate,0.0,0.0,0.0,0.0,0.0,0.0,1.0
373,chad,0.0,0.0,0.0,0.0,1.0,0.0,0.0
374,chamberlain,0.0,0.0,0.0,0.0,0.0,0.0,12.0
375,change,0.0,10.0,10.0,10.0,0.0,10.0,10.0
376,changed,0.0,1.0,1.0,1.0,3.0,1.0,1.0
377,changes,0.0,1.0,1.0,1.0,0.0,1.0,1.0
378,channel,0.0,4.0,4.0,4.0,0.0,4.0,4.0
379,chat,0.0,12.0,12.0,12.0,0.0,12.0,12.0
380,chatbot,0.0,3.0,3.0,3.0,0.0,3.0,3.0
381,chatbuttons,0.0,1.0,1.0,1.0,0.0,1.0,1.0
382,check,0.0,11.0,11.0,11.0,0.0,11.0,11.0
383,checkbox,0.0,10.0,10.0,10.0,0.0,10.0,10.0
384,checkboxes,0.0,5.0,5.0,5.0,0.0,5.0,5.0
385,checked,0.0,2.0,2.0,2.0,0.0,2.0,2.0
386,cheese,0.0,0.0,0.0,0.0,1.0,0.0,0.0
387,chief,0.0,12.0,12.0,12.0,0.0,12.0,12.0
388,childcare,0.0,3.0,3.0,3.0,0.0,3.0,3.0
389,children,0.0,2.0,2.0,2.0,0.0,2.0,2.0
390,chile,0.0,0.0,0.0,0.0,1.0,0.0,0.0
391,china,0.0,0.0,0.0,0.0,1.0,0.0,0.0
392,chinese,0.0,0.0,0.0,0.0,2.0,0.0,0.0
393,chirp,0.0,1.0,1.0,1.0,0.0,1.0,1.0
394,chlamydia,0.0,0.0,0.0,0.0,1.0,0.0,0.0
395,choice,0.0,1.0,1.0,1.0,0.0,1.0,1.0
396,choicestermshelpcontact,0.0,1.0,1.0,1.0,0.0,1.0,1.0
397,choose,0.0,51.0,51.0,51.0,0.0,51.0,51.0
398,choosing,0.0,2.0,2.0,2.0,0.0,2.0,2.0
399,choquante,0.0,0.0,0.0,0.0,6.0,0.0,0.0
400,christmas,0.0,1.0,1.0,1.0,1.0,1.0,1.0
401,chunk,0.0,0.0,0.0,0.0,1.0,0.0,0.0
402,cigna,0.0,1.0,1.0,1.0,0.0,1.0,1.0
403,cih,0.0,0.0,0.0,0.0,2.0,0.0,0.0
404,circle,0.0,8.0,8.0,8.0,0.0,8.0,8.0
405,city,0.0,4.0,9.0,4.0,2.0,10.0,4.0
406,ciw,0.0,0.0,0.0,0.0,1.0,0.0,0.0
407,class,0.0,4.0,4.0,4.0,0.0,4.0,4.0
408,classes,0.0,2.0,2.0,2.0,1.0,2.0,2.0
409,clean,0.0,3.0,3.0,3.0,0.0,3.0,3.0
410,cleanbadfirstname,0.0,1.0,1.0,1.0,0.0,1.0,1.0
411,cleanbadlastname,0.0,1.0,1.0,1.0,0.0,1.0,1.0
