,token,Total0,Total1,Total2,Total3,Total4,Total5,Total6,Total7,Total8
135,adequate,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
136,adhere,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
137,adjust,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,adjustments,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,administer,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140,administered,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141,administers,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,administration,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
143,administrationnew,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
144,administrative,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
145,administrator,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
146,admitting,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
147,adolescent,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
148,adolescents,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
149,adolescentsoral,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
150,adoption,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
151,adoptionsteps,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
152,adoptiontypes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
153,adoptionwhat,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
154,ads,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
155,adult,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
156,adultapply,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
157,adults,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
158,adultsoral,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
159,adultspublic,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
160,advance,62.0,2.0,0.0,0.0,12.0,0.0,2.0,2.0,2.0
161,advanced,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
162,advances,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
163,advancing,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
164,advertising,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
165,advice,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
166,adviceend,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
167,advicenational,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
168,advisory,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
169,advocacy,0.0,12.0,0.0,1.0,3.0,0.0,12.0,12.0,12.0
170,advocacyminor,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
171,advocacyour,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0
172,advocate,2.0,1.0,0.0,44.0,0.0,0.0,1.0,1.0,1.0
173,advocates,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
174,adyen,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
175,aetna,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
176,aff,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
177,affect,3.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0
178,affected,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0
179,affilate,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
180,affiliate,0.0,13.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0
181,affiliatecode,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
182,affiliatecodelocation,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
183,affiliated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
184,affiliateid,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0
185,affiliation,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
186,affirming,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
187,afford,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
188,affordable,0.0,5.0,0.0,2.0,1.0,0.0,5.0,5.0,5.0
189,afghan,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
190,afghanistan,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
191,africa,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
192,african,4.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0
193,after,17.0,11.0,0.0,17.0,145.0,0.0,11.0,11.0,11.0
194,aftermath,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
195,afterwards,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
196,again,64.0,2.0,0.0,2.0,96.0,0.0,2.0,2.0,2.0
197,against,2.0,2.0,0.0,11.0,6.0,0.0,2.0,2.0,2.0
198,againthe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
199,age,6.0,8.0,0.0,1.0,7.0,0.0,8.0,8.0,8.0
200,agencies,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
201,agenciesmaternal,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
202,agency,2.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0
203,agendas,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
204,agent,0.0,6.0,0.0,0.0,1.0,0.0,6.0,6.0,6.0
205,ageprovides,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
206,ages,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
207,aging,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
208,agingaging,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
209,agingreporting,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
210,ago,0.0,41.0,0.0,0.0,0.0,0.0,41.0,41.0,41.0
211,agree,0.0,1.0,0.0,0.0,102.0,0.0,1.0,1.0,1.0
212,agreement,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
213,ahead,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,aid,1.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0
215,aided,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
216,aids,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
217,aidsnorth,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
218,aim,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,air,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
220,ajax,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,ajaxremoverevslider,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,ajaxrevslider,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,alcohol,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
224,alcoholinjury,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
225,alejandra,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
226,alert,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
227,alerts,0.0,2.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0
228,alertshealth,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
229,alexandria,0.0,0.0,0.0,451.0,0.0,0.0,0.0,0.0,0.0
230,all,53.0,34.0,0.0,147.0,162.0,2.0,34.0,34.0,34.0
231,alldonateshareorganizer,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
232,alliance,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
233,allow,1.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0
234,allowable,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0
235,allowed,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,allowing,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
237,allows,1.0,3.0,0.0,6.0,30.0,0.0,3.0,3.0,3.0
238,allsee,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
239,ally,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
240,allynew,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
241,almost,1.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
242,along,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0
243,already,4.0,1.0,0.0,2.0,67.0,0.0,1.0,1.0,1.0
244,also,12.0,10.0,0.0,13.0,25.0,0.0,9.0,9.0,9.0
245,alternative,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0
246,alternatives,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
247,always,0.0,8.0,0.0,2.0,36.0,0.0,8.0,8.0,8.0
248,amazing,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0
249,amazon,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,amazonsmile,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,ambitious,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
252,amelia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
253,amended,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
254,amendment,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
255,amendmentthe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
256,america,0.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0
257,america's,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
258,american,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
259,america’s,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
260,amidst,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
261,among,0.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0
262,amount,1.0,4.0,0.0,0.0,90.0,0.0,4.0,4.0,4.0
263,ample,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
264,amy,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
265,analystnyc,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
266,analytics,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
267,anatomy,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
268,ancillary,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
269,andover,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
270,andrea,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
271,anesthesia,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
272,angola,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
273,angry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,anillo,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
275,animal,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
276,animated,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,anniversary,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
278,anniversarywhy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
279,announce,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
280,announcement,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
281,announcements,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
282,annual,0.0,4.0,0.0,1.0,0.0,0.0,4.0,4.0,4.0
283,anonymous,0.0,2.0,0.0,0.0,6.0,0.0,2.0,2.0,2.0
284,another,2.0,0.0,0.0,4.0,116.0,0.0,0.0,0.0,0.0
285,ansers,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,answer,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
287,answering,2.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0
288,answers,1.0,5.0,0.0,1.0,0.0,0.0,5.0,5.0,5.0
289,antibiotic,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
290,antibiotics,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
291,anticipate,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
292,anticonceptivo,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
293,antimicrobial,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
294,antonio,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
295,anxiety,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,any,22.0,17.0,0.0,5.0,195.0,0.0,15.0,15.0,15.0
297,anyone,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
298,anything,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
299,anywhere,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
300,anywhere—no,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
301,api,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
302,apostille,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
303,app,0.0,8.0,0.0,1.0,12.0,0.0,8.0,8.0,8.0
304,apparel,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
305,appeal,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
306,appealhealth,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
307,appeals,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
308,appealsandrea,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
309,appealscouncils,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
310,appear,0.0,2.0,0.0,0.0,30.0,0.0,2.0,2.0,2.0
311,append,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
312,appendix,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,appends,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
314,apple,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
315,applicable,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
316,applicant,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
317,application,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
318,applicationnorth,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
319,applications,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
320,applicationsems,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
321,apply,1.0,2.0,0.0,0.0,8.0,0.0,2.0,2.0,2.0
322,appointment,36.0,11.0,0.0,79.0,2.0,2.0,10.0,10.0,10.0
323,appointmentonline,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
324,appointments,4.0,2.0,0.0,0.0,7.0,0.0,2.0,2.0,2.0
325,appointmentsb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
326,appointmentsun,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
327,appomattox,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
