index,url,urls_visited,token1,count1,token2,count2,token3,count3,token4,count4,token5,count5,token6,count6,token7,count7,token8,count8,token9,count9,token10,count10,token11,count11,token12,count12,token13,count13,token14,count14,token15,count15,token16,count16,token17,count17,token18,count18,token19,count19,token20,count20,token21,count21,token22,count22,token23,count23,token24,count24,token25,count25,token26,count26,token27,count27,token28,count28,token29,count29,token30,count30,token31,count31,token32,count32,token33,count33,token34,count34,token35,count35,token36,count36,token37,count37,token38,count38,token39,count39,token40,count40,token41,count41,token42,count42,token43,count43,token44,count44,token45,count45,token46,count46,token47,count47,token48,count48,token49,count49,token50,count50,token51,count51,token52,count52,token53,count53,token54,count54,token55,count55,token56,count56,token57,count57,token58,count58,token59,count59,token60,count60,token61,count61,token62,count62,token63,count63,token64,count64,token65,count65,token66,count66,token67,count67,token68,count68,token69,count69,token70,count70,token71,count71,token72,count72,token73,count73,token74,count74,token75,count75,token76,count76,token77,count77,token78,count78,token79,count79,token80,count80,token81,count81,token82,count82,token83,count83,token84,count84,token85,count85,token86,count86,token87,count87,token88,count88,token89,count89,token90,count90,token91,count91,token92,count92,token93,count93,token94,count94,token95,count95,token96,count96,token97,count97,token98,count98,token99,count99,token100,count100,token101,count101,token102,count102,token103,count103,token104,count104,token105,count105,token106,count106,token107,count107,token108,count108,token109,count109,token110,count110,token111,count111,token112,count112,token113,count113,token114,count114,token115,count115,token116,count116,token117,count117,token118,count118,token119,count119,token120,count120,token121,count121,token122,count122,token123,count123,token124,count124,token125,count125,token126,count126,token127,count127,token128,count128,token129,count129,token130,count130,token131,count131,token132,count132,token133,count133,token134,count134,token135,count135,token136,count136,token137,count137,token138,count138,token139,count139,token140,count140,token141,count141,token142,count142,token143,count143,token144,count144,token145,count145,token146,count146,token147,count147,token148,count148,token149,count149,token150,count150,token151,count151,token152,count152,token153,count153,token154,count154,token155,count155,token156,count156,token157,count157,token158,count158,token159,count159,token160,count160,token161,count161,token162,count162,token163,count163,token164,count164,token165,count165,token166,count166,token167,count167,token168,count168,token169,count169,token170,count170,token171,count171,token172,count172,token173,count173,token174,count174,token175,count175,token176,count176,token177,count177,token178,count178,token179,count179,token180,count180,token181,count181,token182,count182,token183,count183,token184,count184,token185,count185,token186,count186,token187,count187,token188,count188,token189,count189,token190,count190,token191,count191,token192,count192,token193,count193,token194,count194,token195,count195,token196,count196,token197,count197,token198,count198,token199,count199,token200,count200,id
count23,https://newlifepregnancy.com/locations/new-life-pregnancy-center-phoenix-metro/,25,life,520,var,402,function,346,pregnancy,346,learn,293,you,246,children,239,new,220,augusta,215,classes,203,about,203,return,186,come,183,have,165,parent,165,their,163,contact,163,during,161,offered,159,all,156,childcare,155,any,154,welcome,153,this,151,there,149,every,147,take,146,month,143,skills,143,place,142,services,140,under,140,supervision,140,auto,138,index,138,bible,128,parenting,126,our,124,topics,122,monday,120,hitobject,115,typeof,115,care,110,your,107,may,104,center,102,spanish,102,arizona,100,wednesday,100,baptist,95,march,95,april,94,studies,94,"""childrens""",90,february,82,ministry,82,phoenix,81,hope,73,equip,70,explore,70,various,70,parents’,70,else,69,email,68,class,66,word,60,"""gods""",60,those,60,english,55,facing,53,volunteer,48,donate,46,vary,46,opt-out,46,newsletter,44,love,43,community,41,based,41,months,40,ages,40,more,40,listed,40,foster,39,through,38,locations,38,resource,34,mission,33,baby,32,human,32,family,31,ministries,31,adult,31,abcs,31,transitional,31,program,30,arms,30,encounter,29,centers,29,counseling,29,bottle,28,sanctity,27,pursue,27,out,27,aide,27,not,27,can,27,calendar,27,resources,25,both,25,display,24,sign,24,open,24,campaign,24,newtracker,23,dec,23,hit,23,tracker,23,address,23,compatibility,23,catch,23,"""timing""",23,hitconverted,23,users,23,args,23,len,23,opted,23,cookie,23,noopfn,23,options,23,content,23,health,23,nan,23,"""object""",23,disable,23,parameters,23,detect,23,provide,23,gamap,23,try,23,disablestrs,23,action,23,tracking,23,keep,22,latest,22,christ-centered,22,skip,22,news,22,await,21,each,20,find,20,preventative,20,staff,20,safe,20,help,20,pregnant,19,support,19,planned,19,view,18,local,18,but,17,available,17,child,16,free,16,please,15,join,15,home,14,families,14,providing,14,tips,14,impact,13,need,13,abortion,12,assistance,12,material,12,test,12,tests,12,visit,12,attend,12,receive,11,other,11,story,11,raise,11,who,11,how,11,clothing,11,adoption,11,parents,10,learning,10,person,10,bulletin,10,church,10,opportunities,10,self-care,10,over,10,serve,10,one,9,southern,9,"""of""",8,information,8,spiritual,8,15
count26,http://choicesaz.com,25,suggestion,1890,var,1140,auto,1134,span,765,none,590,center,472,function,462,you,329,pregnancy,254,our,216,your,210,stretch,210,return,200,choices,194,new,177,block,169,flex-end,168,cover,168,img,168,margin,147,grid,147,flex-start,147,screen,141,use,137,end,137,start,133,index,126,themes,126,ensure,122,only,107,hitobject,105,wrap,105,relative,105,inline,105,typeof,105,this,104,all,100,abortion,96,care,95,else,89,centers,89,right,88,remove,87,blocks,84,columns,84,baseline,84,greater,84,inline-block,84,unset,84,medical,83,out,80,women,80,get,78,can,73,free,72,life,72,about,72,have,71,add,68,charitable,68,try,68,make,68,need,67,when,66,left,65,display,64,row,63,nowrap,63,inline-grid,63,space-around,63,inline-flex,63,negate,63,column-reverse,63,row-reverse,63,space-between,63,flex,63,support,63,absolute,63,space-evenly,63,column,63,classic,63,wrap-reverse,63,health,61,some,60,camelback,59,sexual,58,appointment,57,involved,53,required,53,education,52,more,52,help,51,learn,51,std,50,here,49,solid,47,information,46,body,46,because,46,their,45,line,45,services,45,hope,44,serving,44,baby,44,content,44,staff,44,assigned,44,client,43,phoenix,43,target,43,flex-basis,42,submenu,42,group,42,newh,42,twenty,42,opt-out,42,popular,42,response,42,bottom,42,height,42,fullscreen,42,editor,42,utilities,42,want,42,colors,42,test,41,provide,41,not,41,what,40,experience,39,organization,38,who,38,love,36,within,35,there,35,may,35,arizona,34,time,34,clients,33,search,33,please,33,lifepath,32,ultrasound,32,much,32,transmitted,32,director,32,other,32,diseases,32,one,31,they,31,across,31,post,31,being,31,tax,30,work,30,nan,30,worth,30,credit,30,link,30,relationships,29,contact,29,volunteers,29,find,28,padding-top,28,used,28,business,28,classes,28,initial,27,through,27,men,27,specific,27,ecfa,27,healing,26,cost,26,call,26,directly,26,many,26,ways,26,well,26,own,25,background,25,outside,25,detect,25,volunteer,25,schedule,25,results,25,added,25,double,25,parent,25,choices’,24,under,24,privacy,24,cpc,24,click,24,locations,24,button,23,program,23,library,23,base,23,16
count28,https://www.lifeconnectionsrr.com/,6,var,56,visible,48,vineyard,20,you,19,all,17,new,17,function,17,services,15,transform,15,web,14,extend,13,our,13,swinginx,12,bounceindown,12,flipinx,12,swingoutx,12,"""rachels""",12,flipoutx,12,slidedownhr,12,slideuphr,12,more,12,bounceoutup,12,parentheight,10,social,10,childheight,10,retreats,10,pregnancy,10,learn,10,men,9,retreat,9,local,9,media,8,can,8,this,8,about,8,search,7,get,7,back,7,call,7,free,7,abortion,7,center,7,not,7,contact,7,your,6,stickyoffset,6,have,6,connections,6,florentine,6,image,6,google,6,home,6,help,6,design,6,women,5,life,5,events,5,below,5,marketing,5,use,5,testimonies,5,upcoming,5,want,5,else,4,safe,4,healing,4,offering,4,images,4,select,4,find,4,out,4,how,4,donate,4,line,4,isdraggable,4,place,4,post-abortive,4,articles,4,environment,4,rachel’s,4,prescott,4,quiz,4,seo,4,where,4,contentstring,4,confidential,3,sticky,3,blogging,3,year,3,reservation,3,here,3,order,3,scroll,3,they,3,safari,3,first,3,live,3,hearts,3,release,3,online,3,stickycontainerheight,3,emotions,3,offer,3,broken,3,begin,3,very,3,reconcile,3,rand,3,support,3,recommend,3,advanced,3,volunteer,3,"""shes""",3,painful,3,needed,3,"""google""",3,click,3,but,3,hope,3,experience,3,rebuild,3,information,3,hours,3,renewal,3,check,3,test,3,who,3,email,3,site,3,process,3,display,3,start,3,redeem,3,per,3,non-judgmental,3,been,3,resource,3,ministry,2,life-giving,2,professional,2,hosted,2,spread,2,training,2,procedures,2,pain,2,staff,2,content,2,let,2,informed,2,boston,2,service,2,what,2,send,2,appeal,2,view,2,show,2,recovery,2,welcome,2,weekend,2,serve,2,random,2,body,2,websites,2,website,2,visit,2,description,2,mymarker,2,myoptions,2,reach,2,read,2,name,2,questions,2,whatever,2,families,2,when,2,tuesday,2,count,2,working,2,latlng,2,work,2,second,2,word,2,last,2,office,2,digital,2,infowindow,2,bay,2,banquet,2,announcements,2,annual,2,referral,2,date,2,refer,2,development,2,found,2,clinical,2,engage,2,resize,2,through,2,care,2,17
count29,http://livinghopecenters.org,9,you,106,your,78,var,76,our,64,control,58,pest,53,function,52,nonprofit,44,services,43,more,39,can,37,this,36,screen,36,hope,35,weed,34,restoration,34,about,32,ease,30,not,29,mold,29,have,28,get,28,board,27,contact,27,damage,26,make,25,display,25,sutton,24,new,24,please,24,arizona,23,home,23,all,22,show,20,pregnancy,20,dream,20,events,19,centers,19,number,19,solid,18,living,18,else,17,must,17,other,16,use,16,alliance,16,resources,15,data,15,help,15,every,15,servicemaster,15,any,15,company,14,business,14,complete,14,header,13,learn,13,who,13,return,13,want,13,organization,13,using,13,none,13,free,13,commercial,12,job,12,how,12,guidestar,12,why,12,back,12,auto,12,remediation,12,water,12,div,12,email,12,give,12,what,12,need,11,only,11,subscribe,11,one,11,know,11,like,10,residential,10,click,10,video,10,service,10,their,10,create,10,white,9,call,9,now,9,team,9,than,9,programs,9,here,9,enter,9,talk,9,experience,9,support,9,volunteer,8,disaster,8,shop,8,phone,8,blog,8,very,8,nonprofits,8,offer,8,wildlife,8,been,8,low,8,search,8,organizations,8,when,8,work,8,appointment,8,rodent,8,restore,8,take,8,code,8,members,8,information,8,"""of""",8,bugs,7,benefits,7,see,7,we’re,7,financial,7,elementor,7,great,7,find,7,insurance,7,change,7,people,7,property,7,sign,7,stream,7,center,7,profile,7,black,7,process,7,span,7,parents,7,info,7,news,6,ext,6,alex,6,maternity,6,read,6,education,6,years,6,forum,6,link,6,segoe,6,google,6,into,6,they,6,time,6,toxic,6,care,6,transform,6,partner,6,unlock,6,connect,6,hopeful,6,state,6,staff,6,valid,6,helping,6,opportunities,6,professional,6,provide,6,grantmakers,6,donate,6,affected,6,file,6,mmm,6,"""trebuchet""",6,most,6,"""isnt""",5,receive,5,following,5,but,5,try,5,serve,5,address,5,mountains,5,dedicated,5,year,5,friendly,5,reviews,5,financials,5,house,5,access,5,square,5,best,5,come,5,we’ll,5,always,5,pay,5,18
count30,https://newlifepregnancy.com/locations/new-life-pregnancy-center-snowflake/,25,life,520,var,402,pregnancy,346,function,346,learn,293,you,246,children,239,new,220,augusta,211,about,203,classes,203,return,186,come,183,have,165,parent,165,their,163,contact,163,during,161,offered,159,all,156,childcare,155,any,154,welcome,153,this,151,there,149,every,147,take,146,month,143,skills,143,place,142,services,142,under,140,supervision,140,index,138,auto,138,bible,128,parenting,126,our,124,topics,122,monday,120,hitobject,115,typeof,115,care,110,center,108,your,107,may,104,spanish,102,arizona,102,wednesday,100,baptist,98,march,95,april,94,studies,94,"""childrens""",92,ministry,82,february,82,hope,73,phoenix,73,various,70,parents’,70,explore,70,equip,70,else,69,email,68,class,66,those,60,"""gods""",60,word,60,english,55,facing,53,volunteer,48,opt-out,46,vary,46,donate,46,newsletter,44,love,43,based,41,community,41,ages,40,months,40,more,40,listed,40,foster,39,through,38,locations,38,resource,34,mission,33,family,33,human,32,baby,32,ministries,31,adult,31,abcs,31,transitional,31,program,30,arms,30,centers,29,counseling,29,encounter,29,bottle,28,calendar,27,out,27,not,27,aide,27,can,27,pursue,27,sanctity,27,resources,25,both,25,campaign,24,sign,24,open,24,display,24,disablestrs,23,hit,23,address,23,compatibility,23,health,23,noopfn,23,len,23,content,23,args,23,disable,23,hitconverted,23,cookie,23,newtracker,23,dec,23,"""timing""",23,gamap,23,provide,23,detect,23,nan,23,"""object""",23,options,23,parameters,23,try,23,tracking,23,tracker,23,catch,23,action,23,opted,23,users,23,christ-centered,22,skip,22,news,22,keep,22,latest,22,show,21,await,21,staff,20,preventative,20,safe,20,each,20,find,20,help,20,planned,19,support,19,pregnant,19,local,18,view,18,but,17,available,17,child,16,free,16,please,15,join,15,providing,14,tips,14,families,14,home,14,need,13,impact,13,visit,12,assistance,12,tests,12,attend,12,test,12,church,12,material,12,abortion,12,who,11,other,11,adoption,11,receive,11,clothing,11,low,11,how,11,raise,11,story,11,over,10,serve,10,self-care,10,person,10,learning,10,bulletin,10,opportunities,10,parents,10,one,9,southern,9,items,8,19
count32,https://livinghopecenters.org/,10,you,128,your,84,var,76,our,69,control,58,function,55,pest,53,services,45,nonprofit,45,hope,44,abortion,44,more,43,can,42,about,42,this,38,screen,36,not,35,get,34,weed,34,restoration,34,contact,30,ease,30,have,30,mold,29,pregnancy,29,new,28,make,27,dream,27,home,27,board,27,damage,26,display,25,sutton,24,pill,24,please,24,arizona,23,events,22,living,22,all,22,show,21,what,21,centers,21,need,20,use,20,number,19,other,19,solid,18,must,18,else,17,help,17,know,17,data,17,resources,17,give,17,alliance,16,learn,16,every,16,any,16,how,15,using,15,servicemaster,15,organization,14,company,14,business,14,job,14,who,14,free,14,complete,14,header,13,return,13,none,13,want,13,back,13,subscribe,13,shop,12,create,12,call,12,water,12,remediation,12,email,12,one,12,only,12,div,12,commercial,12,auto,12,why,12,guidestar,12,take,12,appointment,11,care,11,than,11,click,11,now,11,faqs,11,first,11,volunteer,11,talk,11,like,11,here,11,blog,10,video,10,residential,10,service,10,been,10,experience,10,their,10,information,9,change,9,enter,9,low,9,offer,9,when,9,there,9,support,9,white,9,very,9,ext,9,organizations,9,search,9,programs,9,code,9,team,9,opportunities,8,hopeful,8,process,8,wildlife,8,disaster,8,"""of""",8,great,8,best,8,receive,8,phone,8,restore,8,members,8,nonprofits,8,see,8,read,8,maternity,8,work,8,rodent,8,through,8,span,7,stream,7,taking,7,house,7,property,7,people,7,info,7,most,7,baby,7,insurance,7,center,7,they,7,elementor,7,benefits,7,black,7,involved,7,days,7,profile,7,after,7,state,7,sign,7,bugs,7,provide,7,we’re,7,financial,7,into,7,parents,7,find,7,years,6,alex,6,does,6,transform,6,pray,6,available,6,donate,6,partner,6,segoe,6,affected,6,link,6,mon-fri,6,helping,6,unlock,6,education,6,file,6,try,6,amazonsmile,6,toxic,6,out,6,time,6,google,6,grantmakers,6,news,6,problem,6,professional,6,treasures,6,staff,6,connect,6,"""trebuchet""",6,but,6,20
count33,https://newlifepregnancy.com/locations/new-life-pregnancy-center-tempe/,25,life,520,var,402,pregnancy,346,function,346,learn,293,you,246,children,239,new,220,augusta,211,about,203,classes,203,return,186,come,183,have,165,parent,165,their,163,contact,163,during,161,offered,159,all,156,childcare,155,any,154,welcome,153,this,151,there,149,every,147,take,146,skills,143,month,143,place,142,under,140,supervision,140,services,140,index,138,auto,138,bible,128,parenting,126,our,124,topics,122,monday,120,hitobject,115,typeof,115,care,110,center,108,your,107,may,104,spanish,102,wednesday,100,arizona,100,baptist,95,march,95,april,94,studies,94,"""childrens""",90,ministry,82,february,82,hope,73,phoenix,73,equip,70,parents’,70,various,70,explore,70,else,69,email,68,class,66,word,60,"""gods""",60,those,60,english,55,facing,53,volunteer,48,donate,46,vary,46,opt-out,46,newsletter,44,love,43,based,41,community,41,listed,40,more,40,months,40,ages,40,foster,39,locations,38,through,38,resource,34,mission,33,human,32,baby,32,family,31,transitional,31,ministries,31,adult,31,abcs,31,program,30,arms,30,centers,29,encounter,29,counseling,29,bottle,28,out,27,aide,27,not,27,can,27,pursue,27,sanctity,27,calendar,27,resources,25,both,25,open,24,campaign,24,display,24,sign,24,noopfn,23,dec,23,provide,23,gamap,23,cookie,23,len,23,detect,23,disable,23,args,23,address,23,newtracker,23,disablestrs,23,hitconverted,23,catch,23,nan,23,content,23,options,23,"""object""",23,hit,23,users,23,opted,23,compatibility,23,"""timing""",23,action,23,health,23,tracker,23,tracking,23,try,23,parameters,23,news,22,latest,22,keep,22,skip,22,christ-centered,22,await,21,find,20,each,20,safe,20,help,20,staff,20,preventative,20,planned,19,pregnant,19,support,19,local,18,view,18,available,17,but,17,free,16,child,16,join,15,please,15,tips,14,home,14,families,14,providing,14,impact,13,need,13,southern,13,assistance,12,abortion,12,tests,12,test,12,material,12,attend,12,visit,12,adoption,11,receive,11,raise,11,story,11,who,11,other,11,clothing,11,how,11,over,10,opportunities,10,person,10,parents,10,church,10,learning,10,serve,10,bulletin,10,self-care,10,tempe,9,one,9,spiritual,8,items,8,21
count34,http://aidtowomencenter.org/,3,var,23,apache,22,this,12,your,11,opens,10,function,10,women,8,experience,8,south,6,"""google""",6,pregnancy,6,center,5,google,4,details,4,free,4,standard,4,"""use""",4,new,4,own,4,help,4,you,4,more,3,see,3,clickevent,3,information,3,services,3,place,3,aid,3,tests,3,call,3,open,2,javascript,2,maps,2,storage,2,enough,2,offer,2,minus,2,when,2,solid,2,read,2,whatever,2,current,2,complete,2,not,2,must,2,available,2,access,2,property,2,mousedown,2,walk-ins,2,contextmenu,2,sans,2,length,2,blvd,2,options,2,remains,2,keypress,2,"""mute""",2,rightclick,2,else,2,eliminated,2,"""product""",2,parenting,2,empty,2,local,2,send,2,have,2,today,2,syntax,2,set,2,body,2,message,2,enable,2,phoenix,2,health,2,dead,2,care,2,closed,2,lactation,1,removal,1,"""mens""",1,volunteer,1,count,1,exam,1,copyright,1,exams,1,welcome,1,credit,1,wednesday,1,cookie,1,within,1,journey,1,iud,1,serving,1,annual,1,all,1,modal,1,shrinkon,1,well-woman,1,well,1,decision,1,woman,1,monday,1,involved,1,distancey,1,next,1,assessment,1,toggle,1,prenatal,1,tuesday,1,other,1,bootstrap,1,sunday,1,forms,1,support,1,classes,1,overview,1,header,1,friday,1,bug,1,please,1,assist,1,fundraising,1,planning,1,callback,1,planned,1,thursday,1,through,1,path,1,tax,1,those,1,get,1,test,1,giving,1,prep,1,fix,1,street,1,ultrasounds,1,navigation,1,viewport,1,view,1,need,1,proudly,1,container,1,contact,1,consultation,1,facing,1,valley,1,nexplanon,1,east,1,family,1,program,1,staff,1,now,1,std,1,process,1,unplanned,1,compassionate,1,begin,1,hours,1,prices,1,previous,1,office,1,adoption,1,testing,1,abortion,1,let,1,scottsdale,1,resources,1,legacy,1,schedule,1,about,1,donate,1,saturday,1,directions,1,premium,0,premature,0,pregnancy–,0,prescreen,0,return,0,prescott,0,pregnant,0,pregnant…now,0,prerender,0,preparing,0,preparer,0,preparednessjustice,0,prepared,0,prepare,0,preparation,0,prescribed,0,preload,0,revealing,0,revenue,0,premiums,0,returning,0,prescriptions,0,prescription,0,presize,0,prevent,0,22
count35,http://www.aidtowomencenter.org,3,var,23,apache,22,this,12,your,11,opens,10,function,10,women,8,experience,8,south,6,"""google""",6,pregnancy,6,center,5,google,4,details,4,free,4,standard,4,"""use""",4,new,4,own,4,help,4,you,4,more,3,see,3,clickevent,3,information,3,services,3,place,3,aid,3,tests,3,call,3,open,2,javascript,2,maps,2,storage,2,enough,2,offer,2,minus,2,when,2,solid,2,read,2,whatever,2,current,2,complete,2,not,2,must,2,available,2,access,2,property,2,mousedown,2,walk-ins,2,contextmenu,2,sans,2,length,2,blvd,2,options,2,remains,2,keypress,2,"""mute""",2,rightclick,2,else,2,eliminated,2,"""product""",2,parenting,2,empty,2,local,2,send,2,have,2,today,2,syntax,2,set,2,body,2,message,2,enable,2,phoenix,2,health,2,dead,2,care,2,closed,2,lactation,1,removal,1,"""mens""",1,volunteer,1,count,1,exam,1,copyright,1,exams,1,welcome,1,credit,1,wednesday,1,cookie,1,within,1,journey,1,iud,1,serving,1,annual,1,all,1,modal,1,shrinkon,1,well-woman,1,well,1,decision,1,woman,1,monday,1,involved,1,distancey,1,next,1,assessment,1,toggle,1,prenatal,1,tuesday,1,other,1,bootstrap,1,sunday,1,forms,1,support,1,classes,1,overview,1,header,1,friday,1,bug,1,please,1,assist,1,fundraising,1,planning,1,callback,1,planned,1,thursday,1,through,1,path,1,tax,1,those,1,get,1,test,1,giving,1,prep,1,fix,1,street,1,ultrasounds,1,navigation,1,viewport,1,view,1,need,1,proudly,1,container,1,contact,1,consultation,1,facing,1,valley,1,nexplanon,1,east,1,family,1,program,1,staff,1,now,1,std,1,process,1,unplanned,1,compassionate,1,begin,1,hours,1,prices,1,previous,1,office,1,adoption,1,testing,1,abortion,1,let,1,scottsdale,1,resources,1,legacy,1,schedule,1,about,1,donate,1,saturday,1,directions,1,premium,0,premature,0,pregnancy–,0,prescreen,0,return,0,prescott,0,pregnant,0,pregnant…now,0,prerender,0,preparing,0,preparer,0,preparednessjustice,0,prepared,0,prepare,0,preparation,0,prescribed,0,preload,0,revealing,0,revenue,0,premiums,0,returning,0,prescriptions,0,prescription,0,presize,0,prevent,0,23
count36,http://www.choicesaz.com,25,suggestion,1890,var,1140,auto,1134,span,765,none,590,center,472,function,462,you,329,pregnancy,254,our,216,your,210,stretch,210,return,200,choices,194,new,177,block,169,flex-end,168,cover,168,img,168,margin,147,grid,147,flex-start,147,screen,141,use,137,end,137,start,133,index,126,themes,126,ensure,122,only,107,hitobject,105,wrap,105,relative,105,inline,105,typeof,105,this,104,all,100,abortion,96,care,95,else,89,centers,89,right,88,remove,87,blocks,84,columns,84,baseline,84,greater,84,inline-block,84,unset,84,medical,83,out,80,women,80,get,78,can,73,free,72,life,72,about,72,have,71,add,68,charitable,68,try,68,make,68,need,67,when,66,left,65,display,64,row,63,nowrap,63,inline-grid,63,space-around,63,inline-flex,63,negate,63,column-reverse,63,row-reverse,63,space-between,63,flex,63,support,63,absolute,63,space-evenly,63,column,63,classic,63,wrap-reverse,63,health,61,some,60,camelback,59,sexual,58,appointment,57,involved,53,required,53,education,52,more,52,help,51,learn,51,std,50,here,49,solid,47,information,46,body,46,because,46,their,45,line,45,services,45,hope,44,serving,44,baby,44,content,44,staff,44,assigned,44,client,43,phoenix,43,target,43,flex-basis,42,submenu,42,group,42,newh,42,twenty,42,opt-out,42,popular,42,response,42,bottom,42,height,42,fullscreen,42,editor,42,utilities,42,want,42,colors,42,test,41,provide,41,not,41,what,40,experience,39,organization,38,who,38,love,36,within,35,there,35,may,35,arizona,34,time,34,clients,33,search,33,please,33,lifepath,32,ultrasound,32,much,32,transmitted,32,director,32,other,32,diseases,32,one,31,they,31,across,31,post,31,being,31,tax,30,work,30,nan,30,worth,30,credit,30,link,30,relationships,29,contact,29,volunteers,29,find,28,padding-top,28,used,28,business,28,classes,28,initial,27,through,27,men,27,specific,27,ecfa,27,healing,26,cost,26,call,26,directly,26,many,26,ways,26,well,26,own,25,background,25,outside,25,detect,25,volunteer,25,schedule,25,results,25,added,25,double,25,parent,25,choices’,24,under,24,privacy,24,cpc,24,click,24,locations,24,button,23,program,23,library,23,base,23,24
count37, http://handsofhopetucson.com,25,pregnancy,293,free,291,hope,263,abortion,254,appointment,253,testing,240,information,223,donate,222,get,189,hands,187,tucson,181,about,167,you,163,medical,162,contact,147,community,144,auto,138,learn,135,var,134,counseling,131,sti,126,emergency,123,care,122,charitable,122,specialized,121,ultrasound,121,limited,120,financials,118,assistance,117,transmitted,117,symptoms,117,sexually,117,diaper,117,infections,113,our,112,tax,109,give,103,life,102,arizona,101,work,101,pill,99,credit,98,options,95,referrals,94,raisehope,94,your,94,bike,94,ways,93,reversal,93,home,93,blog,90,unit,90,mobile,90,volunteer,89,this,89,stork,88,involved,88,have,81,none,70,now,60,request,58,all,51,health,51,more,50,function,50,services,47,menu,47,button,47,who,47,photography,46,can,44,please,43,not,40,been,40,new,38,their,38,organization,38,call,37,made,37,resources,36,after,35,staff,34,county,34,sexual,33,support,31,center,31,how,30,help,30,women,30,since,29,mission,29,what,28,box,28,privacy,28,terms,28,thank,27,before,27,standards,27,ecfa,27,helping,26,member,26,they,26,hours,26,online,26,qualifying,26,file,25,knight,25,code,25,pima,25,trained,25,phone,25,currently,24,alyssa,24,rights,24,registered,24,good,24,else,24,phillips,24,instagram,24,reserved,24,inline,23,legacy,23,through,23,after-hours,23,content,23,system,23,elementorfrontendconfig,23,auto-generated,23,messaging,23,return,23,skip,23,"""text""",23,branding,23,"""ltr""",23,facebook-f,23,ecap,22,email,21,nonprofit,20,know,19,board,19,very,18,employees,18,financial,17,there,17,loss,17,people,16,test,16,want,16,reading,16,way,15,out,15,does,14,minutes,14,organizations,14,families,13,here,13,may,13,feel,13,men,13,but,13,need,13,make,13,united,13,unexpected,13,facing,12,find,12,when,12,first,12,plan,12,form,12,link,12,one,12,guidestar,12,those,11,take,11,send,11,any,11,known,10,poverty,10,experience,10,would,10,schedule,10,access,10,next,10,development,10,click,10,using,10,client,10,place,10,clients,10,many,9,over,9,programs,9,these,9,where,9,partner,9,feeling,9,should,9,provides,9,years,9,25
count38,https://reachoutwomenscenter.com/,17,var,201,function,132,reachout,106,center,104,solid,103,calm,102,you,90,live,85,return,81,pregnancy,79,"""womens""",77,not,67,womens,59,limited,53,none,52,options,48,your,47,have,43,typeof,40,about,39,their,38,obstetrical,37,new,36,medical,36,peer,34,free,30,ultrasounds,30,img,29,adoption,29,life,28,quotes,28,care,28,english,26,disablestr,26,nan,26,chinese,26,keyvalue,26,len,26,opt-out,26,aug,25,this,24,staff,23,can,23,services,22,material,21,contact,20,testing,20,through,20,believe,20,before,20,offer,20,birth,20,counseling,20,clients,20,all,20,referrals,19,body,19,video,19,right,19,our,19,try,19,assistance,18,out,18,does,18,because,17,information,17,meet,17,abortion,17,campaign,16,only,16,parenting,16,provide,16,display,16,being,16,instanceof,16,campbell,16,unexpected,15,cookie,15,facility,15,donate,15,purposes,15,myanmar,15,use,15,final,15,abortions,14,users,14,ultrasound,14,home,14,making,14,catch,14,else,14,detect,14,website,13,mongolian,13,extended,13,sesotho,13,afrikaans,13,zulu,13,diagnosis,13,arabic,13,belarusian,13,italian,13,educated,13,yiddish,13,welsh,13,finnish,13,albanian,13,urdu,13,running,13,noopnullfn,13,javanese,13,latvian,13,basque,13,noopfn,13,dutch,13,bengali,13,kazakh,13,samoan,13,kannada,13,lithuanian,13,amharic,13,vietnamese,13,khmer,13,luxembourgish,13,russian,13,korean,13,kurdish,13,serbian,13,disable,13,macedonian,13,azerbaijani,13,romanian,13,kyrgyz,13,armenian,13,lang,13,filipino,13,lao,13,nepali,13,latin,13,xhosa,13,uzbek,13,japanese,13,norwegian,13,scottish,13,irish,13,creole,13,german,13,georgian,13,privacy,13,hmong,13,telugu,13,terms,13,"""undefined""",13,gaoptout,13,galician,13,spanish,13,gala,13,persian,13,croatian,13,menu,13,malagasy,13,gaelic,13,chichewa,13,thai,13,hindi,13,tamil,13,tajik,13,hebrew,13,pre-natal,13,gujarati,13,greek,13,haitian,13,substitute,13,"""function""",13,sudanese,13,portuguese,13,hausa,13,hawaiian,13,polish,13,policy,13,swahili,13,swedish,13,corsican,13,"""not""",13,"""object""",13,hungarian,13,yoruba,13,icelandic,13,indonesian,13,tracker,13,tracking,13,shona,13,czech,13,estonian,13,maori,13,individuals,13,ukrainian,13,info,13,maltese,13,bulgarian,13,26
