,token,Total0,Total1,Total2,Total3,Total4,Total5,Total6,Total7,Total8
25,'late,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,'lobo,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
27,'location,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
28,'ltr',0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,'many,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,'mazel,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
31,'mickey',0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,'mute',1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
33,'my,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34,'northwest,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
35,'not,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
36,'number',0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37,'of',0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
38,'palms',0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
39,'password',0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40,'pediatric,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
41,'primary,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
42,'product,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
43,'recipient,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44,'resizeobserver,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
45,'returning,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,'s',0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
47,'script,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
48,'select,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
49,'select',4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
50,'senior,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
51,'south,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
52,'southwest,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
53,'text,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54,'text',0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55,'thank,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
56,'there,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
57,'thinking,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
58,'truman,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
59,'undefined',0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
60,'unm,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
61,'unmh,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
62,'urgent,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
63,'use,7.0,21.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0
64,'user,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
65,'xasdfsadf',0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
66,'y',0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
67,'young,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
68,aaahc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,aauw,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
70,abbott,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,abc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,abdominal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,abeita,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74,abeyta,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75,abhaha,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,abide,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,ability,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
78,ability”,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,able,0.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
80,abnormal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,abnormalities,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,abortion,68.0,262.0,16.0,33.0,56.0,0.0,168.0,0.0,0.0
83,abortions,5.0,28.0,0.0,0.0,5.0,0.0,11.0,0.0,0.0
84,abortion”,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
85,aborto,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,abortos,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,about,52.0,84.0,138.0,4.0,47.0,0.0,54.0,0.0,0.0
88,above,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
89,abq,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
90,abraham,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
91,abroad,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
92,abruzzo,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
93,absorbing,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,abstinence,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
95,abuse,1.0,3.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0
96,abusive,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,abyad,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,academic,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
99,academics,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
100,academy,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
101,acccount,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
102,accept,2.0,2.0,5.0,2.0,2.0,0.0,5.0,0.0,0.0
103,acceptallbutton,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
104,acceptalllink,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
105,acceptance,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,acceptbannerfptidata,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
107,accepted,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0
108,accepting,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
109,accepts,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
110,accesibilidad,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
111,accesible,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
112,acceso,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,access,27.0,45.0,24.0,1.0,25.0,0.0,6.0,0.0,0.0
114,accessibility,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
115,accessible,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
116,accessing,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,accessories,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
118,accidentes,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
119,accommodate,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,accommodation,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121,accommodations,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
122,accompanied,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
123,accompany,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
124,accompanying,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,accomplish,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,accomplished,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,accordance,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
128,according,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,account,7.0,4.0,355.0,0.0,7.0,0.0,66.0,0.0,0.0
130,accountability,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
131,accounting,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
132,accounttoggle,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
133,accredited,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
134,accurate,6.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
135,ace,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
136,acerca,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
137,aces,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
138,ach,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
139,achieve,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
140,achieved,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,achievement,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
142,acknowledge,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
143,acknowledgement,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
144,acosta,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
145,acount,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
146,acquisition,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
147,acquisitions,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
148,across,3.0,4.0,9.0,0.0,3.0,0.0,1.0,0.0,0.0
149,acs,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
150,act,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151,action,24.0,3.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0
152,actions,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
153,actiontag,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
154,activa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,active,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0
156,activeelement,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
157,activegroups,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
158,activepromos,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
159,activer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,activism,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
161,activists,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
162,activities,1.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
163,activitiesstudent,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
164,activity,5.0,5.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0
165,activo,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,actual,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
167,actualités,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,actually,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,acute,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
170,ada,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
171,adam,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
172,adamo,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
173,adams,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
174,adaptive,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
175,adcreate,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
176,add,15.0,0.0,28.0,0.0,15.0,0.0,6.0,0.0,0.0
177,added,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
178,addiction,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
179,addictions,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
180,addie,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
181,adding,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0
182,addition,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
183,additional,8.0,15.0,3.0,0.0,7.0,0.0,7.0,0.0,0.0
184,addms,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
185,address,5.0,2.0,9.0,2.0,5.0,0.0,19.0,0.0,0.0
186,addresses,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
187,adds,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
188,adhere,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
189,adjust,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
190,adler,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
191,admin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
192,administered,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,administration,0.0,1.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0
194,administrationnew,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
195,administrative,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
196,adminstration,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
197,admissions,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
198,admitted,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
199,adobe,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
200,adolescent,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
201,adolescents,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
202,adolph,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
203,adopt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
204,adoption,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
205,adressing,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
206,ads,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
207,adult,1.0,2.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0
208,advance,2.0,38.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0
209,advanced,1.0,0.0,19.0,2.0,1.0,0.0,2.0,0.0,0.0
210,advancement,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
211,advancements,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
212,advances,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
213,advancing,2.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0
214,advantage,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
215,adventure,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
216,adverse,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
217,adversity,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
218,advertising,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
219,advised,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,advisement,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
221,advisory,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
222,advocacy,18.0,2.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0
223,advocate,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
224,advocates,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
225,aerospace,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
226,aetna,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
227,aff,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
228,affairs,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
229,affect,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
230,affects,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,affilate,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
232,affiliate,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
233,affiliatecode,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
234,affiliatecodelocation,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
235,affiliateid,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
236,affiliation,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
237,affirmative,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
238,affirming,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
239,afford,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
240,affordable,5.0,3.0,4.0,0.0,5.0,0.0,2.0,0.0,0.0
241,afghani,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
242,afghanis,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
243,afraid,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
244,africa,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
245,african,0.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0
246,africana,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
247,afrotc,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
248,after,13.0,22.0,7.0,6.0,12.0,0.0,14.0,0.0,0.0
249,afterwards,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
250,again,2.0,1.0,2.0,0.0,2.0,0.0,16.0,0.0,0.0
251,against,2.0,2.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0
252,agc,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
253,age,12.0,0.0,2.0,0.0,8.0,0.0,26.0,0.0,0.0
254,agencies,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,agency,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
256,agent,6.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0
257,aging,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
258,agnes,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
259,ago,41.0,0.0,53.0,0.0,41.0,0.0,0.0,0.0,0.0
260,agora,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
261,agree,1.0,5.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0
262,agreed,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,aguilar,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
264,ahora,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
265,aia,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
266,aiaa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
267,aiche,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
268,aid,0.0,0.0,3.0,0.0,0.0,0.0,26.0,0.0,0.0
269,aida,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
270,aide,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,aids,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
272,aimee,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
273,aiming,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,aims,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
275,air,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
276,airfare,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
277,airline,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
278,airlines,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
279,airport,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
280,airway,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
281,aises,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
282,ajaas,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
283,akin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
284,alabama,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,aladino,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
286,alamos,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
287,alan,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
288,alaska,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,albers,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
290,albert,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
291,alberta,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
292,albuquerque,0.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
293,albuquerue,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,alcohol,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
295,alday,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
296,alejandro,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
297,aleks,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
298,alerts,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
299,alex,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
300,alexander,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
301,alfero,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
302,alfonso,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
303,alfred,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
304,algirdas,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
305,algorithms,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
306,algunos,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
307,alice,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
308,alicia,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
309,aline,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
310,alison,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
311,all,34.0,40.0,114.0,69.0,28.0,0.0,56.0,0.0,0.0
312,allan,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
313,allen,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
314,allene,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
315,allergic,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,allergy,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
317,alliance,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
318,allmarkers,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
319,allow,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
320,allowable,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
321,allowed,0.0,3.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0
322,allowing,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
323,allows,3.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0
324,alma,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
325,almost,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
326,alone,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
327,along,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
328,alongi,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
329,alonzo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
330,aloud,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
