,token,Total0,Total1,Total2,Total3
62,adams,0.0,0.0,142.0,0.0
63,adcreate,1.0,0.0,0.0,1.0
64,add,15.0,0.0,0.0,15.0
65,added,1.0,0.0,0.0,1.0
66,additional,7.0,0.0,0.0,7.0
67,addms,1.0,0.0,0.0,1.0
68,address,5.0,0.0,100.0,5.0
69,addressed,0.0,0.0,1.0,0.0
70,addresses,1.0,0.0,0.0,1.0
71,adds,5.0,0.0,0.0,5.0
72,adhere,1.0,0.0,0.0,1.0
73,administrationnew,1.0,0.0,0.0,1.0
74,ads,2.0,0.0,0.0,2.0
75,adult,1.0,0.0,0.0,1.0
76,advance,2.0,0.0,0.0,2.0
77,advanced,1.0,0.0,0.0,1.0
78,advances,1.0,0.0,0.0,1.0
79,advancing,2.0,0.0,0.0,2.0
80,advise,0.0,0.0,1.0,0.0
81,advocacy,12.0,0.0,0.0,12.0
82,advocate,1.0,0.0,0.0,1.0
83,aetna,1.0,0.0,0.0,1.0
84,aff,3.0,0.0,0.0,3.0
85,affilate,2.0,0.0,0.0,2.0
86,affiliate,13.0,0.0,0.0,13.0
87,affiliatecode,2.0,0.0,0.0,2.0
88,affiliatecodelocation,1.0,0.0,0.0,1.0
89,affiliateid,4.0,0.0,0.0,4.0
90,affiliation,1.0,0.0,0.0,1.0
91,affirming,1.0,0.0,0.0,1.0
92,affordable,5.0,0.0,25.0,5.0
93,africa,1.0,0.0,0.0,1.0
94,after,11.0,0.0,137.0,11.0
95,again,2.0,0.0,15.0,2.0
96,against,2.0,0.0,0.0,2.0
97,age,8.0,0.0,0.0,8.0
98,agent,6.0,0.0,0.0,6.0
99,ago,41.0,0.0,0.0,41.0
100,agree,1.0,0.0,2.0,1.0
101,agreement,0.0,0.0,6.0,0.0
102,agreementwe,0.0,0.0,1.0,0.0
103,alaska,0.0,0.0,12.0,0.0
104,alerts,2.0,0.0,0.0,2.0
105,all,33.0,0.0,256.0,33.0
106,alliance,2.0,0.0,0.0,2.0
107,allow,1.0,0.0,1.0,1.0
108,allowable,6.0,0.0,0.0,6.0
109,allowed,0.0,0.0,7.0,0.0
110,allows,3.0,0.0,0.0,3.0
111,almost,0.0,0.0,2.0,0.0
112,along,0.0,0.0,32.0,0.0
113,aloud,0.0,0.0,1.0,0.0
114,already,1.0,0.0,100.0,1.0
115,also,9.0,0.0,30.0,9.0
116,although,0.0,0.0,1.0,0.0
117,alvo,0.0,0.0,146.0,0.0
118,always,8.0,0.0,2.0,8.0
119,amazing,1.0,0.0,0.0,1.0
120,amended,1.0,0.0,0.0,1.0
121,america,7.0,0.0,0.0,7.0
122,america's,2.0,0.0,0.0,2.0
123,america’s,1.0,0.0,0.0,1.0
124,among,1.0,0.0,0.0,1.0
125,amount,4.0,0.0,0.0,4.0
126,analystnyc,1.0,0.0,0.0,1.0
127,analytics,2.0,0.0,0.0,2.0
128,anatomy,2.0,0.0,0.0,2.0
129,anillo,2.0,0.0,0.0,2.0
130,annual,4.0,0.0,0.0,4.0
131,anomalies,0.0,0.0,1.0,0.0
132,anomaly,0.0,0.0,337.0,0.0
133,anonymous,2.0,0.0,0.0,2.0
134,another,0.0,0.0,166.0,0.0
135,answer,2.0,0.0,0.0,2.0
136,answering,2.0,0.0,0.0,2.0
137,answers,5.0,0.0,0.0,5.0
138,anticonceptivo,1.0,0.0,0.0,1.0
139,any,15.0,0.0,82.0,15.0
140,anything,1.0,0.0,0.0,1.0
141,anytime,1.0,0.0,0.0,1.0
142,anywhere—no,1.0,0.0,0.0,1.0
143,api,1.0,0.0,50.0,1.0
144,app,8.0,0.0,0.0,8.0
145,apparel,1.0,0.0,0.0,1.0
146,appear,2.0,0.0,0.0,2.0
147,appends,2.0,0.0,0.0,2.0
148,applicant,1.0,0.0,0.0,1.0
149,apply,2.0,0.0,0.0,2.0
150,appointment,10.0,0.0,148.0,10.0
151,appointments,2.0,0.0,128.0,2.0
152,approaches,0.0,0.0,1.0,0.0
153,approved,0.0,0.0,42.0,0.0
154,aquí,0.0,0.0,1.0,0.0
155,arbor,1.0,0.0,0.0,1.0
156,archived,1.0,0.0,0.0,1.0
157,are…,0.0,0.0,6.0,0.0
158,arlington,0.0,0.0,130.0,0.0
159,arm,3.0,0.0,0.0,3.0
160,arrangements,1.0,0.0,1.0,1.0
161,array,5.0,0.0,0.0,5.0
162,arrow,6.0,0.0,0.0,6.0
163,art,1.0,0.0,0.0,1.0
164,ashland,0.0,0.0,142.0,0.0
165,ask,7.0,0.0,0.0,7.0
166,asked,5.0,0.0,0.0,5.0
167,aspinwall,0.0,0.0,146.0,0.0
168,assault,6.0,0.0,0.0,6.0
169,assistance,0.0,0.0,1.0,0.0
170,assoc,2.0,0.0,0.0,2.0
171,associated,0.0,0.0,1.0,0.0
172,assumes,0.0,0.0,1.0,0.0
173,assure,0.0,0.0,1.0,0.0
174,atlantic,5.0,0.0,142.0,5.0
175,attack,2.0,0.0,0.0,2.0
176,attacks,9.0,0.0,0.0,9.0
177,attempting,0.0,0.0,75.0,0.0
178,attorneynyc,1.0,0.0,0.0,1.0
179,attributefilter,1.0,0.0,0.0,1.0
180,attributes,1.0,0.0,0.0,1.0
181,auburn,0.0,0.0,158.0,0.0
182,audubon,0.0,0.0,130.0,0.0
183,auth,2.0,0.0,0.0,2.0
184,auto,2.0,0.0,300.0,2.0
185,autofocus,1.0,0.0,0.0,1.0
186,automatic,2.0,0.0,0.0,2.0
187,autopopulate,4.0,0.0,0.0,4.0
188,availabilities,1.0,0.0,0.0,1.0
189,availability,0.0,0.0,1.0,0.0
190,available,9.0,0.0,31.0,9.0
191,avoca,0.0,0.0,260.0,0.0
192,avoid,0.0,0.0,15.0,0.0
193,ayudarte,1.0,0.0,1.0,1.0
194,baby,0.0,0.0,4.0,0.0
195,back,9.0,0.0,24.0,9.0
196,background,25.0,0.0,0.0,25.0
197,bad,2.0,0.0,0.0,2.0
198,badword,3.0,0.0,0.0,3.0
199,badwordfilter,1.0,0.0,0.0,1.0
200,badwords,1.0,0.0,0.0,1.0
201,ban,3.0,0.0,0.0,3.0
202,bank,2.0,0.0,0.0,2.0
203,bans,15.0,0.0,0.0,15.0
204,barnard,0.0,0.0,130.0,0.0
205,basados,2.0,0.0,0.0,2.0
206,based,3.0,0.0,25.0,3.0
207,basic,4.0,0.0,0.0,4.0
208,basta,1.0,0.0,0.0,1.0
209,bcbs,1.0,0.0,0.0,1.0
210,bccbid,4.0,0.0,0.0,4.0
211,bcload,1.0,0.0,0.0,1.0
212,because,2.0,0.0,51.0,2.0
213,become,3.0,0.0,16.0,3.0
214,becomes,2.0,0.0,7.0,2.0
215,beemer,0.0,0.0,130.0,0.0
216,been,5.0,0.0,100.0,5.0
217,before,5.0,0.0,101.0,5.0
218,being,2.0,0.0,1.0,2.0
219,belief,0.0,0.0,26.0,0.0
220,believe,1.0,0.0,16.0,1.0
221,bellevue,0.0,0.0,162.0,0.0
222,below,4.0,0.0,0.0,4.0
223,bend,0.0,0.0,260.0,0.0
224,benefits,1.0,0.0,0.0,1.0
225,bennet,0.0,0.0,142.0,0.0
226,bennington,0.0,0.0,130.0,0.0
227,best,2.0,0.0,5.0,2.0
228,bethesda,0.0,0.0,104.0,0.0
229,better,1.0,0.0,0.0,1.0
230,between,1.0,0.0,0.0,1.0
231,bilingüe,0.0,0.0,1.0,0.0
232,bill,1.0,0.0,0.0,1.0
233,bills,1.0,0.0,0.0,1.0
234,bind,1.0,0.0,0.0,1.0
235,binding,0.0,0.0,1.0,0.0
236,birth,37.0,0.0,137.0,37.0
237,black,1.0,0.0,0.0,1.0
238,blair,0.0,0.0,130.0,0.0
239,blanchard,0.0,0.0,130.0,0.0
240,bleeding,0.0,0.0,15.0,0.0
241,blencoe,0.0,0.0,130.0,0.0
242,block,5.0,0.0,0.0,5.0
243,blocks,0.0,0.0,31.0,0.0
244,blog,12.0,0.0,0.0,12.0
245,blue,2.0,0.0,0.0,2.0
246,bluff,0.0,0.0,130.0,0.0
247,bluffs,0.0,0.0,260.0,0.0
248,blur,1.0,0.0,0.0,1.0
249,bodies,12.0,0.0,0.0,12.0
250,body,3.0,0.0,167.0,3.0
251,bogus,1.0,0.0,0.0,1.0
252,bold,1.0,0.0,0.0,1.0
253,boldchat,10.0,0.0,0.0,10.0
254,boldchatevent,1.0,0.0,0.0,1.0
255,boldchatintervalid,1.0,0.0,0.0,1.0
256,boldchatlinks,1.0,0.0,0.0,1.0
257,boldchattimeoutid,1.0,0.0,0.0,1.0
258,boldchatwrapper,1.0,0.0,0.0,1.0
259,book,7.0,0.0,0.0,7.0
260,booked,0.0,0.0,1.0,0.0
261,both,3.0,0.0,6.0,3.0
262,bothinfo,1.0,0.0,0.0,1.0
263,both…,0.0,0.0,1.0,0.0
264,bottom,1.0,0.0,0.0,1.0
265,bound,0.0,0.0,1.0,0.0
266,box,2.0,0.0,0.0,2.0
267,boys,0.0,0.0,130.0,0.0
268,braddyville,0.0,0.0,130.0,0.0
269,brand,1.0,0.0,0.0,1.0
270,brayton,0.0,0.0,130.0,0.0
271,breaking,1.0,0.0,0.0,1.0
272,breaks,1.0,0.0,0.0,1.0
273,bring,3.0,0.0,0.0,3.0
274,brings,2.0,0.0,0.0,2.0
275,brock,0.0,0.0,142.0,0.0
276,brownville,0.0,0.0,130.0,0.0
277,browser,1.0,0.0,0.0,1.0
278,browsing,0.0,0.0,1.0,0.0
279,bucket,1.0,0.0,0.0,1.0
280,budget,1.0,0.0,0.0,1.0
281,burlington,0.0,0.0,130.0,0.0
282,burr,0.0,0.0,158.0,0.0
283,business,1.0,0.0,0.0,1.0
284,but,2.0,0.0,53.0,2.0
285,button,11.0,0.0,0.0,11.0
286,buttons,4.0,0.0,0.0,4.0
287,buttonsubmit,4.0,0.0,0.0,4.0
288,cada,2.0,0.0,0.0,2.0
289,calculate,0.0,0.0,1.0,0.0
290,calculator,0.0,0.0,301.0,0.0
291,calhoun,0.0,0.0,130.0,0.0
292,california,0.0,0.0,12.0,0.0
293,call,17.0,0.0,144.0,17.0
294,called,0.0,0.0,16.0,0.0
295,campaigns,8.0,0.0,0.0,8.0
296,campaignsapplynational,1.0,0.0,0.0,1.0
297,campaignshybridpublic,1.0,0.0,0.0,1.0
298,campaignspublic,1.0,0.0,0.0,1.0
299,can,42.0,0.0,59.0,42.0
300,can't,1.0,0.0,0.0,1.0
301,cancel,1.0,0.0,0.0,1.0
302,cancer,4.0,0.0,0.0,4.0
303,candidates,1.0,0.0,0.0,1.0
304,cannot,2.0,0.0,1.0,2.0
305,capitalized,0.0,0.0,1.0,0.0
306,captcha,0.0,0.0,50.0,0.0
307,captions,2.0,0.0,0.0,2.0
308,capuchón,2.0,0.0,0.0,2.0
309,car,0.0,0.0,1.0,0.0
310,carbon,0.0,0.0,130.0,0.0
311,card,9.0,0.0,0.0,9.0
312,cards,4.0,0.0,0.0,4.0
313,care,57.0,0.0,875.0,57.0
314,career,1.0,0.0,0.0,1.0
315,careers,3.0,0.0,150.0,3.0
316,carefully,0.0,0.0,1.0,0.0
317,caregiver's,1.0,0.0,0.0,1.0
318,carhart,0.0,0.0,39.0,0.0
319,caring,0.0,0.0,1.0,0.0
320,carson,0.0,0.0,130.0,0.0
321,cart,11.0,0.0,0.0,11.0
322,carter,0.0,0.0,130.0,0.0
323,case,5.0,0.0,2.0,5.0
324,cash,1.0,0.0,0.0,1.0
325,cat's,1.0,0.0,0.0,1.0
326,catch,2.0,0.0,0.0,2.0
327,categories,1.0,0.0,0.0,1.0
328,cause,0.0,0.0,31.0,0.0
329,causes,0.0,0.0,46.0,0.0
330,cctext,1.0,0.0,0.0,1.0
331,cedar,0.0,0.0,260.0,0.0
332,center,28.0,0.0,0.0,28.0
333,centered,1.0,0.0,0.0,1.0
334,centergroupsaboutcreate,1.0,0.0,0.0,1.0
335,centerprivacy,1.0,0.0,0.0,1.0
336,centers,5.0,0.0,0.0,5.0
337,central,18.0,0.0,0.0,18.0
338,ceremonial,0.0,0.0,1.0,0.0
339,ceresco,0.0,0.0,130.0,0.0
340,certificate,0.0,0.0,1.0,0.0
341,change,10.0,0.0,0.0,10.0
342,changed,1.0,0.0,0.0,1.0
343,changes,1.0,0.0,2.0,1.0
344,channel,4.0,0.0,0.0,4.0
345,character,0.0,0.0,50.0,0.0
346,characters,0.0,0.0,50.0,0.0
347,chat,12.0,0.0,0.0,12.0
348,chatbot,3.0,0.0,0.0,3.0
349,chatbuttons,1.0,0.0,0.0,1.0
350,check,11.0,0.0,50.0,11.0
351,checkbox,10.0,0.0,0.0,10.0
352,checkboxes,5.0,0.0,0.0,5.0
353,checked,2.0,0.0,0.0,2.0
354,cheek,0.0,0.0,15.0,0.0
355,chief,12.0,0.0,0.0,12.0
356,childcare,3.0,0.0,0.0,3.0
357,children,2.0,0.0,0.0,2.0
358,chirp,1.0,0.0,0.0,1.0
359,choice,1.0,0.0,57.0,1.0
360,choicestermshelpcontact,1.0,0.0,0.0,1.0
361,choose,51.0,0.0,100.0,51.0
362,choosing,2.0,0.0,0.0,2.0
363,christmas,1.0,0.0,0.0,1.0
364,cigna,1.0,0.0,0.0,1.0
365,circle,8.0,0.0,0.0,8.0
366,cita,0.0,0.0,1.0,0.0
367,city,4.0,0.0,408.0,4.0
368,clarinda,0.0,0.0,130.0,0.0
369,class,4.0,0.0,0.0,4.0
370,classes,2.0,0.0,0.0,2.0
371,clatonia,0.0,0.0,130.0,0.0
372,clean,3.0,0.0,0.0,3.0
373,cleanbadfirstname,1.0,0.0,0.0,1.0
374,cleanbadlastname,1.0,0.0,0.0,1.0
375,cleanbadword,1.0,0.0,0.0,1.0
376,clear,1.0,0.0,0.0,1.0
377,clearmont,0.0,0.0,130.0,0.0
378,clergy,0.0,0.0,2.0,0.0
379,click,2.0,0.0,24.0,2.0
380,clicking,4.0,0.0,0.0,4.0
381,clicks,1.0,0.0,0.0,1.0
382,client,1.0,0.0,25.0,1.0
383,clientid,1.0,0.0,0.0,1.0
384,clinic,5.0,0.0,13842.0,5.0
385,clinics,0.0,0.0,598.0,0.0
386,close,1.0,0.0,0.0,1.0
387,closed,9.0,0.0,0.0,8.0
388,closely,1.0,0.0,0.0,1.0
389,coalition,0.0,0.0,1.0,0.0
390,coast,3.0,0.0,0.0,3.0
391,code,17.0,0.0,0.0,17.0
392,coin,0.0,0.0,130.0,0.0
393,coitus,2.0,0.0,0.0,2.0
394,collection,1.0,0.0,0.0,1.0
395,college,0.0,0.0,148.0,0.0
396,colon,0.0,0.0,130.0,0.0
397,color,20.0,0.0,0.0,20.0
398,columbia,3.0,0.0,0.0,3.0
399,come,4.0,0.0,0.0,4.0
400,comes,2.0,0.0,1.0,2.0
401,comfort,0.0,0.0,1.0,0.0
402,comfortable,0.0,0.0,26.0,0.0
403,coming,2.0,0.0,0.0,2.0
404,comments,2.0,0.0,0.0,2.0
405,commitment,1.0,0.0,0.0,1.0
406,committed,1.0,0.0,1.0,1.0
407,committee,2.0,0.0,0.0,2.0
408,committees,1.0,0.0,0.0,1.0
409,common,1.0,0.0,0.0,1.0
410,communicationen,1.0,0.0,0.0,1.0
411,communications,3.0,0.0,0.0,3.0
412,communities,2.0,0.0,0.0,2.0
413,community,1.0,0.0,0.0,1.0
414,company,1.0,0.0,0.0,1.0
415,compare,1.0,0.0,0.0,1.0
416,compassionate,0.0,0.0,46.0,0.0
417,complete,1.0,0.0,0.0,1.0
418,complexities,0.0,0.0,25.0,0.0
419,compliance,1.0,0.0,0.0,1.0
420,complicated,0.0,0.0,1.0,0.0
421,complicationmost,0.0,0.0,1.0,0.0
422,complications,0.0,0.0,50.0,0.0
423,component,1.0,0.0,0.0,1.0
424,componentlist,2.0,0.0,0.0,2.0
425,components,3.0,0.0,0.0,3.0
426,comprehensive,0.0,0.0,50.0,0.0
427,compromised,0.0,0.0,1.0,0.0
428,con,0.0,0.0,1.0,0.0
429,conception,0.0,0.0,15.0,0.0
430,concerns,0.0,0.0,25.0,0.0
431,conditions,0.0,0.0,2.0,0.0
432,condolences,1.0,0.0,0.0,1.0
433,condom,7.0,0.0,0.0,7.0
434,condoms,1.0,0.0,0.0,1.0
435,condón,5.0,0.0,0.0,5.0
436,conferencesfinanceoffice,1.0,0.0,0.0,1.0
437,conferencesnyc,1.0,0.0,0.0,1.0
438,confidential,3.0,0.0,0.0,3.0
439,conflicts,0.0,0.0,1.0,0.0
440,confront,2.0,0.0,0.0,2.0
441,confuse,1.0,0.0,0.0,1.0
442,congressional,1.0,0.0,0.0,1.0
443,connect,1.0,0.0,51.0,1.0
444,connection,3.0,0.0,0.0,3.0
445,consent,6.0,0.0,0.0,6.0
446,consider,1.0,0.0,1.0,1.0
447,consideration,2.0,0.0,0.0,2.0
448,considered,0.0,0.0,1.0,0.0
449,console,2.0,0.0,0.0,2.0
450,const,13.0,0.0,0.0,13.0
451,constitute,1.0,0.0,0.0,1.0
452,constitutes,0.0,0.0,1.0,0.0
453,constitutional,1.0,0.0,0.0,1.0
454,construed,0.0,0.0,1.0,0.0
455,contact,26.0,0.0,4.0,26.0
456,contain,2.0,0.0,51.0,2.0
457,contamos,0.0,0.0,1.0,0.0
458,content,7.0,0.0,52.0,7.0
459,contextmenu,1.0,0.0,0.0,1.0
460,continue,1.0,0.0,1.0,1.0
461,continued,0.0,0.0,1.0,0.0
462,contraception,7.0,0.0,50.0,7.0
463,contracts,1.0,0.0,0.0,1.0
464,contributing,0.0,0.0,1.0,0.0
465,contribution,6.0,0.0,0.0,6.0
466,contributions,1.0,0.0,0.0,1.0
467,control,37.0,0.0,70.0,37.0
468,controlarnos,1.0,0.0,0.0,1.0
469,controlled,0.0,0.0,1.0,0.0
470,controlreproductive,1.0,0.0,0.0,1.0
471,convenience,0.0,0.0,1.0,0.0
472,convenient,2.0,0.0,0.0,2.0
473,cook,0.0,0.0,130.0,0.0
474,cookie,2.0,0.0,0.0,2.0
475,cookiebanner,1.0,0.0,0.0,1.0
476,cookies,1.0,0.0,0.0,1.0
477,copay,1.0,0.0,0.0,1.0
478,copy,4.0,0.0,0.0,4.0
479,copycat,2.0,0.0,0.0,2.0
480,copying,1.0,0.0,0.0,1.0
481,copyright,1.0,0.0,0.0,1.0
482,corporate,1.0,0.0,0.0,1.0
483,correct,2.0,0.0,0.0,2.0
484,correctly,1.0,0.0,0.0,1.0
485,corresponding,3.0,0.0,0.0,3.0
486,cortland,0.0,0.0,130.0,0.0
487,cost,1.0,0.0,15.0,1.0
488,costs,1.0,0.0,25.0,1.0
489,could,2.0,0.0,0.0,2.0
490,couldn't,4.0,0.0,0.0,4.0
491,council,0.0,0.0,130.0,0.0
492,counsel,5.0,0.0,0.0,5.0
493,counselhybridoffice,1.0,0.0,0.0,1.0
494,counseloffice,1.0,0.0,0.0,1.0
495,coupon,1.0,0.0,0.0,1.0
496,court,3.0,0.0,0.0,3.0
497,courts,1.0,0.0,0.0,1.0
498,coventry,1.0,0.0,0.0,1.0
499,cover,1.0,0.0,0.0,1.0
500,coverage,5.0,0.0,0.0,5.0
501,covered,1.0,0.0,0.0,1.0
502,craig,0.0,0.0,130.0,0.0
503,cramping,0.0,0.0,15.0,0.0
504,create,5.0,0.0,0.0,5.0
505,created,2.0,0.0,0.0,2.0
506,creating,1.0,0.0,0.0,1.0
507,credit,2.0,0.0,0.0,2.0
508,creek,0.0,0.0,274.0,0.0
509,crescent,0.0,0.0,130.0,0.0
510,crete,0.0,0.0,130.0,0.0
511,cross,1.0,0.0,0.0,1.0
512,cta,4.0,0.0,0.0,4.0
513,ctas,4.0,0.0,0.0,4.0
514,cultural,0.0,0.0,1.0,0.0
515,culture,6.0,0.0,0.0,6.0
516,cumberland,0.0,0.0,130.0,0.0
517,currency,4.0,0.0,0.0,4.0
518,current,8.0,0.0,0.0,8.0
519,currentemailerror,1.0,0.0,0.0,1.0
520,currentgiftamount,4.0,0.0,0.0,4.0
521,currentqs,2.0,0.0,0.0,2.0
522,custom,10.0,0.0,0.0,10.0
523,customer,1.0,0.0,0.0,1.0
524,cytotec,0.0,0.0,30.0,0.0
525,cómo,2.0,0.0,0.0,2.0
526,dale,0.0,0.0,130.0,0.0
527,data,16.0,0.0,0.0,16.0
528,datalayer,8.0,0.0,0.0,8.0
529,date,1.0,0.0,1.0,1.0
530,davey,0.0,0.0,130.0,0.0
531,day,10.0,0.0,81.0,10.0
532,days,0.0,0.0,20.0,0.0
533,dcoffice,7.0,0.0,0.0,7.0
534,dcteamallfederation,1.0,0.0,0.0,1.0
535,dead,1.0,0.0,0.0,1.0
536,deal,5.0,0.0,0.0,5.0
537,decide,1.0,0.0,19.0,1.0
538,decidirte,1.0,0.0,0.0,1.0
539,decision,0.0,0.0,2.0,0.0
540,decisions,1.0,0.0,0.0,1.0
541,declared,1.0,0.0,0.0,1.0
542,decor,1.0,0.0,0.0,1.0
543,dedicated,0.0,0.0,1.0,0.0
544,deduction,2.0,0.0,0.0,2.0
545,deepest,1.0,0.0,0.0,1.0
546,default,30.0,0.0,0.0,30.0
547,defaultms,1.0,0.0,0.0,1.0
548,defaults,2.0,0.0,0.0,2.0
549,defeat,1.0,0.0,0.0,1.0
550,defend,2.0,0.0,0.0,2.0
551,defiance,0.0,0.0,130.0,0.0
552,define,1.0,0.0,0.0,1.0
553,defined,0.0,0.0,1.0,0.0
554,delay,1.0,0.0,0.0,1.0
555,delete,2.0,0.0,0.0,2.0
556,deleted,2.0,0.0,0.0,2.0
557,deliberately,1.0,0.0,0.0,1.0
558,delivered,1.0,0.0,0.0,1.0
559,delivers,5.0,0.0,0.0,5.0
560,delivery,2.0,0.0,2.0,2.0
561,denton,0.0,0.0,130.0,0.0
562,depending,3.0,0.0,0.0,3.0
563,describe,0.0,0.0,1.0,0.0
564,description,4.0,0.0,0.0,4.0
565,deseamos,1.0,0.0,0.0,1.0
566,deserve,1.0,0.0,8.0,1.0
567,deserves,1.0,0.0,0.0,1.0
568,destruction,0.0,0.0,1.0,0.0
569,details,3.0,0.0,0.0,3.0
570,detect,1.0,0.0,0.0,1.0
571,detection,1.0,0.0,0.0,1.0
572,determine,1.0,0.0,1.0,1.0
573,develop,1.0,0.0,0.0,1.0
574,development,14.0,0.0,0.0,14.0
575,device,1.0,0.0,0.0,1.0
576,diafragma,2.0,0.0,0.0,2.0
577,diagnosis,0.0,0.0,1.0,0.0
578,did,5.0,0.0,0.0,5.0
579,diferentes,1.0,0.0,0.0,1.0
580,difference,1.0,0.0,0.0,1.0
581,different,4.0,0.0,17.0,4.0
582,difficult,1.0,0.0,0.0,1.0
583,digital,9.0,0.0,0.0,9.0
584,dilate,0.0,0.0,1.0,0.0
585,direct,6.0,0.0,25.0,6.0
586,directed,4.0,0.0,0.0,4.0
587,directions,1.0,0.0,0.0,1.0
588,directly,3.0,0.0,0.0,3.0
589,disable,6.0,0.0,0.0,6.0
590,disabled,1.0,0.0,0.0,1.0
591,disabling,1.0,0.0,0.0,1.0
592,discontinue,0.0,0.0,1.0,0.0
593,discretion,0.0,0.0,1.0,0.0
594,discuss,1.0,0.0,0.0,1.0
595,discussed,0.0,0.0,1.0,0.0
596,display,9.0,0.0,8.0,9.0
597,displays,1.0,0.0,0.0,1.0
598,div,6.0,0.0,0.0,6.0
599,diving,1.0,0.0,0.0,1.0
600,django,4.0,0.0,0.0,4.0
601,docasap,1.0,0.0,0.0,1.0
602,doctor,0.0,0.0,15.0,0.0
603,doctors,1.0,0.0,1.0,1.0
604,document,3.0,0.0,0.0,3.0
605,documentation,1.0,0.0,0.0,1.0
606,documents,1.0,0.0,0.0,1.0
607,dodge,0.0,0.0,130.0,0.0
608,does,17.0,0.0,50.0,17.0
609,doesn't,1.0,0.0,0.0,1.0
610,dollar,2.0,0.0,0.0,2.0
611,dom,2.0,0.0,0.0,2.0
612,don't,9.0,0.0,0.0,9.0
613,donate,25.0,0.0,201.0,25.0
614,donating,1.0,0.0,0.0,1.0
615,donation,0.0,0.0,1.0,0.0
616,donations,2.0,0.0,0.0,2.0
617,done,0.0,0.0,32.0,0.0
618,donor,16.0,0.0,0.0,16.0
619,dont,1.0,0.0,0.0,1.0
620,don’t,3.0,0.0,1.0,3.0
621,dose,0.0,0.0,15.0,0.0
622,dotted,1.0,0.0,0.0,1.0
623,douglas,0.0,0.0,130.0,0.0
624,dow,0.0,0.0,130.0,0.0
625,down,8.0,0.0,0.0,8.0
626,download,1.0,0.0,1.0,1.0
627,downloaded,1.0,0.0,0.0,1.0
628,drastic,1.0,0.0,0.0,1.0
629,driving,1.0,0.0,0.0,1.0
630,drop,4.0,0.0,0.0,4.0
631,dropdown,4.0,0.0,0.0,4.0
632,drug,2.0,0.0,0.0,2.0
633,dua,1.0,0.0,0.0,1.0
634,due,3.0,0.0,2.0,3.0
635,dunbar,0.0,0.0,142.0,0.0
636,dunlap,0.0,0.0,130.0,0.0
637,durante,0.0,0.0,1.0,0.0
638,during,4.0,0.0,16.0,4.0
639,dysfunction,4.0,0.0,0.0,4.0
640,ea's,2.0,0.0,0.0,2.0
641,each,6.0,0.0,41.0,6.0
642,eagle,0.0,0.0,130.0,0.0
