,token,Total0,Total1,Total2,Total3,Total4
101,achieved,0.0,2.0,0.0,0.0,0.0
102,achievement,0.0,3.0,0.0,0.0,0.0
103,achievements,0.0,2.0,0.0,0.0,0.0
104,achieves,0.0,17.0,0.0,0.0,0.0
105,achieving,0.0,3.0,0.0,0.0,0.0
106,acknowledge,0.0,3.0,0.0,0.0,0.0
107,aco,0.0,32.0,0.0,0.0,0.0
108,acoexceptional,0.0,1.0,0.0,0.0,0.0
109,acorn,0.0,3.0,0.0,0.0,0.0
110,acpn,0.0,0.0,0.0,1.0,1.0
111,across,0.0,4.0,2.0,2.0,2.0
112,acs,0.0,1.0,0.0,0.0,0.0
113,act,0.0,35.0,1.0,0.0,0.0
114,action,0.0,5.0,19.0,21.0,21.0
115,actions,0.0,0.0,1.0,1.0,1.0
116,actiontag,0.0,0.0,1.0,1.0,1.0
117,active,0.0,4.0,1.0,1.0,1.0
118,actively,0.0,1.0,0.0,0.0,0.0
119,activists,0.0,0.0,2.0,2.0,2.0
120,activities,0.0,3.0,0.0,0.0,0.0
121,activity,0.0,2.0,5.0,5.0,5.0
122,actualizaciones,0.0,1.0,0.0,0.0,0.0
123,actually,0.0,2.0,0.0,0.0,0.0
124,acupuncture,0.0,1.0,0.0,0.0,0.0
125,acute,0.0,7.0,0.0,0.0,0.0
126,adapter,0.0,1.0,0.0,0.0,0.0
127,adapting,0.0,1.0,0.0,0.0,0.0
128,adcreate,0.0,0.0,1.0,1.0,1.0
129,add,0.0,4.0,15.0,16.0,16.0
130,added,0.0,6.0,0.0,0.0,0.0
131,addiction,0.0,1.0,0.0,0.0,0.0
132,addition,0.0,5.0,0.0,0.0,0.0
133,additional,0.0,4.0,7.0,7.0,7.0
134,addms,0.0,0.0,1.0,1.0,1.0
135,address,0.0,5.0,5.0,5.0,5.0
136,addressed,0.0,4.0,0.0,0.0,0.0
137,addresses,0.0,2.0,1.0,1.0,1.0
138,adds,0.0,1.0,5.0,5.0,5.0
139,adequate,0.0,90.0,0.0,0.0,0.0
140,adhere,0.0,0.0,1.0,1.0,1.0
141,adjust,0.0,1.0,0.0,0.0,0.0
142,adjusting,0.0,1.0,0.0,0.0,0.0
143,administration,0.0,4.0,0.0,0.0,0.0
144,administrationnew,0.0,0.0,1.0,1.0,1.0
145,administrative,0.0,3.0,0.0,0.0,0.0
146,admission,0.0,3.0,0.0,0.0,0.0
147,admissions,0.0,1.0,0.0,0.0,0.0
148,admit,0.0,13.0,0.0,0.0,0.0
149,adolescence,0.0,1.0,0.0,0.0,0.0
150,ads,0.0,0.0,2.0,2.0,2.0
151,adult,0.0,97.0,0.0,1.0,1.0
152,adulthood,0.0,30.0,0.0,0.0,0.0
153,adults,0.0,32.0,0.0,0.0,0.0
154,advance,0.0,1.0,4.0,2.0,2.0
155,advanced,0.0,59.0,1.0,1.0,1.0
156,advancements,0.0,1.0,0.0,0.0,0.0
157,advances,0.0,0.0,1.0,1.0,1.0
158,advancing,0.0,0.0,2.0,2.0,2.0
159,advantage,0.0,1.0,0.0,0.0,0.0
160,advantages,0.0,1.0,0.0,0.0,0.0
161,adverse,0.0,2.0,0.0,0.0,0.0
162,advertiser’s,0.0,1.0,0.0,0.0,0.0
163,advertising,0.0,4.0,0.0,0.0,0.0
164,advice,0.0,34.0,0.0,0.0,0.0
165,advise,0.0,31.0,0.0,0.0,0.0
166,advised,0.0,1.0,0.0,0.0,0.0
167,advocacy,0.0,0.0,12.0,13.0,13.0
168,advocate,0.0,0.0,1.0,1.0,1.0
169,aerobically,0.0,1.0,0.0,0.0,0.0
170,aetna,0.0,0.0,0.0,1.0,1.0
171,aff,0.0,0.0,3.0,3.0,3.0
172,affairs,0.0,4.0,0.0,0.0,0.0
173,affairsappointments,0.0,1.0,0.0,0.0,0.0
174,affect,0.0,3.0,0.0,0.0,0.0
175,affected,0.0,1.0,0.0,0.0,0.0
176,affective,0.0,1.0,0.0,0.0,0.0
177,affects,0.0,4.0,0.0,0.0,0.0
178,affilate,0.0,0.0,2.0,2.0,2.0
179,affiliate,0.0,0.0,11.0,13.0,13.0
180,affiliatecode,0.0,0.0,2.0,2.0,2.0
181,affiliatecodelocation,0.0,0.0,1.0,1.0,1.0
182,affiliated,0.0,1.0,0.0,0.0,0.0
183,affiliateid,0.0,0.0,4.0,4.0,4.0
184,affiliation,0.0,0.0,1.0,1.0,1.0
185,affirm,0.0,0.0,1.0,0.0,0.0
186,affirming,0.0,0.0,0.0,1.0,1.0
187,afford,0.0,1.0,0.0,0.0,0.0
188,affordable,0.0,2.0,1.0,5.0,5.0
189,africa,0.0,0.0,1.0,1.0,1.0
190,african,0.0,2.0,0.0,0.0,0.0
191,africasouth,0.0,1.0,0.0,0.0,0.0
192,after,0.0,40.0,10.0,11.0,11.0
193,afternoon,0.0,1.0,0.0,0.0,0.0
194,again,0.0,6.0,2.0,2.0,2.0
195,against,0.0,6.0,2.0,2.0,2.0
196,age,0.0,127.0,2.0,6.0,6.0
197,agent,0.0,0.0,3.0,5.0,5.0
198,ages,0.0,2.0,0.0,0.0,0.0
199,aggregate,0.0,3.0,0.0,0.0,0.0
200,aggregated,0.0,3.0,0.0,0.0,0.0
201,ago,0.0,2.0,42.0,41.0,41.0
202,agree,0.0,12.0,1.0,1.0,1.0
203,agreed,0.0,1.0,0.0,0.0,0.0
204,agreement,0.0,3.0,0.0,0.0,0.0
205,agricultores,0.0,1.0,0.0,0.0,0.0
206,aguacates,0.0,1.0,0.0,0.0,0.0
207,ahead,0.0,0.0,0.0,1.0,1.0
208,aid,0.0,5.0,0.0,0.0,0.0
209,aides,0.0,2.0,0.0,0.0,0.0
210,aids,0.0,3.0,0.0,0.0,0.0
211,aidé,0.0,6.0,0.0,0.0,0.0
212,aims,0.0,1.0,0.0,0.0,0.0
213,aioli,0.0,1.0,0.0,0.0,0.0
214,akinrinde,0.0,2.0,0.0,0.0,0.0
215,alan,0.0,1.0,0.0,0.0,0.0
216,alert,0.0,3.0,0.0,0.0,0.0
217,alerts,0.0,1.0,2.0,3.0,3.0
218,alex,0.0,1.0,0.0,0.0,0.0
219,alfredo,0.0,2.0,0.0,0.0,0.0
220,alguna,0.0,1.0,0.0,0.0,0.0
221,aligned,0.0,1.0,0.0,0.0,0.0
222,aligns,0.0,1.0,0.0,0.0,0.0
223,alike,0.0,2.0,0.0,0.0,0.0
224,all,0.0,215.0,23.0,30.0,30.0
225,allbook,0.0,1.0,0.0,0.0,0.0
226,allcarneys,0.0,1.0,0.0,0.0,0.0
227,allenglish,0.0,1.0,0.0,0.0,0.0
228,allfemale,0.0,1.0,0.0,0.0,0.0
229,alliance,0.0,12.0,0.0,0.0,0.0
230,allied,0.0,1.0,0.0,0.0,0.0
231,allnewborns,0.0,1.0,0.0,0.0,0.0
232,allnurse,0.0,1.0,0.0,0.0,0.0
233,allogeneic,0.0,1.0,0.0,0.0,0.0
234,allow,0.0,7.0,1.0,1.0,2.0
235,allowable,0.0,0.0,5.0,6.0,6.0
236,allowed,0.0,0.0,0.0,0.0,1.0
237,allows,0.0,2.0,3.0,3.0,3.0
238,alltype,0.0,2.0,0.0,0.0,0.0
239,allyes,0.0,2.0,0.0,0.0,0.0
240,almonds,0.0,1.0,0.0,0.0,0.0
241,almost,0.0,1.0,0.0,0.0,0.0
242,along,0.0,4.0,0.0,0.0,0.0
243,alongside,0.0,2.0,0.0,0.0,0.0
244,alpha,0.0,1.0,0.0,0.0,0.0
245,already,0.0,3.0,1.0,1.0,1.0
246,also,0.0,152.0,11.0,9.0,9.0
247,alter,0.0,1.0,0.0,0.0,0.0
248,alternative,0.0,2.0,0.0,0.0,0.0
249,although,0.0,31.0,0.0,0.0,0.0
250,always,0.0,34.0,5.0,8.0,8.0
251,alzheimer's,0.0,1.0,0.0,0.0,0.0
252,alzheimer’s,0.0,31.0,0.0,0.0,0.0
253,amazing,0.0,0.0,1.0,1.0,1.0
254,ambassador,0.0,5.0,0.0,0.0,0.0
255,ambassadors,0.0,2.0,0.0,0.0,0.0
256,ambulatory,0.0,2.0,0.0,0.0,0.0
257,america,0.0,7.0,5.0,6.0,6.0
258,america's,0.0,2.0,2.0,2.0,2.0
259,american,0.0,6.0,0.0,0.0,0.0
260,americans,0.0,2.0,0.0,0.0,0.0
261,america’s,0.0,31.0,0.0,1.0,1.0
262,amerihealth,0.0,0.0,0.0,1.0,1.0
263,among,0.0,42.0,0.0,0.0,0.0
264,amount,0.0,60.0,4.0,4.0,4.0
265,ampersand,0.0,2.0,0.0,0.0,0.0
266,amélioré,0.0,2.0,0.0,0.0,0.0
267,analysis,0.0,2.0,0.0,0.0,0.0
268,analystnyc,0.0,0.0,1.0,1.0,1.0
269,analytics,0.0,3.0,2.0,2.0,2.0
270,analyze,0.0,1.0,0.0,0.0,0.0
271,anatomy,0.0,0.0,2.0,2.0,2.0
272,anchor,0.0,32.0,0.0,0.0,0.0
273,ancient,0.0,1.0,0.0,0.0,0.0
274,anesthetist,0.0,1.0,0.0,0.0,0.0
275,aneurysm,0.0,3.0,0.0,0.0,0.0
276,anew,0.0,1.0,0.0,0.0,0.0
277,angina,0.0,1.0,0.0,0.0,0.0
278,angioplasty,0.0,2.0,0.0,0.0,0.0
279,anillo,0.0,0.0,2.0,2.0,2.0
280,ankle,0.0,1.0,0.0,0.0,0.0
281,announce,0.0,1.0,0.0,0.0,0.0
282,announced,0.0,1.0,0.0,0.0,0.0
283,annual,0.0,4.0,1.0,3.0,3.0
284,anonymize,0.0,1.0,0.0,0.0,0.0
285,anonymous,0.0,0.0,2.0,2.0,2.0
286,another,0.0,3.0,1.0,0.0,0.0
287,answer,0.0,4.0,1.0,2.0,2.0
288,answered,0.0,1.0,0.0,0.0,0.0
289,answering,0.0,0.0,2.0,2.0,2.0
290,answers,0.0,1.0,3.0,4.0,4.0
291,antibiotics,0.0,2.0,0.0,0.0,0.0
292,anticipated,0.0,1.0,0.0,0.0,0.0
293,anticipates,0.0,2.0,0.0,0.0,0.0
294,anticoagulant,0.0,1.0,0.0,0.0,0.0
295,anticonceptivo,0.0,0.0,1.0,1.0,1.0
296,antidote,0.0,1.0,0.0,0.0,0.0
297,antioxidants,0.0,1.0,0.0,0.0,0.0
298,antiviral,0.0,1.0,0.0,0.0,0.0
299,anual,0.0,1.0,0.0,0.0,0.0
300,anxious,0.0,1.0,0.0,0.0,0.0
301,any,0.0,63.0,15.0,16.0,19.0
302,anyone,0.0,2.0,0.0,0.0,0.0
303,anything,0.0,1.0,1.0,1.0,1.0
304,anytime,0.0,1.0,0.0,1.0,1.0
305,aortic,0.0,8.0,0.0,0.0,0.0
306,apc,0.0,4.0,0.0,0.0,0.0
307,apcs,0.0,9.0,0.0,0.0,0.0
308,api,0.0,0.0,1.0,1.0,1.0
309,apologize,0.0,0.0,0.0,0.0,1.0
310,app,0.0,2.0,5.0,7.0,7.0
311,apparel,0.0,0.0,1.0,1.0,1.0
312,appear,0.0,0.0,2.0,2.0,2.0
313,appearance,0.0,1.0,0.0,0.0,0.0
314,appeared,0.0,6.0,0.0,0.0,0.0
315,appears,0.0,30.0,0.0,0.0,0.0
316,appends,0.0,0.0,2.0,2.0,2.0
317,apple,0.0,2.0,0.0,0.0,0.0
318,apples,0.0,3.0,0.0,0.0,0.0
319,applicable,0.0,2.0,0.0,0.0,0.0
320,applicant,0.0,0.0,1.0,1.0,1.0
321,application,0.0,2.0,0.0,0.0,0.0
322,applications,0.0,2.0,0.0,0.0,0.0
323,applied,0.0,1.0,0.0,0.0,0.0
324,applies,0.0,2.0,0.0,0.0,0.0
325,apply,0.0,10.0,0.0,2.0,2.0
326,appointment,0.0,19.0,6.0,16.0,16.0
327,appointmentevent,0.0,20.0,0.0,0.0,0.0
328,appointments,0.0,6.0,3.0,3.0,3.0
329,appreciate,0.0,0.0,0.0,1.0,1.0
330,appris,0.0,2.0,0.0,0.0,0.0
331,approach,0.0,2.0,0.0,0.0,0.0
332,appropriate,0.0,3.0,0.0,0.0,0.0
333,appropriately,0.0,1.0,0.0,0.0,0.0
334,approval,0.0,1.0,0.0,0.0,0.0
335,approved,0.0,1.0,0.0,0.0,0.0
336,april,0.0,13.0,0.0,0.0,0.0
337,aprns,0.0,1.0,0.0,0.0,0.0
338,aquí,0.0,2.0,0.0,0.0,0.0
339,arab,0.0,2.0,0.0,0.0,0.0
340,archived,0.0,0.0,1.0,1.0,1.0
341,archives,0.0,14.0,0.0,0.0,0.0
342,area,0.0,3.0,1.0,0.0,0.0
343,areas,0.0,2.0,0.0,0.0,0.0
344,args,0.0,0.0,1.0,0.0,0.0
345,arise,0.0,1.0,0.0,0.0,0.0
346,arm,0.0,3.0,3.0,3.0,3.0
347,arms,0.0,1.0,0.0,0.0,0.0
348,around,0.0,2.0,0.0,0.0,0.0
349,arpa,0.0,1.0,0.0,0.0,0.0
350,arrangement,0.0,1.0,0.0,0.0,0.0
351,arrangements,0.0,0.0,1.0,1.0,2.0
352,array,0.0,2.0,5.0,5.0,5.0
353,arrest,0.0,3.0,0.0,0.0,0.0
354,arrhythmia,0.0,33.0,0.0,0.0,0.0
355,arrow,0.0,0.0,5.0,6.0,6.0
356,arrows,0.0,0.0,1.0,0.0,0.0
357,arsht,0.0,31.0,0.0,0.0,0.0
358,art,0.0,0.0,1.0,1.0,1.0
359,arterial,0.0,1.0,0.0,0.0,0.0
360,arteries,0.0,8.0,0.0,0.0,0.0
361,artery,0.0,25.0,0.0,0.0,0.0
362,article,0.0,62.0,0.0,0.0,0.0
363,articles,0.0,1.0,0.0,0.0,0.0
364,arts,0.0,4.0,0.0,0.0,0.0
365,arugula,0.0,1.0,0.0,0.0,0.0
366,asaiah,0.0,1.0,0.0,0.0,0.0
367,ascension,0.0,1.0,0.0,0.0,0.0
368,asian,0.0,1.0,0.0,0.0,0.0
369,ask,0.0,6.0,2.0,5.0,5.0
370,asked,0.0,5.0,5.0,5.0,5.0
371,asking,0.0,1.0,0.0,0.0,0.0
372,aspect,0.0,2.0,0.0,0.0,0.0
373,aspirin,0.0,2.0,0.0,0.0,0.0
374,assault,0.0,0.0,4.0,6.0,6.0
375,assessed,0.0,4.0,0.0,0.0,0.0
376,assesses,0.0,2.0,0.0,0.0,0.0
377,assessment,0.0,82.0,0.0,0.0,0.0
378,assessmentheart,0.0,4.0,0.0,0.0,0.0
379,assessmentlung,0.0,1.0,0.0,0.0,0.0
380,assessments,0.0,1.0,0.0,0.0,0.0
381,assez,0.0,2.0,0.0,0.0,0.0
382,assist,0.0,5.0,0.0,0.0,0.0
383,assistance,0.0,31.0,1.0,0.0,0.0
384,assistant,0.0,3.0,0.0,0.0,0.0
385,assistants,0.0,1.0,0.0,0.0,0.0
386,assoc,0.0,0.0,2.0,2.0,2.0
387,associated,0.0,62.0,0.0,0.0,0.0
388,associates,0.0,2.0,0.0,0.0,0.0
389,association,0.0,3.0,0.0,0.0,0.0
390,assume,0.0,1.0,0.0,0.0,0.0
391,assured,0.0,2.0,0.0,0.0,0.0
392,asthma,0.0,2.0,0.0,0.0,0.0
393,atención,0.0,5.0,0.0,0.0,0.0
394,atlantic,0.0,0.0,5.0,5.0,5.0
395,atrial,0.0,4.0,0.0,0.0,0.0
396,attack,0.0,9.0,2.0,2.0,2.0
397,attacks,0.0,1.0,9.0,9.0,9.0
398,attempt,0.0,2.0,0.0,0.0,0.0
399,attended,0.0,1.0,0.0,0.0,0.0
400,attendees,0.0,1.0,0.0,0.0,0.0
401,attention,0.0,2.0,0.0,0.0,0.0
402,attorneynyc,0.0,0.0,1.0,1.0,1.0
403,attracts,0.0,1.0,0.0,0.0,0.0
404,attributefilter,0.0,0.0,1.0,1.0,1.0
405,attributes,0.0,0.0,1.0,1.0,1.0
406,audiology,0.0,1.0,0.0,0.0,0.0
407,augmenté,0.0,2.0,0.0,0.0,0.0
408,august,0.0,18.0,0.0,0.0,0.0
409,auth,0.0,0.0,2.0,2.0,2.0
410,authorized,0.0,2.0,0.0,0.0,0.0
411,auto,0.0,296.0,8.0,2.0,2.0
412,autofocus,0.0,0.0,1.0,1.0,1.0
413,autolinkexcludednumbers,0.0,31.0,0.0,0.0,0.0
414,autolinknumbersregex,0.0,31.0,0.0,0.0,0.0
415,autologous,0.0,1.0,0.0,0.0,0.0
416,automatic,0.0,1.0,2.0,2.0,2.0
417,automatically,0.0,2.0,0.0,0.0,0.0
418,autopopulate,0.0,0.0,1.0,3.0,3.0
419,availability,0.0,6.0,1.0,0.0,0.0
420,available,0.0,11.0,7.0,11.0,11.0
421,availableonline,0.0,20.0,0.0,0.0,0.0
422,ave,0.0,0.0,0.0,1.0,0.0
423,average,0.0,3.0,0.0,0.0,0.0
424,avocados,0.0,1.0,0.0,0.0,0.0
425,avoid,0.0,3.0,0.0,0.0,0.0
426,avoiding,0.0,2.0,0.0,0.0,0.0
427,award,0.0,9.0,0.0,0.0,0.0
428,awardawards,0.0,1.0,0.0,0.0,0.0
429,awardchristianacare,0.0,1.0,0.0,0.0,0.0
430,awarded,0.0,7.0,0.0,0.0,0.0
431,awards,0.0,26.0,0.0,0.0,0.0
432,award™,0.0,8.0,0.0,0.0,0.0
433,aware,0.0,4.0,0.0,0.0,0.0
434,awareness,0.0,1.0,0.0,0.0,0.0
435,away,0.0,2.0,0.0,1.0,1.0
436,axel,0.0,2.0,0.0,0.0,0.0
437,ayisyen,0.0,31.0,0.0,0.0,0.0
438,ayudan,0.0,1.0,0.0,0.0,0.0
439,ayudarte,0.0,0.0,1.0,1.0,1.0
440,ayudó,0.0,6.0,0.0,0.0,0.0
441,año,0.0,1.0,0.0,0.0,0.0
442,babies,0.0,5.0,0.0,0.0,0.0
443,baby,0.0,26.0,0.0,0.0,0.0
444,babycommunitysidssudden,0.0,1.0,0.0,0.0,0.0
445,back,0.0,17.0,5.0,9.0,9.0
446,background,0.0,0.0,25.0,25.0,25.0
447,backyard,0.0,2.0,0.0,0.0,0.0
448,bad,0.0,1.0,2.0,2.0,2.0
449,badword,0.0,0.0,3.0,3.0,3.0
450,badwordfilter,0.0,0.0,1.0,1.0,1.0
451,badwords,0.0,0.0,1.0,1.0,1.0
452,bag,0.0,1.0,0.0,0.0,0.0
453,baja,0.0,1.0,0.0,0.0,0.0
454,bake,0.0,2.0,0.0,0.0,0.0
455,baked,0.0,2.0,0.0,0.0,0.0
456,baking,0.0,1.0,0.0,0.0,0.0
457,balance,0.0,1.0,0.0,0.0,0.0
458,balanced,0.0,30.0,0.0,0.0,0.0
459,balances,0.0,0.0,0.0,1.0,1.0
460,balancing,0.0,1.0,0.0,0.0,0.0
461,baldino,0.0,6.0,0.0,0.0,0.0
462,balloons,0.0,2.0,0.0,0.0,0.0
463,balmy,0.0,1.0,0.0,0.0,0.0
464,balsamic,0.0,1.0,0.0,0.0,0.0
465,baltimore,0.0,1.0,0.0,0.0,0.0
466,ban,0.0,0.0,3.0,3.0,3.0
467,bank,0.0,1.0,2.0,2.0,2.0
468,bans,0.0,0.0,15.0,15.0,15.0
469,bar,0.0,0.0,1.0,0.0,0.0
470,bark,0.0,2.0,0.0,0.0,0.0
471,barriers,0.0,4.0,1.0,0.0,0.0
472,barthélemysaint,0.0,1.0,0.0,0.0,0.0
473,basados,0.0,0.0,2.0,2.0,2.0
474,base,0.0,1.0,0.0,0.0,0.0
475,based,0.0,284.0,2.0,2.0,2.0
476,baseline,0.0,1.0,0.0,0.0,0.0
477,basic,0.0,0.0,4.0,4.0,4.0
478,basil,0.0,1.0,0.0,0.0,0.0
479,basmati,0.0,1.0,0.0,0.0,0.0
480,basta,0.0,0.0,1.0,1.0,1.0
481,beach,0.0,7.0,0.0,0.0,0.0
482,beacon,0.0,2.0,0.0,0.0,0.0
483,beaman,0.0,1.0,0.0,0.0,0.0
484,bean,0.0,4.0,0.0,0.0,0.0
485,beans,0.0,3.0,0.0,0.0,0.0
486,beat,0.0,1.0,0.0,0.0,0.0
487,beautiful,0.0,1.0,0.0,0.0,0.0
488,beautifully,0.0,1.0,0.0,0.0,0.0
489,because,0.0,4.0,1.0,2.0,2.0
490,become,0.0,63.0,7.0,3.0,3.0
491,becomes,0.0,2.0,2.0,2.0,2.0
492,becoming,0.0,31.0,0.0,0.0,0.0
493,bed,0.0,4.0,0.0,0.0,0.0
494,bedecked,0.0,2.0,0.0,0.0,0.0
495,bedspread,0.0,1.0,0.0,0.0,0.0
496,been,0.0,27.0,4.0,4.0,4.0
497,before,0.0,54.0,5.0,4.0,4.0
498,began,0.0,1.0,0.0,0.0,0.0
499,begin,0.0,6.0,0.0,0.0,0.0
500,beginnings,0.0,10.0,0.0,0.0,0.0
501,behalf,0.0,2.0,0.0,0.0,0.0
502,behavior,0.0,1.0,0.0,0.0,0.0
503,behavioral,0.0,5.0,0.0,0.0,0.0
504,behaviors,0.0,1.0,0.0,0.0,0.0
505,behind,0.0,1.0,0.0,0.0,1.0
506,being,0.0,40.0,2.0,2.0,2.0
507,believe,0.0,1.0,0.0,0.0,0.0
508,belong,0.0,1.0,0.0,0.0,0.0
509,below,0.0,5.0,3.0,3.0,3.0
510,benefit,0.0,37.0,0.0,0.0,0.0
511,benefits,0.0,10.0,1.0,2.0,2.0
512,best,0.0,75.0,4.0,3.0,3.0
513,better,0.0,18.0,0.0,0.0,1.0
514,bettina,0.0,2.0,0.0,0.0,0.0
515,between,0.0,270.0,1.0,1.0,1.0
516,beyond,0.0,1.0,0.0,0.0,0.0
517,bgcolor,0.0,6.0,0.0,0.0,0.0
518,bhagat,0.0,3.0,0.0,0.0,0.0
519,biblioteca,0.0,1.0,0.0,0.0,0.0
520,bienestar,0.0,2.0,0.0,0.0,0.0
521,big,0.0,3.0,0.0,0.0,0.0
522,biking,0.0,1.0,0.0,0.0,0.0
523,bilingual,0.0,1.0,0.0,0.0,0.0
524,bill,0.0,61.0,1.0,2.0,2.0
525,billcontactvisiting,0.0,1.0,0.0,0.0,0.0
526,billing,0.0,31.0,0.0,0.0,0.0
527,bills,0.0,0.0,1.0,1.0,1.0
528,billvolunteerpress,0.0,1.0,0.0,0.0,0.0
529,bind,0.0,0.0,1.0,1.0,1.0
530,biometric,0.0,1.0,0.0,0.0,0.0
531,bipartisan,0.0,1.0,0.0,0.0,0.0
532,bird,0.0,1.0,0.0,0.0,0.0
533,birth,0.0,3.0,20.0,32.0,32.0
534,bites,0.0,1.0,0.0,0.0,0.0
535,bivalent,0.0,3.0,0.0,0.0,0.0
536,black,0.0,22.0,1.0,1.0,1.0
537,bladder,0.0,1.0,0.0,0.0,0.0
