,token,Total0,Total1,Total2,Total3,Total4,Total5
63,'logincounter,2.0,1.0,2.0,0.0,0.0,0.0
64,'loginfieldscontainer',4.0,2.0,4.0,0.0,0.0,0.0
65,'logout',2.0,1.0,2.0,0.0,0.0,0.0
66,'maincontent,32.0,16.0,32.0,0.0,0.0,0.0
67,'make,2.0,1.0,2.0,0.0,0.0,0.0
68,'many,1.0,1.0,1.0,0.0,0.0,0.0
69,'mazel,1.0,1.0,1.0,0.0,0.0,0.0
70,'medical,6.0,3.0,6.0,0.0,0.0,0.0
71,'microsoft,1.0,1.0,1.0,0.0,0.0,0.0
72,'middle,2.0,1.0,2.0,0.0,0.0,0.0
73,'mobile,6.0,3.0,6.0,0.0,0.0,0.0
74,'must,2.0,1.0,2.0,0.0,0.0,0.0
75,'mute',1.0,1.0,1.0,0.0,0.0,1.0
76,'my,1.0,1.0,1.0,0.0,0.0,0.0
77,'next',12.0,6.0,12.0,0.0,0.0,0.0
78,'no',16.0,8.0,16.0,0.0,0.0,0.0
79,'off',28.0,14.0,28.0,0.0,0.0,0.0
80,'on',126.0,63.0,126.0,0.0,0.0,0.0
81,'or',2.0,1.0,2.0,0.0,0.0,0.0
82,'password,26.0,13.0,26.0,0.0,0.0,0.0
83,'passwordresetcounter,2.0,1.0,2.0,0.0,0.0,0.0
84,'patient,14.0,7.0,14.0,0.0,0.0,0.0
85,'pay,8.0,4.0,8.0,0.0,0.0,0.0
86,'phone,6.0,3.0,6.0,0.0,0.0,0.0
87,'please,30.0,15.0,30.0,0.0,0.0,0.0
88,'poweredbylogo',2.0,1.0,2.0,0.0,0.0,0.0
89,'privacy',60.0,30.0,60.0,0.0,0.0,0.0
90,'product,1.0,1.0,1.0,0.0,0.0,1.0
91,'provider,8.0,4.0,8.0,0.0,0.0,0.0
92,'provideralias,2.0,1.0,2.0,0.0,0.0,0.0
93,'pushnotificationtoken,2.0,1.0,2.0,0.0,0.0,0.0
94,'question,18.0,9.0,18.0,0.0,0.0,0.0
95,'recipient,1.0,1.0,1.0,0.0,0.0,0.0
96,'redlabel,40.0,20.0,40.0,0.0,0.0,0.0
97,'remember,2.0,1.0,2.0,0.0,0.0,0.0
98,'remove,32.0,16.0,32.0,0.0,0.0,0.0
99,'reset',2.0,1.0,2.0,0.0,0.0,0.0
100,'resetcodecounter,2.0,1.0,2.0,0.0,0.0,0.0
101,'right',210.0,105.0,210.0,0.0,0.0,0.0
102,'save,2.0,1.0,2.0,0.0,0.0,0.0
103,'save',4.0,2.0,4.0,0.0,0.0,0.0
104,'script,2.0,2.0,2.0,0.0,0.0,0.0
105,'script',2.0,1.0,2.0,0.0,0.0,0.0
106,'search,2.0,1.0,2.0,0.0,0.0,0.0
107,'search',2.0,1.0,2.0,0.0,0.0,0.0
108,'secondary,12.0,6.0,12.0,0.0,0.0,0.0
109,'secret,38.0,19.0,38.0,0.0,0.0,0.0
110,'secretanswerid,2.0,1.0,2.0,0.0,0.0,0.0
111,'select,12.0,8.0,12.0,0.0,0.0,0.0
112,'select',4.0,4.0,4.0,0.0,0.0,0.0
113,'service,8.0,4.0,8.0,0.0,0.0,0.0
114,'set,2.0,1.0,2.0,0.0,0.0,0.0
115,'sign,70.0,35.0,70.0,0.0,0.0,0.0
116,'skip,2.0,1.0,2.0,0.0,0.0,0.0
117,'skiptoreceiptbutton',2.0,1.0,2.0,0.0,0.0,0.0
118,'spacer',668.0,334.0,668.0,0.0,0.0,0.0
119,'src',2.0,1.0,2.0,0.0,0.0,0.0
120,'sri,2.0,1.0,2.0,0.0,0.0,0.0
121,'statement,14.0,7.0,14.0,0.0,0.0,0.0
122,'string',24.0,12.0,24.0,0.0,0.0,0.0
123,'stylesheet',2.0,1.0,2.0,0.0,0.0,0.0
124,'terms',60.0,30.0,60.0,0.0,0.0,0.0
125,'thank,1.0,1.0,1.0,0.0,0.0,0.0
126,'there,4.0,4.0,4.0,0.0,0.0,0.0
127,'thinking,1.0,1.0,1.0,0.0,0.0,0.0
128,'this,8.0,4.0,8.0,0.0,0.0,0.0
129,'timeoutdialog',1.0,1.0,1.0,0.0,0.0,0.0
130,'to,4.0,2.0,4.0,0.0,0.0,0.0
131,'transactionsuccess,2.0,1.0,2.0,0.0,0.0,0.0
132,'uiaction,2.0,1.0,2.0,0.0,0.0,0.0
133,'us',4.0,2.0,4.0,0.0,0.0,0.0
134,'use,6.0,6.0,6.0,0.0,0.0,2.0
135,'userisentercustomemail,2.0,1.0,2.0,0.0,0.0,0.0
136,'validationsummary',2.0,1.0,2.0,0.0,0.0,0.0
137,'verification,6.0,3.0,6.0,0.0,0.0,0.0
138,'verificationcodemethod,2.0,1.0,2.0,0.0,0.0,0.0
139,'verify',2.0,1.0,2.0,0.0,0.0,0.0
140,'we,2.0,1.0,2.0,0.0,0.0,0.0
141,'what,48.0,24.0,48.0,0.0,0.0,0.0
142,'yes',16.0,8.0,16.0,0.0,0.0,0.0
143,'you,2.0,1.0,2.0,0.0,0.0,0.0
144,'your,4.0,2.0,4.0,0.0,0.0,0.0
145,'zip,2.0,1.0,2.0,0.0,0.0,0.0
146,abc,2.0,1.0,2.0,0.0,0.0,0.0
147,ability,0.0,0.0,0.0,0.0,0.0,1.0
148,able,1.0,2.0,2.0,5.0,0.0,39.0
149,abnormal,0.0,0.0,0.0,0.0,0.0,4.0
150,abortion,50.0,50.0,51.0,183.0,0.0,86.0
151,abortions,5.0,5.0,5.0,1.0,0.0,5.0
152,abortion”,1.0,1.0,1.0,0.0,0.0,0.0
153,about,44.0,43.0,44.0,19.0,0.0,339.0
154,above,2.0,2.0,2.0,0.0,0.0,0.0
155,abstinence,2.0,2.0,2.0,0.0,0.0,0.0
156,abuse,1.0,1.0,1.0,0.0,0.0,0.0
157,accept,1.0,1.0,1.0,0.0,0.0,1.0
158,accepted,0.0,0.0,0.0,0.0,0.0,25.0
159,access,26.0,26.0,26.0,0.0,0.0,31.0
160,accessing,2.0,1.0,2.0,0.0,0.0,0.0
161,accessories,1.0,1.0,1.0,0.0,0.0,0.0
162,accommodate,0.0,0.0,0.0,0.0,0.0,2.0
163,accommodations,0.0,0.0,0.0,0.0,0.0,1.0
164,accompanied,0.0,1.0,1.0,0.0,0.0,1.0
165,accompany,0.0,1.0,1.0,0.0,0.0,1.0
166,account,19.0,13.0,19.0,0.0,0.0,1.0
167,accounttoggle,1.0,1.0,1.0,0.0,0.0,0.0
168,accurate,3.0,3.0,3.0,0.0,0.0,0.0
169,ach,1.0,1.0,1.0,0.0,0.0,0.0
170,acid,0.0,0.0,0.0,0.0,0.0,1.0
171,acknowledgment,0.0,0.0,0.0,0.0,0.0,1.0
172,across,3.0,3.0,3.0,5.0,0.0,2.0
173,act,0.0,0.0,0.0,0.0,0.0,2.0
174,action,39.0,31.0,39.0,0.0,0.0,0.0
175,actions,1.0,1.0,1.0,0.0,0.0,0.0
176,actiontag,1.0,1.0,1.0,0.0,0.0,0.0
177,active,1.0,1.0,1.0,0.0,0.0,1.0
178,actively,0.0,0.0,0.0,0.0,0.0,24.0
179,activists,2.0,2.0,2.0,0.0,0.0,2.0
180,activities,0.0,0.0,0.0,0.0,0.0,5.0
181,activity,5.0,5.0,5.0,0.0,0.0,24.0
182,actually,0.0,0.0,0.0,0.0,0.0,24.0
183,acute,0.0,0.0,0.0,0.0,0.0,1.0
184,adcreate,1.0,1.0,1.0,1.0,0.0,1.0
185,add,19.0,17.0,19.0,0.0,0.0,1.0
186,addednodes,2.0,1.0,2.0,0.0,0.0,0.0
187,addition,0.0,0.0,0.0,0.0,0.0,3.0
188,additional,8.0,8.0,8.0,0.0,0.0,2.0
189,addms,1.0,1.0,1.0,0.0,0.0,0.0
190,addr,4.0,2.0,4.0,0.0,0.0,0.0
191,address,9.0,7.0,9.0,0.0,0.0,20.0
192,addresses,1.0,1.0,1.0,0.0,0.0,0.0
193,addresstype,4.0,2.0,4.0,0.0,0.0,0.0
194,adds,5.0,5.0,5.0,0.0,0.0,0.0
195,adhere,1.0,1.0,1.0,0.0,0.0,0.0
196,administered,0.0,0.0,0.0,0.0,0.0,2.0
197,administrationnew,1.0,1.0,1.0,0.0,0.0,0.0
198,adolescent,0.0,0.0,0.0,2.0,0.0,0.0
199,adri,0.0,0.0,0.0,0.0,0.0,4.0
200,ads,3.0,3.0,3.0,0.0,0.0,1.0
201,adult,0.0,1.0,1.0,0.0,0.0,1.0
202,adults,0.0,0.0,0.0,0.0,0.0,25.0
203,advance,2.0,2.0,2.0,0.0,0.0,0.0
204,advanced,1.0,1.0,1.0,0.0,0.0,0.0
205,advances,1.0,1.0,1.0,0.0,0.0,0.0
206,advancing,2.0,2.0,2.0,0.0,0.0,0.0
207,adversity,0.0,0.0,0.0,0.0,0.0,1.0
208,advice,0.0,0.0,0.0,0.0,0.0,2.0
209,advised,0.0,0.0,0.0,0.0,0.0,1.0
210,advisors,0.0,0.0,0.0,0.0,0.0,1.0
211,advocacy,12.0,12.0,12.0,0.0,0.0,14.0
212,advocate,1.0,1.0,1.0,0.0,0.0,1.0
213,advocates,2.0,2.0,2.0,0.0,0.0,0.0
214,advocating,0.0,0.0,0.0,2.0,0.0,0.0
215,aetna,1.0,1.0,1.0,0.0,0.0,0.0
216,aff,3.0,3.0,3.0,0.0,0.0,0.0
217,affilate,2.0,2.0,2.0,0.0,0.0,0.0
218,affiliate,13.0,13.0,13.0,0.0,0.0,0.0
219,affiliatecode,2.0,2.0,2.0,0.0,0.0,0.0
220,affiliatecodelocation,1.0,1.0,1.0,0.0,0.0,0.0
221,affiliateid,4.0,4.0,4.0,0.0,0.0,0.0
222,affiliation,1.0,1.0,1.0,0.0,0.0,0.0
223,affirming,0.0,0.0,0.0,0.0,0.0,27.0
224,affordable,5.0,5.0,5.0,0.0,0.0,0.0
225,africa,1.0,1.0,1.0,0.0,0.0,0.0
226,after,11.0,11.0,11.0,1.0,0.0,9.0
227,aftercare,0.0,0.0,0.0,1.0,0.0,1.0
228,again,2.0,2.0,2.0,0.0,0.0,0.0
229,against,3.0,3.0,3.0,0.0,0.0,0.0
230,age,7.0,7.0,6.0,0.0,0.0,27.0
231,aged,0.0,0.0,0.0,0.0,0.0,1.0
232,agent,5.0,5.0,5.0,0.0,0.0,0.0
233,ages,0.0,0.0,0.0,0.0,0.0,1.0
234,ago,41.0,41.0,41.0,0.0,0.0,0.0
235,agree,3.0,2.0,3.0,5.0,0.0,0.0
236,ahead,0.0,0.0,0.0,0.0,0.0,6.0
237,ahmaud,0.0,0.0,0.0,0.0,0.0,1.0
238,aid,0.0,0.0,0.0,0.0,0.0,2.0
239,alerts,5.0,4.0,5.0,0.0,0.0,0.0
240,alias,4.0,2.0,4.0,0.0,0.0,0.0
241,align,6.0,3.0,6.0,0.0,0.0,0.0
242,all,91.0,61.0,92.0,47.0,0.0,122.0
243,allergy,0.0,0.0,0.0,0.0,0.0,1.0
244,alleviate,0.0,0.0,0.0,0.0,0.0,1.0
245,alliance,2.0,2.0,2.0,0.0,0.0,0.0
246,allow,3.0,3.0,3.0,0.0,0.0,14.0
247,allowable,6.0,6.0,6.0,0.0,0.0,0.0
248,allowed,1.0,1.0,1.0,0.0,0.0,0.0
249,allowing,0.0,0.0,0.0,0.0,0.0,1.0
250,allows,3.0,3.0,3.0,0.0,0.0,0.0
251,ally,0.0,0.0,0.0,0.0,0.0,24.0
252,almost,0.0,0.0,0.0,0.0,0.0,1.0
253,alone,0.0,0.0,0.0,1.0,0.0,0.0
254,along,0.0,0.0,0.0,1.0,0.0,1.0
255,already,3.0,2.0,3.0,0.0,0.0,1.0
256,also,12.0,10.0,12.0,1.0,0.0,8.0
257,alteration,0.0,0.0,0.0,0.0,0.0,1.0
258,alternate,0.0,0.0,0.0,5.0,0.0,0.0
259,always,8.0,8.0,8.0,0.0,0.0,31.0
260,alzheimer’s,0.0,0.0,0.0,0.0,0.0,1.0
261,amazing,1.0,1.0,1.0,0.0,0.0,24.0
262,amenities,0.0,0.0,0.0,0.0,0.0,1.0
263,america,6.0,6.0,6.0,0.0,0.0,0.0
264,america's,2.0,2.0,2.0,0.0,0.0,0.0
265,american,0.0,0.0,0.0,0.0,0.0,1.0
266,america’s,1.0,1.0,1.0,0.0,0.0,0.0
267,amount,4.0,4.0,4.0,0.0,0.0,2.0
268,analystnyc,1.0,1.0,1.0,0.0,0.0,0.0
269,analytics,5.0,5.0,5.0,0.0,0.0,2.0
270,anatomy,2.0,2.0,2.0,0.0,0.0,0.0
271,anillo,2.0,2.0,2.0,0.0,0.0,0.0
272,annie,0.0,0.0,0.0,0.0,0.0,24.0
273,announce,0.0,0.0,0.0,0.0,0.0,2.0
274,annual,3.0,3.0,3.0,0.0,0.0,1.0
275,anonymize,1.0,1.0,1.0,0.0,0.0,0.0
276,anonymous,2.0,2.0,2.0,0.0,0.0,0.0
277,another,1.0,1.0,1.0,0.0,0.0,31.0
278,answer,28.0,14.0,28.0,0.0,0.0,0.0
279,answering,2.0,2.0,2.0,0.0,0.0,0.0
280,answers,4.0,4.0,4.0,0.0,0.0,1.0
281,antarctica,0.0,0.0,0.0,0.0,0.0,1.0
282,anthem,1.0,1.0,1.0,0.0,0.0,0.0
283,anticonceptivo,1.0,1.0,1.0,0.0,0.0,0.0
284,anxieties,0.0,0.0,0.0,0.0,0.0,1.0
285,anxiety,0.0,0.0,0.0,0.0,0.0,27.0
286,any,21.0,18.0,22.0,2.0,0.0,16.0
287,anyone,1.0,1.0,1.0,2.0,0.0,0.0
288,anything,1.0,1.0,1.0,0.0,0.0,2.0
289,anywhere,0.0,0.0,0.0,0.0,0.0,1.0
290,api,1.0,1.0,1.0,0.0,0.0,0.0
291,apiary,0.0,0.0,0.0,0.0,0.0,1.0
292,app,7.0,7.0,7.0,0.0,0.0,0.0
293,apparel,1.0,1.0,1.0,0.0,0.0,0.0
294,appear,2.0,2.0,2.0,0.0,0.0,0.0
295,appears,14.0,7.0,14.0,0.0,0.0,0.0
296,appends,2.0,2.0,2.0,0.0,0.0,0.0
297,applicant,1.0,1.0,1.0,0.0,0.0,0.0
298,application,0.0,0.0,0.0,0.0,0.0,7.0
299,applies,0.0,0.0,0.0,0.0,0.0,1.0
300,apply,1.0,1.0,1.0,0.0,0.0,1.0
301,applying,0.0,0.0,0.0,0.0,0.0,1.0
302,appointment,14.0,14.0,14.0,5.0,0.0,61.0
303,appointments,2.0,2.0,2.0,10.0,0.0,3.0
304,appointments–call,0.0,0.0,0.0,0.0,0.0,1.0
305,appreciated,0.0,0.0,0.0,0.0,0.0,1.0
306,approach,0.0,0.0,0.0,0.0,0.0,1.0
307,approaches,0.0,0.0,0.0,0.0,0.0,4.0
308,appropriate,0.0,0.0,0.0,0.0,0.0,1.0
309,approved,0.0,0.0,0.0,0.0,0.0,1.0
310,approximately,0.0,0.0,0.0,0.0,0.0,1.0
311,apr,0.0,0.0,0.0,0.0,0.0,2.0
312,archived,1.0,1.0,1.0,0.0,0.0,0.0
313,area,1.0,1.0,0.0,0.0,0.0,0.0
314,areas,0.0,0.0,0.0,5.0,0.0,1.0
315,aren’t,0.0,0.0,0.0,0.0,0.0,2.0
316,arm,3.0,3.0,3.0,0.0,0.0,0.0
317,around,1.0,1.0,1.0,2.0,0.0,25.0
318,arrange,0.0,0.0,0.0,0.0,0.0,1.0
319,arrangements,1.0,1.0,1.0,0.0,0.0,0.0
320,array,5.0,5.0,5.0,0.0,0.0,0.0
321,arrive,0.0,0.0,0.0,0.0,0.0,5.0
322,arrived,0.0,0.0,0.0,0.0,0.0,1.0
323,arrow,6.0,6.0,6.0,0.0,0.0,0.0
324,arsonist,0.0,0.0,0.0,0.0,0.0,1.0
325,art,1.0,1.0,1.0,0.0,0.0,0.0
326,arthritis,0.0,0.0,0.0,0.0,0.0,1.0
327,ask,5.0,7.0,7.0,0.0,0.0,17.0
328,asked,5.0,5.0,5.0,0.0,0.0,27.0
329,asking,0.0,0.0,0.0,0.0,0.0,25.0
330,asks,0.0,0.0,0.0,0.0,0.0,24.0
331,aspiration,0.0,0.0,0.0,4.0,0.0,1.0
332,aspirin,0.0,0.0,0.0,0.0,0.0,1.0
333,assault,6.0,6.0,6.0,0.0,0.0,0.0
334,assessment,1.0,1.0,1.0,0.0,0.0,0.0
335,assign,1.0,1.0,1.0,0.0,0.0,1.0
336,assist,0.0,0.0,0.0,0.0,0.0,4.0
337,assistance,0.0,0.0,0.0,5.0,0.0,1.0
338,assisting,0.0,0.0,0.0,0.0,0.0,1.0
339,assoc,2.0,2.0,2.0,0.0,0.0,0.0
340,associated,4.0,2.0,4.0,0.0,0.0,0.0
341,assure,0.0,0.0,0.0,0.0,0.0,1.0
342,athena,0.0,0.0,0.0,0.0,0.0,1.0
343,atlantic,5.0,5.0,5.0,0.0,0.0,0.0
344,attack,2.0,2.0,2.0,0.0,0.0,1.0
345,attacks,9.0,9.0,9.0,0.0,0.0,0.0
346,attempt,1.0,1.0,1.0,0.0,0.0,2.0
347,attorneynyc,1.0,1.0,1.0,0.0,0.0,0.0
348,attributefilter,1.0,1.0,1.0,0.0,0.0,0.0
349,attributename,2.0,1.0,2.0,0.0,0.0,0.0
350,attributes,1.0,1.0,1.0,0.0,0.0,0.0
351,auth,2.0,2.0,2.0,0.0,0.0,0.0
352,authentic,0.0,0.0,0.0,0.0,0.0,1.0
353,auto,2.0,2.0,2.0,0.0,0.0,216.0
354,autofocus,1.0,1.0,1.0,0.0,0.0,0.0
355,automatic,18.0,10.0,18.0,0.0,0.0,0.0
356,automatically,2.0,1.0,2.0,0.0,0.0,2.0
357,autonomy,0.0,0.0,0.0,0.0,0.0,1.0
358,autopopulate,3.0,3.0,3.0,0.0,0.0,0.0
359,availability,0.0,0.0,0.0,0.0,0.0,1.0
360,available,10.0,8.0,11.0,5.0,0.0,6.0
361,average,0.0,0.0,0.0,0.0,0.0,1.0
362,avid,0.0,0.0,0.0,0.0,0.0,24.0
363,avoid,0.0,0.0,0.0,0.0,0.0,2.0
364,avoiding,1.0,1.0,1.0,0.0,0.0,0.0
365,aware,0.0,0.0,0.0,0.0,0.0,2.0
366,awareness,0.0,0.0,0.0,0.0,0.0,1.0
367,away,1.0,1.0,0.0,0.0,0.0,1.0
368,awesome,0.0,0.0,0.0,0.0,0.0,24.0
369,ayudarte,1.0,1.0,1.0,0.0,0.0,0.0
370,back,10.0,10.0,10.0,5.0,0.0,53.0
371,background,25.0,25.0,25.0,0.0,0.0,1.0
372,backgrounds,0.0,0.0,0.0,5.0,0.0,0.0
373,backslash,4.0,2.0,4.0,0.0,0.0,0.0
374,bacterial,0.0,0.0,0.0,0.0,0.0,2.0
375,bad,2.0,2.0,2.0,0.0,0.0,25.0
376,badword,3.0,3.0,3.0,0.0,0.0,0.0
377,badwordfilter,1.0,1.0,1.0,0.0,0.0,0.0
378,badwords,1.0,1.0,1.0,0.0,0.0,0.0
379,ban,3.0,3.0,3.0,0.0,0.0,0.0
380,bank,2.0,2.0,2.0,0.0,0.0,0.0
381,banks,0.0,0.0,0.0,0.0,0.0,24.0
382,bans,15.0,15.0,15.0,0.0,0.0,0.0
383,bar,0.0,0.0,0.0,0.0,0.0,24.0
384,barnard,0.0,0.0,0.0,0.0,0.0,24.0
385,basados,2.0,2.0,2.0,0.0,0.0,0.0
386,based,2.0,2.0,2.0,0.0,0.0,7.0
387,basic,5.0,5.0,5.0,0.0,0.0,2.0
388,basis,0.0,0.0,0.0,0.0,0.0,2.0
389,basta,1.0,1.0,1.0,0.0,0.0,0.0
390,became,0.0,0.0,0.0,0.0,0.0,1.0
391,because,2.0,2.0,1.0,1.0,0.0,51.0
392,become,3.0,3.0,3.0,0.0,0.0,3.0
393,becomes,2.0,2.0,2.0,0.0,0.0,0.0
394,been,10.0,7.0,9.0,0.0,0.0,156.0
395,before,4.0,4.0,4.0,0.0,0.0,35.0
396,behind,0.0,0.0,0.0,0.0,0.0,2.0
397,being,2.0,2.0,2.0,0.0,0.0,30.0
398,belief,0.0,0.0,0.0,0.0,0.0,3.0
399,beliefs,0.0,0.0,0.0,0.0,0.0,1.0
400,believe,0.0,0.0,0.0,15.0,0.0,35.0
401,believes,0.0,0.0,0.0,0.0,0.0,1.0
402,belongs,0.0,0.0,0.0,0.0,0.0,1.0
403,below,6.0,5.0,6.0,0.0,0.0,25.0
404,benefit,0.0,0.0,0.0,0.0,0.0,3.0
405,benefits,1.0,1.0,1.0,0.0,0.0,2.0
406,best,2.0,2.0,2.0,0.0,0.0,52.0
407,better,0.0,0.0,0.0,0.0,0.0,1.0
408,between,1.0,1.0,1.0,0.0,0.0,1.0
409,biases,1.0,1.0,1.0,0.0,0.0,0.0
410,big,1.0,1.0,1.0,0.0,0.0,0.0
411,bill,4.0,4.0,4.0,0.0,0.0,3.0
412,billing,0.0,0.0,0.0,0.0,0.0,4.0
413,bills,3.0,2.0,3.0,0.0,0.0,0.0
414,bind,1.0,1.0,1.0,0.0,0.0,0.0
415,bing,0.0,0.0,0.0,0.0,0.0,1.0
416,biopsies,0.0,0.0,0.0,0.0,0.0,1.0
417,birth,36.0,35.0,36.0,0.0,0.0,31.0
418,birthday,12.0,6.0,12.0,0.0,0.0,0.0
419,bites,0.0,0.0,0.0,0.0,0.0,1.0
420,black,1.0,1.0,1.0,0.0,0.0,0.0
421,blau,0.0,0.0,0.0,0.0,0.0,2.0
422,bleeding,0.0,0.0,0.0,0.0,0.0,2.0
423,block,5.0,5.0,5.0,0.0,0.0,25.0
424,blockers,0.0,0.0,0.0,0.0,0.0,3.0
425,blockquote,0.0,0.0,0.0,0.0,0.0,624.0
426,blocks,0.0,0.0,0.0,0.0,0.0,1.0
427,blog,12.0,12.0,12.0,0.0,0.0,25.0
428,blood,0.0,0.0,0.0,0.0,0.0,26.0
429,blue,6.0,5.0,6.0,0.0,0.0,381.0
430,blur,1.0,1.0,1.0,0.0,0.0,0.0
431,bmc,0.0,0.0,0.0,0.0,0.0,86.0
432,bmc’s,0.0,0.0,0.0,0.0,0.0,1.0
433,board,0.0,0.0,0.0,0.0,0.0,25.0
434,bodies,12.0,12.0,12.0,0.0,0.0,0.0
435,body,6.0,5.0,6.0,0.0,0.0,3.0
436,bogus,1.0,1.0,1.0,0.0,0.0,0.0
437,bold,1.0,1.0,1.0,0.0,0.0,0.0
438,bonfire,0.0,0.0,0.0,0.0,0.0,1.0
439,book,7.0,7.0,7.0,0.0,0.0,0.0
440,books,0.0,0.0,0.0,0.0,0.0,1.0
441,borders,0.0,0.0,0.0,0.0,0.0,1.0
442,born,0.0,0.0,0.0,0.0,0.0,25.0
443,both,3.0,3.0,3.0,2.0,0.0,0.0
444,bothinfo,1.0,1.0,1.0,0.0,0.0,0.0
445,bottom,1.0,1.0,1.0,0.0,0.0,0.0
446,bowel,0.0,0.0,0.0,0.0,0.0,1.0
447,box,2.0,2.0,2.0,5.0,0.0,1.0
448,boys,0.0,0.0,0.0,0.0,0.0,24.0
449,brand,1.0,1.0,1.0,0.0,0.0,0.0
450,breaking,1.0,1.0,1.0,0.0,0.0,0.0
451,breast,0.0,0.0,0.0,0.0,0.0,1.0
452,breathe,0.0,0.0,0.0,0.0,0.0,1.0
453,breonna,0.0,0.0,0.0,0.0,0.0,1.0
454,brief,0.0,0.0,0.0,0.0,0.0,1.0
455,bring,2.0,2.0,3.0,0.0,0.0,4.0
456,brings,2.0,2.0,2.0,0.0,0.0,2.0
457,broadwater,0.0,0.0,9.0,0.0,0.0,0.0
458,broadway,0.0,0.0,0.0,0.0,0.0,4.0
459,broken,0.0,0.0,0.0,0.0,0.0,1.0
460,brought,0.0,0.0,0.0,0.0,0.0,1.0
461,browser,2.0,2.0,2.0,0.0,0.0,6.0
462,browsername,2.0,1.0,2.0,0.0,0.0,0.0
463,browsers,1.0,1.0,1.0,0.0,0.0,1.0
464,browserversion,2.0,1.0,2.0,0.0,0.0,0.0
