,Total
_paq,52.0
_trfd,1.0
_trfq,1.0
_vwo_code,8.0
_vwo_settings_timer,8.0
_window,1.0
_wpmejssettings,3.0
_wputilsettings,3.0
a2a_config,2.0
abbr,2.0
abcs,240.0
abdomen,2.0
abdominal,5.0
abide,2.0
ability,43.0
able,73.0
abnormal,2.0
abort,15.0
abortion,1750.0
abortion1,1.0
abortionadoption,2.0
abortiondocumented,2.0
abortionists,1.0
abortions,82.0
abortive,40.0
abortivos,2.0
aborto,11.0
abound,9.0
about,1498.0
above,9.0
absolute,319.0
absolutely,34.0
absorbing,3.0
abstain,2.0
abstinence,9.0
abstract,106.0
abuse,18.0
abuseheader,1.0
academic,1.0
accept,2.0
acceptable,1.0
acceptance,4.0
accepted,6.0
accepting,1.0
access,111.0
accessibility,11.0
accessibilitymode,1.0
accessible,35.0
accompanying,1.0
accomplished,9.0
accordance,3.0
according,32.0
accordions_ajax,13.0
account,51.0
account_id,16.0
accountability,37.0
accounted,1.0
accountemail,1.0
accountmy,1.0
accounts,12.0
accountssign,1.0
accreditation,15.0
accredited,8.0
accrue,48.0
accruing,8.0
accuracy,4.0
accurate,65.0
accurately,46.0
accused,2.0
achieve,11.0
achieving,15.0
acid,3.0
acknowledge,1.0
acknowledgment,1.0
acr,1.0
across,226.0
act,31.0
actbeat,1.0
acted,1.0
acting,2.0
action,330.0
actions,5.0
activated,7.0
active,67.0
activex,3.0
activities,8.0
activitiesantique,1.0
activity,25.0
acts,1.0
actual,5.0
actualizar,2.0
actually,12.0
acu,16.0
acuity,2.0
acute,5.0
ad,3.0
adam,2.0
adams,1.0
adapt,4.0
add,373.0
added,139.0
addevent,2.0
addict,1.0
addiction,5.0
addictionresources,1.0
addictive,1.0
adding,106.0
addition,13.0
additional,80.0
additional_information,2.0
additions,1.0
address,239.0
addressed,4.0
addressing,4.0
adds,105.0
addstylesnode,4.0
addtowatchlistid,16.0
adelita,1.0
adequate,16.0
adequately,1.0
adherence,8.0
adjoining,2.0
adjudications,1.0
adjunct,1.0
adjustments,10.0
administer,10.0
administered,3.0
administers,1.0
administration,8.0
administrative,15.0
administrator,4.0
administratorcounty,1.0
admits,1.0
admitted,1.0
adolescence,3.0
adolescent,7.0
adolescents,2.0
adopted,13.0
adopting,8.0
adoption,265.0
adoptionjosh,4.0
adoptions,2.0
adoptive,57.0
adoration,1.0
adrenal,2.0
adriana,2.0
adrienne,1.0
ads,17.0
adsense,1.0
adult,241.0
adulthood,1.0
adultos,7.0
adults,41.0
advance,19.0
advanced,16.0
advancement,16.0
advances,2.0
advantage,1.0
advent,1.0
adventure,1.0
adverse,7.0
advertise,1.0
advertisements,3.0
advertising,9.0
advice,1.0
advise,10.0
adviser,1.0
advisor,5.0
advisorieseducation,1.0
advisorieshealth,1.0
advisors,2.0
advocacy,12.0
advocate,54.0
advocatelegal,1.0
advocates,93.0
af_dataservicerequests,1.0
af_initdatachunkqueue,1.0
af_initdatakeys,1.0
afectarán,2.0
affect,8.0
affected,39.0
affecting,16.0
affection,8.0
affects,13.0
affiliate,1.0
affiliated,5.0
affiliates,1.0
affirm,1.0
affirmed,7.0
affirming,10.0
affirms,2.0
afford,1.0
affordable,61.0
afraid,2.0
africa,1.0
african,30.0
afrikaans,13.0
after,358.0
aftercare,1.0
aftermath,1.0
afternoon,2.0
afterwards,2.0
again,18.0
against,17.0
age,46.0
aged,3.0
agencies,30.0
agenciesfood,1.0
agenciessuperior,1.0
agency,35.0
agent,13.0
ages,3.0
aggregate,1.0
aggregator,1.0
aging,21.0
agitated,1.0
ago,3.0
agree,18.0
agreed,4.0
agreement,8.0
ahcccs,20.0
ahead,5.0
aid,6.0
aide,205.0
aim,15.0
aiming,5.0
aimless,1.0
air,4.0
ajax,1.0
ajax_login_object,3.0
ajaxurl,104.0
ajojustice,1.0
aka,9.0
al,18.0
alabamaalaskaamerican,7.0
albanian,13.0
alcohol,21.0
alert,4.0
alertsair,1.0
alertsconsumer,1.0
alex,19.0
alexandrea,3.0
alguno,2.0
algún,4.0
align,106.0
alignfull,104.0
alignwide,104.0
alive,4.0
all,1153.0
allacross,1.0
allergic,8.0
allergy,1.0
alliance,90.0
allied,2.0
allow,35.0
allowed,114.0
allowing,5.0
allows,29.0
ally,3.0
alma,36.0
almost,10.0
alone,18.0
along,66.0
alongside,27.0
alpha,25.0
alpine,3.0
already,62.0
also,236.0
alsup,1.0
alt,2.0
altered,1.0
alternate,8.0
alternative,1.0
alternatives,6.0
although,14.0
altrock,1.0
alvernon,40.0
always,123.0
alyssa,36.0
am,1348.0
amanda,6.0
amazing,24.0
amazon,16.0
amazonsmile,18.0
ambergris,1.0
ameaslesmental,1.0
amendment,1.0
amenitiesarts,1.0
amenitiesfilter,1.0
america,15.0
american,37.0
americans,12.0
americasarmed,7.0
americorps,6.0
amharic,13.0
amo,4.0
among,32.0
amongst,8.0
amor,7.0
amount,9.0
amphetamines,1.0
amplified,8.0
amy,9.0
anabortion,1.0
anal,14.0
analysis,35.0
analytics,42.0
analyze,24.0
analyzed,1.0
android,3.0
andthe,1.0
andwonderfully,1.0
andworthy,1.0
andy,5.0
angels,1.0
anger,11.0
angiogenesis,1.0
angry,1.0
anguish,1.0
animal,3.0
animals,4.0
anita,41.0
ann,1.0
annals,1.0
anniversary,1.0
announce,2.0
announced,2.0
announcement,1.0
announcements,4.0
annual,39.0
annually,2.0
annuity,1.0
anointed,8.0
anonymous,2.0
another,88.0
answer,58.0
answered,12.0
answering,4.0
answers,32.0
antes,2.0
anthem,4.0
anthony,4.0
antimicrobial,3.0
antley,1.0
ants,9.0
anxiety,11.0
anxious,3.0
any,339.0
anyone,25.0
anything,13.0
anytime,7.0
apache,43.0
api,8.0
apis,1.0
apostle,1.0
apoyo,7.0
app,5.0
appalling,1.0
apparently,2.0
appeal,12.0
appeals,6.0
appear,3.0
appearance,9.0
appeared,2.0
appears,6.0
applaud,1.0
applicable,3.0
application,51.0
applied,105.0
applies,1.0
apply,44.0
appointed,2.0
appointment,881.0
appointmentaffordable,8.0
appointmentfree,108.0
appointmentplace,1.0
appointments,28.0
appointmentschedule,8.0
appointmentsexually,8.0
appointmentwhat,8.0
appreciate,6.0
appreciated,8.0
apprised,1.0
approach,14.0
appropriate,63.0
appropriately,1.0
appropriations,1.0
approval,8.0
approve,1.0
approved,9.0
approximately,26.0
appsmain,2.0
apr,14.0
april,79.0
ar,10.0
arab,31.0
arabia,1.0
arabic,13.0
arbitrary,2.0
archetypes,1.0
archheight,1.0
archive,3.0
archives,13.0
arcview,1.0
area,35.0
areama,1.0
areanh,1.0
areapa,1.0
areas,27.0
areasequipping,1.0
arenasnatural,1.0
argentina,1.0
args,331.0
argued,1.0
argument,8.0
arianna,2.0
arika,1.0
arise,7.0
arizona,1252.0
arizonaeducation,1.0
armed,1.0
armenian,13.0
arms,233.0
army,1.0
around,49.0
arrange,6.0
arrangements,1.0
array,12.0
arrays,4.0
arrests,1.0
arrive,14.0
arrived,1.0
arriving,4.0
arrow,16.0
arrow_forward,2.0
arrows,4.0
art,8.0
article,12.0
articleinlinefeedback,2.0
articleobject,2.0
articles,55.0
artist,1.0
artists,1.0
asegurar,2.0
asegurarte,2.0
asesora,2.0
ash,2.0
ashamed,7.0
ashley,1.0
aside,3.0
asistencia,7.0
ask,48.0
asked,32.0
asking,4.0
aspects,1.0
aspiration,1.0
assault,5.0
assemble,1.0
assembly,1.0
assert,2.0
assess,19.0
assessment,11.0
asset,2.0
assetobserver,1.0
assigned,220.0
assignment,1.0
assist,108.0
assistance,317.0
assistancehome,1.0
assistancehousingaffordable,1.0
assistancemedical,1.0
assistancespecial,1.0
assistancetrainingyouth,1.0
assistant,19.0
assistants,2.0
assisted,11.0
assisting,2.0
assists,1.0
associate,17.0
associated,54.0
associates,16.0
association,3.0
assume,8.0
assumed,1.0
assurance,1.0
assure,2.0
assured,5.0
assuring,1.0
asu,19.0
ate,1.0
athenahealth,24.0
attached,3.0
attaches,4.0
attachevent,4.0
attack,1.0
attacker,2.0
attacking,2.0
attained,1.0
attempt,4.0
attempted,15.0
attempting,1.0
attempts,8.0
attend,98.0
attended,3.0
attendee,1.0
attendees,2.0
attending,18.0
attends,1.0
attention,1.0
attitude,1.0
attitudes,1.0
attorney,9.0
attorneydepartment,1.0
attorneys,1.0
attract,5.0
attracting,3.0
attraction,2.0
attractive,2.0
attribute,1.0
attributed,1.0
attributes,3.0
audience,1.0
audio,1.0
auditors,1.0
audits,1.0
aug,31.0
august,13.0
augusta,11.0
austin,8.0
australia,3.0
authentically,1.0
author,14.0
authorable_workflow,2.0
authorities,2.0
authority,5.0
authorization,8.0
authorize,1.0
authorized,25.0
authors,1.0
autism,2.0
auto,7409.0
autocapitalize,2.0
autocomplete,3.0
autocorrect,2.0
autofills,1.0
autofocus,2.0
automated,2.0
automatically,104.0
automobiles,4.0
autoplay,5.0
autopsy,1.0
autorización,2.0
auxclick,1.0
avadaelasticslidervars,104.0
avadaheadervars,104.0
avadalivesearchvars,104.0
avadamenuvars,104.0
avadaselectvars,104.0
avadatotopvars,104.0
availability,18.0
available,285.0
availableearn,2.0
avanzado,2.0
ave,37.0
average,5.0
aversions,3.0
avoid,7.0
avoiding,2.0
await,156.0
awake,1.0
award,8.0
awarded,2.0
awards,5.0
aware,16.0
awareness,3.0
awash,1.0
away,17.0
awesome,1.0
awful,1.0
ayuda,6.0
ayudar,2.0
ayudarla,2.0
az,1202.0
azda,3.0
azdot,8.0
azerbaijani,13.0
azul,6.0
babies,49.0
baby,582.0
back,97.0
backer,1.0
backers,1.0
background,106.0
backorder,2.0
backup,1.0
bacterial,15.0
bacterium,1.0
bad,6.0
badly,1.0
bag,14.0
bags,3.0
bahasa,2.0
baker,1.0
baking,1.0
balance,16.0
balancing,12.0
balanda,1.0
ball,1.0
ban,2.0
bandwidth,3.0
bank,19.0
banks,9.0
banned,4.0
banner,15.0
banners,3.0
banquet,2.0
baptism,2.0
baptist,744.0
baptized,2.0
bare,1.0
bark,3.0
barter,8.0
basada,2.0
base,113.0
base64,4.0
based,67.0
baseline,416.0
basha,2.0
basic,11.0
basically,1.0
basics,4.0
basis,26.0
basketball,1.0
baskets,1.0
basque,13.0
bat,15.0
bath,1.0
bats,3.0
battle,8.0
bautista,1.0
bautistas,21.0
bazata,1.0
bbc,7.0
bdi,2.0
bdo,2.0
bds,1.0
beating,1.0
beats,2.0
beautiful,17.0
beautifully,25.0
because,319.0
become,26.0
becomes,40.0
becoming,21.0
bed,3.0
been,305.0
bees,9.0
before,218.0
beforeinput,1.0
beforescriptexecutelistener,3.0
began,9.0
begin,67.0
beginning,14.0
beginnings,277.0
begins,12.0
begun,1.0
behalf,16.0
behave,1.0
behavior,18.0
behavioral,3.0
behaviors,9.0
behind,8.0
being,229.0
beings,7.0
belarusian,13.0
belgique,1.0
beliefs,9.0
believe,65.0
believed,7.0
believer,1.0
believing,2.0
belize,1.0
bell,2.0
belongs,1.0
beloved,2.0
below,146.0
ben,2.0
beneficial,2.0
beneficiaries,1.0
benefit,23.0
benefits,59.0
bengali,13.0
bergan,1.0
bernadette,2.0
berry,1.0
beside,3.0
besides,1.0
best,142.0
better,29.0
betty,1.0
between,146.0
beyond,4.0
bg,2.0
bgcolor,2.0
bho,1.0
biased,1.0
biberones,7.0
bible,98.0
bibles,6.0
biblical,6.0
biblically,4.0
bicycle,3.0
bien,2.0
biennial,1.0
big,11.0
bigger,5.0
bike,142.0
bikefor,1.0
bikes,1.0
bilingual,24.0
billion,6.0
binary,4.0
bio,3.0
biological,1.0
bipolar,2.0
birth,59.0
birthday,16.0
birthdays,8.0
births,1.0
bisexual,8.0
bit,3.0
bits,1.0
black,30.0
bladder,3.0
blamed,1.0
blankets,1.0
blast,1.0
bldg,8.0
bleeding,24.0
blessed,4.0
blessing,5.0
blessings,8.0
blink,3.0
bloating,9.0
blob,2.0
block,845.0
blockgap,104.0
blocking,1.0
blockquote,2.0
blocks,422.0
blog,335.0
bloggers,1.0
blogging,6.0
blogkenny,4.0
blood,33.0
blooda,1.0
blue,6.0
blur,1.0
blvd,7.0
bn,2.0
board,173.0
boardcommunications,1.0
boards,2.0
bob,2.0
bodies,2.0
body,811.0
bold,1.0
boldness,8.0
boletín,14.0
bolin,12.0
bolivia,1.0
bond,8.0
bonding,1.0
bonds,8.0
bone,1.0
bonita,3.0
bonnie,3.0
bonus,2.0
book,28.0
booking,3.0
bookmark,2.0
books,10.0
boomerang,2.0
bootstrap,4.0
border,2.0
borders,104.0
born,3.0
bosco,1.0
bosnian,13.0
boston,2.0
botana,1.0
both,103.0
bottle,217.0
bottles,34.0
bottom,220.0
bounce,2.0
bounceindown,32.0
bounceoutup,32.0
boundaries,3.0
boutique,21.0
boutiques,19.0
bowien,1.0
box,61.0
boxzilla_options,2.0
boy,6.0
boyfriend,3.0
boys,2.0
br,2.0
brad,2.0
brain,66.0
brains,10.0
bramham,1.0
branch,1.0
branches,3.0
branchesmapsbrowse,1.0
brand,17.0
branding,35.0
brant,1.0
brasil,1.0
bread,1.0
break,6.0
breakdown,1.0
breakfast,4.0
breast,18.0
breastfeeding,4.0
breastmilk,1.0
breasts,10.0
breathe,1.0
breathing,4.0
brett,8.0
brian,3.0
bridge,21.0
bridges,13.0
bridgeskenny,4.0
brief,11.0
bright,24.0
brightcourse,9.0
bring,38.0
bringing,2.0
brings,1.0
bristle,1.0
broad,1.0
broadcasted,1.0
broadcasting,4.0
brochuresprotect,1.0
broken,11.0
bronsondistrict,1.0
brookline,4.0
brother,1.0
brothers,5.0
brought,14.0
broward,1.0
brown,4.0
brownies,1.0
browse,11.0
browser,20.0
browsing,1.0
brrch,1.0
bryn,1.0
bs,2.0
bsn,1.0
bso,1.0
bt,2.0
bubble,1.0
bubbles,1.0
bucks,3.0
buddies,1.0
budding,1.0
budget,3.0
budgeteconomic,1.0
budgeting,1.0
buds,2.0
bug,35.0
buggy,3.0
bugs,21.0
build,89.0
builder,10.0
building,96.0
buildingland,1.0
builds,2.0
bulgarian,13.0
bulge,1.0
bulk,4.0
bull,4.0
bulletin,76.0
bulletins,1.0
bump,2.0
bundle,7.0
burdens,1.0
bureauvector,1.0
burmich,12.0
burn,1.0
burp,1.0
burrows,1.0
burst,1.0
bursting,1.0
bus,1.0
buscando,2.0
business,321.0
businesses,8.0
businessgoogle,2.0
businessreach,1.0
busy,1.0
but,421.0
butane,2.0
buttery,2.0
button,213.0
buy,23.0
buyer,1.0
buying,3.0
bylas,3.0
bystander,1.0
bystricaslovakia,1.0
byte,2.0
bytestring,2.0
ca,2.0
cada,2.0
cafeteria,8.0
caicos,30.0
calculator,2.0
calendar,220.0
calendario,7.0
california,14.0
call,590.0
callback,14.0
callbacks,3.0
called,81.0
calling,10.0
calm,97.0
calvary,2.0
calvin,3.0
cambios,2.0
came,9.0
camelback,260.0
cameron,5.0
camino,12.0
camp,14.0
campaign,235.0
campaigns,25.0
campaignwater,3.0
campaña,7.0
campbell,17.0
campo,1.0
camps,8.0
campus,27.0
campuses,1.0
can,1151.0
canada,2.0
canadian,1.0
cancel,6.0
cancellation,2.0
cancellations,1.0
cancelled,1.0
cancer,8.0
candidate,1.0
candidates,1.0
cannabaceae,1.0
cannabinoid,2.0
cannabinoids,2.0
cannabis,103.0
cannot,133.0
canonical,2.0
canopy,1.0
canvas,2.0
canyon,19.0
capabilities,5.0
capable,12.0
capacity,3.0
capita,1.0
capital,3.0
capitol,4.0
captcha,8.0
caption,2.0
captions,2.0
capture,2.0
car,4.0
card,19.0
cardiovascular,2.0
cards,12.0
care,1781.0
careadopt,1.0
cared,2.0
career,31.0
careerjosh,4.0
careers,11.0
caregivers,14.0
cares,2.0
caresexually,104.0
caretakers,28.0
carethey,1.0
caring,79.0
carolinanorth,7.0
carolinasouth,7.0
carousel,24.0
carried,25.0
carries,3.0
carry,13.0
carrying,12.0
cart,21.0
carter,3.0
casa,9.0
case,62.0
cases,106.0
caseworker,7.0
cash,11.0
casual,1.0
catalan,13.0
catalog,1.0
catalyst,1.0
catalã,1.0
catastrophic,1.0
catch,338.0
catching,2.0
categories,20.0
category,1.0
catherine,1.0
catholic,30.0
catholics,1.0
caught,8.0
causal,2.0
cause,33.0
caused,5.0
causes,11.0
causing,1.0
caution,2.0
cautionary,1.0
cb1,2.0
cbd,4.0
cbs,1.0
cdc,5.0
cdoe,1.0
cebuano,13.0
celebrate,23.0
celebrated,7.0
celebrating,1.0
celebrationhorse,1.0
cell,2.0
cellpadding,2.0
cells,6.0
cellspacing,2.0
cellular,3.0
celulares,2.0
center,3697.0
center109,7.0
center1107,7.0
center2500,7.0
centerand,2.0
centercommunitygoogle,2.0
centercommunityverify,2.0
centered,1.0
centerpima,1.0
centerpowered,1.0
centerprovide,1.0
centers,740.0
centerscommunity,1.0
centersite,1.0
centerspeakers,1.0
centersprogramsoutdoor,1.0
centipedes,9.0
central,79.0
centre,1.0
centro,21.0
centros,7.0
ceo,9.0
cerebral,8.0
ceremonial,2.0
ceremony,3.0
certain,19.0
certificate,12.0
certificates,1.0
certificatesmedical,1.0
certification,22.0
certificationfood,1.0
certifications,1.0
certified,20.0
cervix,14.0
cessationtuberculosis,1.0
cfc,36.0
chain,1.0
chair,13.0
chaired,1.0
chairman,2.0
challenge,1.0
challenged,24.0
challenges,5.0
challenging,3.0
chambers,6.0
chance,15.0
chances,3.0
chandler,102.0
change,60.0
changed,7.0
changes,22.0
changing,9.0
channel,4.0
channels,1.0
chapter,1.0
character,2.0
characteristics,3.0
characterize,1.0
characterized,1.0
characters,5.0
charge,33.0
charged,2.0
charges,3.0
charisms,1.0
charitable,559.0
charities,20.0
charity,6.0
charlesla,1.0
charter,1.0
charting,5.0
chat,20.0
chatavailable,2.0
chatpal,3.0
chatting,1.0
chco,1.0
check,66.0
checked,2.0
checker,3.0
checking,3.0
checklist,1.0
checkout,3.0
checks,10.0
cheeks,1.0
cheerfully,1.0
chemical,4.0
chemicals,4.0
cherish,9.0
chest,1.0
chevron_left,2.0
chevron_right,2.0
chicago,1.0
chichewa,13.0
chief,22.0
child,184.0
childbirth,8.0
childcare,137.0
childheight,18.0
childhood,1.0
children,391.0
chile,1.0
chills,3.0
chin,1.0
chinese,26.0
chinle,3.0
chlamydia,27.0
chlamydiajosh,4.0
choice,90.0
choices,943.0
choicewhile,2.0
choose,98.0
choosing,49.0
chords,1.0
chorionic,5.0
chose,3.0
chosen,2.0
chris,1.0
christ,65.0
christian,42.0
christianity,41.0
christians,20.0
christina,1.0
christmas,5.0
christy,36.0
christydistrict,1.0
chrome,42.0
chronic,10.0
chronically,1.0
chronicles,8.0
chunk,1.0
church,151.0
church3040,1.0
churches,116.0
cibecue,3.0
cigarettes,3.0
cindy,6.0
circle,6.0
circuits,1.0
circumstances,2.0
circumstantial,1.0
cita,4.0
citas,2.0
citations,7.0
cite,12.0
cited,17.0
cities,8.0
citizen,2.0
citizens,7.0
city,9.0
citystate,1.0
civic,1.0
civil,6.0
claim,15.0
claimed,1.0
claims,3.0
clamidia,2.0
clamp,104.0
clareclick,1.0
clarence,8.0
clarification,1.0
clark,7.0
clases,7.0
class,251.0
classes,504.0
classic,314.0
classification,2.0
classifications,4.0
classroom,1.0
classrooms,3.0
clay,3.0
claypool,3.0
clean,7.0
cleaned,6.0
cleaning,10.0
cleanup,3.0
clear,7.0
clearcut,2.0
clearly,12.0
cleft,1.0
clever,1.0
clic,2.0
click,198.0
clicked,3.0
clickevent,9.0
clicking,13.0
clicks,1.0
client,162.0
clients,279.0
clientvery,3.0
clinic,293.0
clinical,20.0
clinician,1.0
clinics,15.0
clinicssearch,1.0
clobbering,2.0
clock,1.0
close,56.0
closed,24.0
closedevening,1.0
closedtuesday,1.0
closely,20.0
closer,2.0
closes,8.0
closest,54.0
closet,1.0
closing,1.0
clostridium,2.0
closure,11.0
