,token,Total0,Total1,Total2,Total3
226,appointments,0.0,2.0,2.0,0.0
227,arab,0.0,2.0,2.0,0.0
228,archived,0.0,1.0,1.0,0.0
229,area,0.0,1.0,1.0,0.0
230,arm,0.0,3.0,3.0,0.0
231,arrangements,0.0,1.0,1.0,0.0
232,array,0.0,5.0,5.0,0.0
233,arrow,0.0,6.0,6.0,0.0
234,art,0.0,1.0,1.0,0.0
235,ashley,0.0,0.0,12.0,0.0
236,ask,0.0,5.0,5.0,0.0
237,asked,0.0,5.0,5.0,0.0
238,assault,0.0,6.0,6.0,0.0
239,assoc,0.0,2.0,2.0,0.0
240,atlantic,0.0,15.0,15.0,0.0
241,attack,0.0,2.0,2.0,0.0
242,attacks,0.0,9.0,9.0,0.0
243,attorneynyc,0.0,1.0,1.0,0.0
244,attributefilter,0.0,1.0,1.0,0.0
245,attributename,0.0,1.0,1.0,0.0
246,attributes,0.0,1.0,1.0,0.0
247,auth,0.0,2.0,2.0,0.0
248,auto,0.0,2.0,2.0,0.0
249,autofocus,0.0,1.0,1.0,0.0
250,automatic,0.0,2.0,2.0,0.0
251,automatically,0.0,1.0,1.0,0.0
252,autopopulate,0.0,4.0,4.0,0.0
253,available,0.0,10.0,13.0,0.0
254,ayudarte,0.0,1.0,1.0,0.0
255,back,0.0,9.0,9.0,0.0
256,background,0.0,25.0,25.0,0.0
257,backslash,0.0,2.0,2.0,0.0
258,bad,0.0,2.0,2.0,0.0
259,badword,0.0,3.0,3.0,0.0
260,badwordfilter,0.0,1.0,1.0,0.0
261,badwords,0.0,1.0,1.0,0.0
262,ban,0.0,3.0,3.0,0.0
263,bank,0.0,2.0,2.0,0.0
264,bans,0.0,15.0,15.0,0.0
265,basados,0.0,2.0,2.0,0.0
266,based,0.0,2.0,2.0,0.0
267,basic,0.0,4.0,4.0,0.0
268,basta,0.0,1.0,1.0,0.0
269,because,0.0,1.0,1.0,0.0
270,become,0.0,3.0,3.0,0.0
271,becomes,0.0,2.0,2.0,0.0
272,been,0.0,7.0,7.0,0.0
273,before,0.0,4.0,4.0,0.0
274,being,0.0,2.0,2.0,0.0
275,believe,0.0,1.0,1.0,0.0
276,below,0.0,4.0,4.0,0.0
277,benefits,0.0,1.0,1.0,0.0
278,best,0.0,3.0,3.0,0.0
279,between,0.0,1.0,1.0,0.0
280,bill,0.0,1.0,1.0,0.0
281,bills,0.0,1.0,1.0,0.0
282,bind,0.0,1.0,1.0,0.0
283,birth,0.0,31.0,29.0,0.0
284,black,0.0,1.0,1.0,0.0
285,block,0.0,5.0,5.0,0.0
286,blog,0.0,12.0,12.0,0.0
287,blue,0.0,1.0,0.0,0.0
288,blur,0.0,1.0,1.0,0.0
289,bodies,0.0,12.0,12.0,0.0
290,body,0.0,3.0,3.0,0.0
291,bogus,0.0,1.0,1.0,0.0
292,book,0.0,8.0,8.0,0.0
293,both,0.0,3.0,3.0,0.0
294,bothinfo,0.0,1.0,1.0,0.0
295,bottom,0.0,1.0,1.0,0.0
296,box,0.0,3.0,3.0,0.0
297,boylan,0.0,1.0,1.0,0.0
298,brand,0.0,1.0,1.0,0.0
299,breaking,0.0,1.0,1.0,0.0
300,bring,0.0,0.0,1.0,0.0
301,brings,0.0,2.0,2.0,0.0
302,browser,0.0,1.0,1.0,0.0
303,browsername,0.0,1.0,1.0,0.0
304,browserversion,0.0,1.0,1.0,0.0
305,bucket,0.0,1.0,1.0,0.0
306,budget,0.0,1.0,1.0,0.0
307,business,0.0,2.0,1.0,0.0
308,but,0.0,1.0,1.0,0.0
309,button,0.0,9.0,9.0,0.0
310,buttons,0.0,4.0,4.0,0.0
311,buttonsubmit,0.0,4.0,4.0,0.0
312,cada,0.0,2.0,2.0,0.0
313,caicos,0.0,1.0,1.0,0.0
314,call,0.0,19.0,18.0,0.0
315,campaigns,0.0,8.0,8.0,0.0
316,campaignsapplynational,0.0,1.0,1.0,0.0
317,campaignshybridpublic,0.0,1.0,1.0,0.0
318,campaignspublic,0.0,1.0,1.0,0.0
319,can,0.0,39.0,38.0,0.0
320,can't,0.0,1.0,1.0,0.0
321,cancer,0.0,4.0,4.0,0.0
322,candidates,0.0,1.0,1.0,0.0
323,cannot,0.0,2.0,2.0,0.0
324,can’t,0.0,1.0,0.0,0.0
325,captions,0.0,2.0,2.0,0.0
326,capuchón,0.0,2.0,2.0,0.0
327,card,0.0,9.0,10.0,0.0
328,cardholder,0.0,0.0,1.0,0.0
329,cards,0.0,4.0,4.0,0.0
330,care,0.0,50.0,50.0,0.0
331,caregiver's,0.0,1.0,1.0,0.0
332,cart,0.0,11.0,11.0,0.0
333,case,0.0,4.0,4.0,0.0
334,cash,0.0,1.0,1.0,0.0
335,cat's,0.0,1.0,1.0,0.0
336,catch,0.0,2.0,2.0,0.0
337,categories,0.0,1.0,1.0,0.0
338,cctext,0.0,1.0,1.0,0.0
339,cdc,0.0,1.0,1.0,0.0
340,center,0.0,26.0,24.0,0.0
341,centered,0.0,1.0,1.0,0.0
342,centergroupsaboutcreate,0.0,1.0,1.0,0.0
343,centerprivacy,0.0,1.0,1.0,0.0
344,centers,0.0,3.0,3.0,0.0
345,central,0.0,6.0,6.0,0.0
346,change,0.0,10.0,10.0,0.0
347,changed,0.0,1.0,1.0,0.0
348,changes,0.0,1.0,1.0,0.0
349,channel,0.0,4.0,4.0,0.0
350,charleston,0.0,0.0,3.0,0.0
351,chars,0.0,1.0,1.0,0.0
352,chatbot,0.0,3.0,3.0,0.0
353,check,0.0,9.0,9.0,0.0
354,checkbox,0.0,10.0,10.0,0.0
355,checkboxes,0.0,5.0,5.0,0.0
356,checked,0.0,2.0,2.0,0.0
357,chief,0.0,12.0,12.0,0.0
358,chirp,0.0,1.0,1.0,0.0
359,choice,0.0,1.0,0.0,0.0
360,choicestermshelpcontact,0.0,1.0,1.0,0.0
361,choose,0.0,51.0,51.0,0.0
362,choosing,0.0,2.0,2.0,0.0
363,christmas,0.0,2.0,2.0,0.0
364,cigna,0.0,2.0,2.0,0.0
365,circle,0.0,8.0,8.0,0.0
366,city,0.0,4.0,4.0,0.0
367,class,0.0,4.0,4.0,0.0
368,classes,0.0,2.0,2.0,0.0
369,clean,0.0,3.0,3.0,0.0
370,cleanbadfirstname,0.0,1.0,1.0,0.0
371,cleanbadlastname,0.0,1.0,1.0,0.0
372,cleanbadword,0.0,1.0,1.0,0.0
373,click,0.0,3.0,3.0,0.0
374,clicking,0.0,4.0,4.0,0.0
375,clicks,0.0,1.0,1.0,0.0
376,client,0.0,1.0,1.0,0.0
377,clientid,0.0,1.0,1.0,0.0
378,clinic,0.0,5.0,5.0,0.0
379,close,0.0,2.0,2.0,0.0
380,closed,0.0,8.0,8.0,0.0
381,closely,0.0,1.0,1.0,0.0
382,closest,0.0,1.0,1.0,0.0
383,coast,0.0,3.0,3.0,0.0
384,code,0.0,16.0,16.0,0.0
385,coitus,0.0,2.0,2.0,0.0
386,collection,0.0,1.0,1.0,0.0
387,color,0.0,20.0,20.0,0.0
388,columbia,0.0,6.0,3.0,0.0
389,come,0.0,3.0,3.0,0.0
390,comes,0.0,2.0,2.0,0.0
391,coming,0.0,2.0,2.0,0.0
392,commented,0.0,2.0,2.0,0.0
393,comments,0.0,2.0,2.0,0.0
394,commitment,0.0,1.0,1.0,0.0
395,committee,0.0,2.0,2.0,0.0
396,committees,0.0,1.0,1.0,0.0
397,common,0.0,1.0,1.0,0.0
398,communicationen,0.0,1.0,1.0,0.0
399,communications,0.0,3.0,3.0,0.0
400,communities,0.0,1.0,1.0,0.0
401,community,0.0,1.0,1.0,0.0
402,company,0.0,1.0,1.0,0.0
403,compare,0.0,2.0,2.0,0.0
404,compassionate,0.0,1.0,1.0,0.0
405,complete,0.0,1.0,1.0,0.0
406,compliance,0.0,1.0,1.0,0.0
407,components,0.0,1.0,1.0,0.0
408,condolences,0.0,1.0,1.0,0.0
409,condom,0.0,7.0,7.0,0.0
410,condoms,0.0,1.0,1.0,0.0
411,condón,0.0,5.0,5.0,0.0
412,conferencesfinanceoffice,0.0,1.0,1.0,0.0
413,conferencesnyc,0.0,1.0,1.0,0.0
414,confidential,0.0,3.0,3.0,0.0
415,confirm,0.0,1.0,1.0,0.0
416,confront,0.0,2.0,2.0,0.0
417,confuse,0.0,1.0,1.0,0.0
418,congressional,0.0,1.0,1.0,0.0
419,connect,0.0,1.0,1.0,0.0
420,connection,0.0,3.0,3.0,0.0
421,consent,0.0,6.0,6.0,0.0
422,consider,0.0,1.0,1.0,0.0
423,consideration,0.0,2.0,2.0,0.0
424,const,0.0,13.0,13.0,0.0
425,constitute,0.0,1.0,1.0,0.0
426,constitutional,0.0,1.0,1.0,0.0
427,contact,0.0,28.0,28.0,0.0
428,contain,0.0,2.0,2.0,0.0
429,content,0.0,7.0,7.0,0.0
430,contextmenu,0.0,1.0,1.0,0.0
431,continue,0.0,3.0,3.0,0.0
432,contraception,0.0,9.0,8.0,0.0
433,contracts,0.0,1.0,1.0,0.0
434,contribution,0.0,6.0,6.0,0.0
435,contributions,0.0,1.0,1.0,0.0
436,control,0.0,33.0,31.0,0.0
437,controlarnos,0.0,1.0,1.0,0.0
438,controlreproductive,0.0,1.0,1.0,0.0
439,cookie,0.0,2.0,2.0,0.0
440,cookiebanner,0.0,1.0,1.0,0.0
441,cookies,0.0,1.0,1.0,0.0
442,copay,0.0,1.0,1.0,0.0
443,copy,0.0,4.0,4.0,0.0
444,copycat,0.0,2.0,2.0,0.0
445,copying,0.0,1.0,1.0,0.0
446,copyright,0.0,1.0,1.0,0.0
447,corporate,0.0,1.0,1.0,0.0
448,correct,0.0,3.0,3.0,0.0
449,correctly,0.0,1.0,1.0,0.0
450,corresponding,0.0,3.0,3.0,0.0
451,costs,0.0,2.0,2.0,0.0
452,could,0.0,3.0,3.0,0.0
453,couldn't,0.0,4.0,4.0,0.0
454,counsel,0.0,5.0,5.0,0.0
455,counselapplyassistant,0.0,1.0,1.0,0.0
456,counselhybridoffice,0.0,1.0,1.0,0.0
457,counseloffice,0.0,1.0,1.0,0.0
458,count,0.0,1.0,1.0,0.0
459,coupon,0.0,1.0,1.0,0.0
460,court,0.0,3.0,3.0,0.0
461,courts,0.0,1.0,1.0,0.0
462,cover,0.0,1.0,1.0,0.0
463,coverage,0.0,4.0,4.0,0.0
464,covered,0.0,1.0,1.0,0.0
465,create,0.0,5.0,5.0,0.0
466,created,0.0,1.0,1.0,0.0
467,credit,0.0,2.0,3.0,0.0
468,cta,0.0,4.0,4.0,0.0
469,ctas,0.0,4.0,4.0,0.0
470,culture,0.0,6.0,6.0,0.0
471,currency,0.0,4.0,4.0,0.0
472,current,0.0,7.0,7.0,0.0
473,currentemailerror,0.0,1.0,1.0,0.0
474,currentgiftamount,0.0,4.0,4.0,0.0
475,currentqs,0.0,2.0,2.0,0.0
476,custom,0.0,10.0,10.0,0.0
477,customer,0.0,1.0,1.0,0.0
478,cómo,0.0,2.0,2.0,0.0
479,data,0.0,15.0,15.0,0.0
480,datalayer,0.0,8.0,8.0,0.0
481,date,0.0,1.0,1.0,0.0
482,day,0.0,9.0,8.0,0.0
483,days,0.0,1.0,1.0,0.0
484,dcoffice,0.0,7.0,7.0,0.0
485,dcteamallfederation,0.0,1.0,1.0,0.0
486,dead,0.0,1.0,1.0,0.0
487,deal,0.0,5.0,5.0,0.0
488,decide,0.0,1.0,1.0,0.0
489,decidirte,0.0,1.0,1.0,0.0
490,decisions,0.0,2.0,2.0,0.0
491,declared,0.0,1.0,1.0,0.0
492,decor,0.0,1.0,1.0,0.0
493,deduction,0.0,2.0,2.0,0.0
494,deepest,0.0,1.0,1.0,0.0
495,default,0.0,29.0,29.0,0.0
496,defaultms,0.0,1.0,1.0,0.0
497,defaults,0.0,2.0,2.0,0.0
498,defeat,0.0,1.0,1.0,0.0
499,defend,0.0,2.0,2.0,0.0
500,define,0.0,1.0,1.0,0.0
501,delay,0.0,1.0,1.0,0.0
502,delete,0.0,2.0,2.0,0.0
503,deleted,0.0,2.0,2.0,0.0
504,deliberately,0.0,1.0,1.0,0.0
505,delivered,0.0,1.0,1.0,0.0
506,delivers,0.0,4.0,4.0,0.0
507,delivery,0.0,2.0,2.0,0.0
508,democratic,0.0,1.0,1.0,0.0
509,depending,0.0,1.0,1.0,0.0
510,description,0.0,4.0,4.0,0.0
511,deseamos,0.0,1.0,1.0,0.0
512,deserve,0.0,1.0,1.0,0.0
513,deserves,0.0,2.0,2.0,0.0
514,details,0.0,3.0,3.0,0.0
515,development,0.0,14.0,14.0,0.0
516,developmentnew,0.0,1.0,1.0,0.0
517,device,0.0,1.0,1.0,0.0
518,diafragma,0.0,2.0,2.0,0.0
519,did,0.0,3.0,3.0,0.0
520,diferentes,0.0,1.0,1.0,0.0
521,different,0.0,3.0,3.0,0.0
522,difficult,0.0,1.0,1.0,0.0
523,digital,0.0,9.0,9.0,0.0
524,direct,0.0,4.0,4.0,0.0
525,directed,0.0,4.0,4.0,0.0
526,directions,0.0,1.0,1.0,0.0
527,directly,0.0,3.0,3.0,0.0
528,disable,0.0,6.0,6.0,0.0
529,disabled,0.0,1.0,1.0,0.0
530,disabling,0.0,1.0,1.0,0.0
531,discuss,0.0,1.0,1.0,0.0
532,dispense,0.0,1.0,0.0,0.0
533,display,0.0,9.0,9.0,0.0
534,div,0.0,8.0,8.0,0.0
535,diving,0.0,1.0,1.0,0.0
536,django,0.0,4.0,4.0,0.0
537,docasap,0.0,1.0,1.0,0.0
538,document,0.0,3.0,3.0,0.0
539,does,0.0,17.0,17.0,0.0
540,doesn't,0.0,1.0,1.0,0.0
541,dollar,0.0,3.0,3.0,0.0
542,don't,0.0,7.0,7.0,0.0
543,donate,0.0,24.0,24.0,0.0
544,donations,0.0,2.0,2.0,0.0
545,donor,0.0,16.0,16.0,0.0
546,don’t,0.0,1.0,1.0,0.0
547,dotted,0.0,1.0,1.0,0.0
548,down,0.0,8.0,8.0,0.0
549,download,0.0,1.0,1.0,0.0
550,downloaded,0.0,1.0,1.0,0.0
551,drastic,0.0,1.0,1.0,0.0
552,drive,0.0,1.0,0.0,0.0
553,driving,0.0,1.0,1.0,0.0
554,drop,0.0,4.0,4.0,0.0
555,dropdown,0.0,4.0,4.0,0.0
556,drug,0.0,2.0,2.0,0.0
557,dua,0.0,1.0,1.0,0.0
558,due,0.0,3.0,3.0,0.0
559,during,0.0,5.0,4.0,0.0
560,dysfunction,0.0,4.0,4.0,0.0
561,ea's,0.0,2.0,2.0,0.0
562,each,0.0,4.0,4.0,0.0
563,earrings,0.0,1.0,1.0,0.0
564,ease,0.0,15.0,15.0,0.0
565,easily,0.0,1.0,1.0,0.0
566,eatoaffiliatemap,0.0,1.0,1.0,0.0
567,ecard,0.0,3.0,3.0,0.0
568,ecardmessage,0.0,1.0,1.0,0.0
569,ecards,0.0,1.0,1.0,0.0
570,ecardsection,0.0,1.0,1.0,0.0
571,ecardupdate,0.0,1.0,1.0,0.0
572,ecardvalidation,0.0,1.0,1.0,0.0
573,echoes,0.0,2.0,2.0,0.0
574,edit,0.0,1.0,1.0,0.0
575,editor,0.0,1.0,1.0,0.0
576,educate,0.0,1.0,1.0,0.0
577,education,0.0,5.0,5.0,0.0
578,educators,0.0,4.0,4.0,0.0
579,effective,0.0,5.0,5.0,0.0
580,effectively,0.0,1.0,1.0,0.0
581,effectiveness,0.0,2.0,2.0,0.0
582,effort,0.0,1.0,0.0,0.0
583,ein,0.0,2.0,2.0,0.0
584,ejaculating,0.0,2.0,2.0,0.0
585,elected,0.0,2.0,2.0,0.0
586,elections,0.0,4.0,4.0,0.0
587,elegir,0.0,1.0,1.0,0.0
588,element,0.0,1.0,1.0,0.0
589,elements,0.0,1.0,1.0,0.0
590,eliminated,0.0,1.0,1.0,0.0
591,else,0.0,81.0,81.0,0.0
592,email,0.0,28.0,28.0,0.0
593,emailerrormsg,0.0,1.0,1.0,0.0
594,emailfield,0.0,1.0,1.0,0.0
595,emailinfo,0.0,2.0,2.0,0.0
596,emailreq,0.0,1.0,1.0,0.0
597,emails,0.0,1.0,1.0,0.0
598,emailtoggle,0.0,1.0,1.0,0.0
599,embed,0.0,1.0,1.0,0.0
600,emergencia,0.0,2.0,2.0,0.0
601,emergency,0.0,7.0,6.0,0.0
602,employment,0.0,1.0,1.0,0.0
603,empty,0.0,7.0,7.0,0.0
604,enable,0.0,3.0,3.0,0.0
605,enabled,0.0,2.0,2.0,0.0
606,encodedtweet,0.0,2.0,2.0,0.0
607,encontrar,0.0,1.0,1.0,0.0
608,end,0.0,7.0,7.0,0.0
609,endorse,0.0,1.0,1.0,0.0
610,engagement,0.0,7.0,7.0,0.0
611,england,0.0,7.0,7.0,0.0
612,enough,0.0,1.0,1.0,0.0
613,enroll,0.0,1.0,1.0,0.0
614,enrollment,0.0,2.0,2.0,0.0
615,ensure,0.0,4.0,3.0,0.0
616,enter,0.0,11.0,11.0,0.0
617,entering,0.0,1.0,1.0,0.0
618,equity,0.0,3.0,3.0,0.0
619,error,0.0,27.0,27.0,0.0
620,error',0.0,1.0,1.0,0.0
621,errorcheck,0.0,4.0,4.0,0.0
622,español,0.0,9.0,9.0,0.0
623,estás,0.0,1.0,1.0,0.0
624,eur,0.0,2.0,2.0,0.0
625,euro,0.0,2.0,2.0,0.0
626,even,0.0,1.0,1.0,0.0
627,event,0.0,5.0,5.0,0.0
628,events,0.0,6.0,6.0,0.0
629,evergreen,0.0,1.0,1.0,0.0
630,every,0.0,4.0,2.0,0.0
631,everyaction,0.0,1.0,1.0,0.0
632,everyone,0.0,3.0,3.0,0.0
633,everything,0.0,1.0,1.0,0.0
634,evp,0.0,5.0,5.0,0.0
635,except,0.0,4.0,4.0,0.0
636,excepted,0.0,1.0,1.0,0.0
637,exchanges,0.0,1.0,1.0,0.0
638,exciting,0.0,1.0,1.0,0.0
