,token,Total0,Total1,Total2,Total3,Total4
279,areas,0.0,1.0,0.0,0.0,0.0
280,arguments,0.0,1.0,0.0,0.0,0.0
281,arise,0.0,2.0,0.0,0.0,0.0
282,arising,0.0,7.0,0.0,0.0,0.0
283,arm,0.0,0.0,3.0,3.0,3.0
284,aroostook,0.0,2.0,0.0,0.0,0.0
285,around,0.0,11.0,0.0,0.0,0.0
286,arrange,0.0,1.0,2.0,2.0,2.0
287,arrangements,0.0,0.0,1.0,1.0,1.0
288,array,0.0,0.0,5.0,5.0,5.0
289,arrival,0.0,1.0,0.0,0.0,0.0
290,arrive,0.0,5.0,1.0,1.0,1.0
291,arriving,0.0,2.0,0.0,0.0,0.0
292,arrow,0.0,1.0,6.0,6.0,6.0
293,arsenal,0.0,2.0,0.0,0.0,0.0
294,art,0.0,0.0,1.0,1.0,1.0
295,articles,0.0,1.0,0.0,0.0,0.0
296,ask,0.0,24.0,8.0,8.0,8.0
297,asked,0.0,6.0,5.0,6.0,5.0
298,asking,0.0,2.0,0.0,0.0,0.0
299,asks,0.0,1.0,0.0,0.0,0.0
300,aspect,0.0,1.0,0.0,0.0,0.0
301,aspects,0.0,1.0,0.0,0.0,0.0
302,aspiration,0.0,14.0,0.0,0.0,0.0
303,assault,0.0,4.0,6.0,6.0,6.0
304,asserted,0.0,1.0,0.0,0.0,0.0
305,assess,0.0,2.0,0.0,0.0,0.0
306,assessment,0.0,2.0,0.0,0.0,0.0
307,assets,0.0,5.0,0.0,0.0,0.0
308,assign,0.0,3.0,0.0,0.0,0.0
309,assist,0.0,1.0,0.0,0.0,0.0
310,assistance,0.0,11.0,1.0,1.0,1.0
311,assistanceour,0.0,1.0,0.0,0.0,0.0
312,assisting,0.0,1.0,0.0,0.0,0.0
313,assists,0.0,1.0,0.0,0.0,0.0
314,assoc,0.0,0.0,2.0,2.0,2.0
315,associate,0.0,2.0,0.0,0.0,0.0
316,associated,0.0,3.0,0.0,0.0,0.0
317,associates,0.0,1.0,0.0,0.0,0.0
318,association,0.0,4.0,0.0,0.0,0.0
319,associations,0.0,1.0,0.0,0.0,0.0
320,assortment,0.0,1.0,0.0,0.0,0.0
321,assume,0.0,4.0,0.0,0.0,0.0
322,assumes,0.0,1.0,0.0,0.0,0.0
323,assurance,0.0,1.0,0.0,0.0,0.0
324,assure,0.0,1.0,0.0,0.0,0.0
325,athenahealth,0.0,28.0,0.0,0.0,0.0
326,athenahealth's,0.0,3.0,0.0,0.0,0.0
327,athenahealth”,0.0,2.0,0.0,0.0,0.0
328,athenanet,0.0,2.0,0.0,0.0,0.0
329,atlantic,0.0,0.0,5.0,5.0,5.0
330,attack,0.0,0.0,2.0,2.0,2.0
331,attacks,0.0,0.0,9.0,9.0,9.0
332,attempt,0.0,2.0,0.0,0.0,0.0
333,attempting,0.0,1.0,0.0,0.0,0.0
334,attend,0.0,2.0,0.0,0.0,0.0
335,attendance,0.0,1.0,0.0,0.0,0.0
336,attending,0.0,1.0,1.0,1.0,1.0
337,attitudes,0.0,1.0,0.0,0.0,0.0
338,attorney,0.0,3.0,0.0,0.0,0.0
339,attorneynyc,0.0,0.0,1.0,1.0,1.0
340,attorneys,0.0,1.0,0.0,0.0,0.0
341,attribute,0.0,1.0,0.0,0.0,0.0
342,attributefilter,0.0,0.0,1.0,1.0,1.0
343,attributes,0.0,0.0,1.0,1.0,1.0
344,august,0.0,13.0,0.0,0.0,0.0
345,augusta,0.0,16.0,0.0,0.0,0.0
346,auth,0.0,0.0,2.0,2.0,2.0
347,authentication,0.0,1.0,0.0,0.0,0.0
348,authority,0.0,4.0,0.0,0.0,0.0
349,authorize,0.0,2.0,0.0,0.0,0.0
350,authorized,0.0,2.0,0.0,0.0,0.0
351,auto,0.0,234.0,2.0,2.0,2.0
352,autofocus,0.0,0.0,1.0,1.0,1.0
353,automated,0.0,1.0,0.0,0.0,0.0
354,automatic,0.0,0.0,2.0,2.0,2.0
355,automatically,0.0,7.0,0.0,0.0,0.0
356,autopopulate,0.0,0.0,14.0,14.0,14.0
357,availability,0.0,7.0,0.0,0.0,0.0
358,available,0.0,79.0,20.0,20.0,20.0
359,ave,0.0,1.0,0.0,0.0,0.0
360,avenue,0.0,2.0,0.0,0.0,0.0
361,avoid,0.0,4.0,0.0,0.0,0.0
362,awaiting,0.0,1.0,0.0,0.0,0.0
363,awareness,0.0,2.0,0.0,0.0,0.0
364,away,0.0,42.0,0.0,0.0,0.0
365,awesome,0.0,1.0,0.0,0.0,0.0
366,ayudarte,0.0,0.0,1.0,1.0,1.0
367,baby,0.0,6.0,0.0,0.0,0.0
368,back,0.0,205.0,26.0,26.0,26.0
369,background,0.0,1.0,25.0,25.0,25.0
370,bad,0.0,0.0,2.0,2.0,2.0
371,badword,0.0,0.0,3.0,3.0,3.0
372,badwordfilter,0.0,0.0,1.0,1.0,1.0
373,badwords,0.0,0.0,1.0,1.0,1.0
374,balances,0.0,0.0,2.0,2.0,2.0
375,ban,0.0,2.0,3.0,3.0,3.0
376,bangor,0.0,3.0,0.0,0.0,0.0
377,bank,0.0,0.0,2.0,2.0,2.0
378,bankruptcy,0.0,1.0,0.0,0.0,0.0
379,banner,0.0,2.0,0.0,0.0,0.0
380,bans,0.0,0.0,15.0,15.0,15.0
381,bar,0.0,2.0,0.0,0.0,0.0
382,barker,0.0,2.0,0.0,0.0,0.0
383,barrett,0.0,2.0,0.0,0.0,0.0
384,basados,0.0,0.0,2.0,2.0,2.0
385,base,0.0,1.0,0.0,0.0,0.0
386,based,0.0,9.0,3.0,4.0,3.0
387,bases,0.0,1.0,0.0,0.0,0.0
388,basic,0.0,1.0,4.0,4.0,4.0
389,basis,0.0,1.0,0.0,0.0,0.0
390,bass,0.0,1.0,0.0,0.0,0.0
391,basta,0.0,0.0,1.0,1.0,1.0
392,bathroom,0.0,1.0,0.0,0.0,0.0
393,battle,0.0,1.0,0.0,0.0,0.0
394,bay,0.0,1.0,0.0,0.0,0.0
395,bcome,0.0,2.0,0.0,0.0,0.0
396,beacons”,0.0,1.0,0.0,0.0,0.0
397,became,0.0,1.0,0.0,0.0,0.0
398,because,0.0,13.0,1.0,1.0,1.0
399,become,0.0,88.0,3.0,3.0,3.0
400,becomes,0.0,0.0,2.0,2.0,2.0
401,becoming,0.0,1.0,0.0,0.0,0.0
402,bedsider,0.0,2.0,0.0,0.0,0.0
403,been,0.0,14.0,6.0,6.0,6.0
404,bees,0.0,1.0,0.0,0.0,0.0
405,before,0.0,35.0,4.0,4.0,4.0
406,begin,0.0,1.0,0.0,0.0,0.0
407,beginning,0.0,1.0,0.0,0.0,0.0
408,behalf,0.0,7.0,0.0,0.0,0.0
409,behavior,0.0,3.0,0.0,0.0,0.0
410,behavioral,0.0,1.0,0.0,0.0,0.0
411,behaviors,0.0,2.0,0.0,0.0,0.0
412,behind,0.0,1.0,0.0,0.0,0.0
413,being,0.0,11.0,6.0,6.0,6.0
414,belfast,0.0,3.0,0.0,0.0,0.0
415,believe,0.0,8.0,0.0,0.0,0.0
416,believes,0.0,1.0,0.0,0.0,0.0
417,below,0.0,14.0,3.0,3.0,3.0
418,beneath,0.0,1.0,0.0,0.0,0.0
419,beneficiaries,0.0,3.0,0.0,0.0,0.0
420,beneficiary,0.0,1.0,0.0,0.0,0.0
421,benefit,0.0,13.0,1.0,1.0,1.0
422,benefits,0.0,4.0,1.0,1.0,1.0
423,benevity,0.0,1.0,0.0,0.0,0.0
424,benign,0.0,39.0,0.0,0.0,0.0
425,bequest,0.0,1.0,0.0,0.0,0.0
426,best,0.0,22.0,2.0,3.0,2.0
427,bestow,0.0,1.0,0.0,0.0,0.0
428,better,0.0,6.0,0.0,0.0,0.0
429,between,0.0,7.0,1.0,1.0,1.0
430,beyond,0.0,1.0,0.0,0.0,0.0
431,biden,0.0,1.0,0.0,0.0,0.0
432,big,0.0,1.0,0.0,0.0,0.0
433,bill,0.0,92.0,4.0,4.0,4.0
434,billed,0.0,2.0,1.0,1.0,1.0
435,billing,0.0,10.0,4.0,4.0,4.0
436,billion,0.0,1.0,0.0,0.0,0.0
437,billpatient,0.0,39.0,0.0,0.0,0.0
438,bills,0.0,2.0,1.0,1.0,1.0
439,binary,0.0,2.0,0.0,0.0,0.0
440,bind,0.0,0.0,1.0,1.0,1.0
441,binding,0.0,2.0,0.0,0.0,0.0
442,birds,0.0,1.0,0.0,0.0,0.0
443,birth,0.0,49.0,63.0,63.0,63.0
444,bisexual,0.0,2.0,0.0,0.0,0.0
445,bizarre,0.0,1.0,0.0,0.0,0.0
446,black,0.0,6.0,1.0,1.0,1.0
447,bleeding,0.0,6.0,0.0,0.0,0.0
448,block,0.0,4.0,5.0,5.0,5.0
449,blog,0.0,78.0,12.0,12.0,12.0
450,blood,0.0,12.0,0.0,0.0,0.0
451,blue,0.0,1.0,6.0,6.0,6.0
452,bluemail,0.0,0.0,28.0,28.0,28.0
453,blur,0.0,0.0,1.0,1.0,1.0
454,bmi,0.0,4.0,0.0,0.0,0.0
455,board,0.0,4.0,0.0,0.0,0.0
456,bodies,0.0,0.0,12.0,12.0,12.0
457,body,0.0,45.0,2.0,2.0,2.0
458,body',0.0,3.0,0.0,0.0,0.0
459,bogus,0.0,0.0,1.0,1.0,1.0
460,bone,0.0,2.0,0.0,0.0,0.0
461,book,0.0,78.0,19.0,19.0,19.0
462,booking,0.0,1.0,0.0,0.0,0.0
463,bookmark,0.0,1.0,0.0,0.0,0.0
464,borrowed,0.0,1.0,0.0,0.0,0.0
465,both,0.0,7.0,3.0,3.0,3.0
466,bothinfo,0.0,0.0,1.0,1.0,1.0
467,bots,0.0,1.0,0.0,0.0,0.0
468,bottom,0.0,0.0,1.0,1.0,1.0
469,bound,0.0,1.0,0.0,0.0,0.0
470,boundaries,0.0,2.0,0.0,0.0,0.0
471,bowdoin,0.0,0.0,12.0,0.0,0.0
472,box,0.0,5.0,2.0,2.0,2.0
473,brag,0.0,1.0,0.0,0.0,0.0
474,brand,0.0,2.0,1.0,1.0,1.0
475,brandid,0.0,1.0,0.0,0.0,0.0
476,breach,0.0,5.0,0.0,0.0,0.0
477,breakfast,0.0,1.0,0.0,0.0,0.0
478,breaking,0.0,0.0,1.0,1.0,1.0
479,breast,0.0,4.0,1.0,1.0,1.0
480,breastfeeding,0.0,1.0,0.0,0.0,0.0
481,brief,0.0,2.0,0.0,0.0,0.0
482,bring,0.0,16.0,2.0,2.0,2.0
483,bringing,0.0,1.0,0.0,0.0,0.0
484,brings,0.0,0.0,2.0,2.0,2.0
485,broad,0.0,1.0,0.0,0.0,0.0
486,broke,0.0,0.0,1.0,1.0,1.0
487,bronx,0.0,1.0,0.0,0.0,0.0
488,brought,0.0,2.0,0.0,0.0,0.0
489,brown,0.0,0.0,1.0,1.0,1.0
490,browse,0.0,1.0,0.0,0.0,0.0
491,browser,0.0,10.0,3.0,3.0,3.0
492,browsers,0.0,1.0,0.0,0.0,0.0
493,browsers',0.0,1.0,0.0,0.0,0.0
494,browsing,0.0,2.0,0.0,0.0,0.0
495,brunswick,0.0,2.0,0.0,0.0,0.0
496,bsd,0.0,1.0,0.0,0.0,0.0
497,bucket,0.0,0.0,1.0,1.0,1.0
498,budget,0.0,3.0,1.0,1.0,1.0
499,buffalo,0.0,1.0,0.0,0.0,0.0
500,bug,0.0,3.0,0.0,0.0,0.0
501,build,0.0,1.0,0.0,0.0,0.0
502,building,0.0,3.0,0.0,0.0,0.0
503,builds,0.0,1.0,0.0,0.0,0.0
504,business,0.0,11.0,1.0,1.0,1.0
505,but,0.0,25.0,2.0,2.0,2.0
506,buttermilk,0.0,1.0,0.0,0.0,0.0
507,button,0.0,10.0,10.0,10.0,10.0
508,buttons,0.0,0.0,4.0,4.0,4.0
509,buttonsubmit,0.0,0.0,14.0,14.0,14.0
510,buy,0.0,2.0,0.0,0.0,0.0
511,buzz,0.0,2.0,0.0,0.0,0.0
512,bypass,0.0,1.0,0.0,0.0,0.0
513,cada,0.0,0.0,2.0,2.0,2.0
514,caicos,0.0,2.0,2.0,0.0,0.0
515,calais,0.0,2.0,0.0,0.0,0.0
516,calculate,0.0,2.0,0.0,0.0,0.0
517,calculating,0.0,2.0,0.0,0.0,0.0
518,calculation,0.0,4.0,0.0,0.0,0.0
519,calculator,0.0,1.0,0.0,0.0,0.0
520,california,0.0,4.0,0.0,0.0,0.0
521,call,0.0,42.0,36.0,36.0,36.0
522,called,0.0,8.0,0.0,0.0,0.0
523,callen,0.0,1.0,0.0,0.0,0.0
524,calling,0.0,4.0,1.0,1.0,1.0
525,calls,0.0,1.0,0.0,0.0,0.0
526,campaign,0.0,8.0,0.0,0.0,0.0
527,campaigns,0.0,2.0,8.0,8.0,8.0
528,campaignsapplynational,0.0,0.0,1.0,1.0,1.0
529,campaignshybridpublic,0.0,0.0,1.0,1.0,1.0
530,campaignspublic,0.0,0.0,1.0,1.0,1.0
531,campaign’s,0.0,1.0,0.0,0.0,0.0
532,can,0.0,187.0,57.0,58.0,57.0
533,can't,0.0,5.0,1.0,1.0,1.0
534,cancellation,0.0,0.0,3.0,3.0,3.0
535,cancelled,0.0,0.0,1.0,1.0,1.0
536,cancelling,0.0,0.0,1.0,1.0,1.0
537,cancer,0.0,4.0,7.0,7.0,7.0
538,candidates,0.0,0.0,1.0,1.0,1.0
539,cannot,0.0,7.0,2.0,2.0,2.0
540,can’t,0.0,3.0,0.0,0.0,0.0
541,cap,0.0,0.0,1.0,1.0,1.0
