,token,Total0,Total1,Total2,Total3,Total4,Total5,Total6
363,brown,0.0,0.0,0.0,1.0,0.0,1.0,0.0
364,browser,0.0,48.0,0.0,3.0,0.0,2.0,0.0
365,bucket,0.0,0.0,0.0,1.0,0.0,1.0,0.0
366,budget,0.0,0.0,0.0,1.0,0.0,1.0,0.0
367,build,0.0,2.0,0.0,0.0,0.0,0.0,0.0
368,building,0.0,4.0,0.0,0.0,0.0,0.0,0.0
369,business,0.0,1.0,0.0,1.0,0.0,1.0,0.0
370,but,0.0,24.0,0.0,3.0,0.0,4.0,0.0
371,button,0.0,0.0,0.0,10.0,0.0,9.0,0.0
372,buttons,0.0,0.0,0.0,4.0,0.0,4.0,0.0
373,buttonsubmit,0.0,0.0,0.0,17.0,0.0,15.0,0.0
374,byrne,0.0,3.0,0.0,0.0,0.0,0.0,0.0
375,cada,0.0,0.0,0.0,2.0,0.0,2.0,0.0
376,call,0.0,7.0,0.0,41.0,0.0,39.0,0.0
377,called,0.0,3.0,0.0,0.0,0.0,0.0,0.0
378,calling,0.0,1.0,0.0,1.0,0.0,1.0,0.0
379,came,0.0,1.0,0.0,0.0,0.0,0.0,0.0
380,campaign,0.0,1.0,0.0,0.0,0.0,0.0,0.0
381,campaignheart,0.0,1.0,0.0,0.0,0.0,0.0,0.0
382,campaigns,0.0,0.0,0.0,8.0,0.0,8.0,0.0
383,campaignsapplynational,0.0,0.0,0.0,1.0,0.0,1.0,0.0
384,campaignshybridpublic,0.0,0.0,0.0,1.0,0.0,1.0,0.0
385,campaignspublic,0.0,0.0,0.0,1.0,0.0,1.0,0.0
386,campus,0.0,3.0,0.0,0.0,0.0,0.0,0.0
387,can,0.0,53.0,0.0,63.0,0.0,61.0,0.0
388,can't,0.0,1.0,0.0,1.0,0.0,1.0,0.0
389,canada,0.0,1.0,0.0,0.0,0.0,0.0,0.0
390,cancellation,0.0,0.0,0.0,3.0,0.0,3.0,0.0
391,cancelled,0.0,0.0,0.0,1.0,0.0,1.0,0.0
392,cancelling,0.0,0.0,0.0,1.0,0.0,1.0,0.0
393,cancer,0.0,92.0,0.0,7.0,0.0,7.0,0.0
394,cancers,0.0,3.0,0.0,0.0,0.0,0.0,0.0
395,candidates,0.0,0.0,0.0,1.0,0.0,1.0,0.0
396,cannot,0.0,4.0,0.0,2.0,0.0,2.0,0.0
397,can’t,0.0,2.0,0.0,0.0,0.0,0.0,0.0
398,cap,0.0,0.0,0.0,1.0,0.0,1.0,0.0
399,captcharequired,0.0,1.0,0.0,0.0,0.0,0.0,0.0
400,captions,0.0,2.0,0.0,2.0,0.0,2.0,0.0
401,capture,0.0,23.0,0.0,0.0,0.0,0.0,0.0
402,capuchón,0.0,0.0,0.0,2.0,0.0,2.0,0.0
403,card,0.0,7.0,0.0,11.0,0.0,11.0,0.0
404,cardholder’s,0.0,1.0,0.0,0.0,0.0,0.0,0.0
405,cards,0.0,0.0,0.0,5.0,0.0,5.0,0.0
406,care,0.0,120.0,0.0,102.0,0.0,94.0,0.0
407,career,0.0,38.0,0.0,0.0,0.0,0.0,0.0
408,careers,0.0,79.0,0.0,0.0,0.0,0.0,0.0
409,caregiver,0.0,2.0,0.0,0.0,0.0,0.0,0.0
410,caregiver's,0.0,0.0,0.0,1.0,0.0,1.0,0.0
411,caregivers,0.0,2.0,0.0,0.0,0.0,0.0,0.0
412,carepatient,0.0,1.0,0.0,0.0,0.0,0.0,0.0
