,token,Total0,Total1,Total2,Total3,Total4,Total5,Total6,Total7
184,adverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
185,advertise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
186,advertisement,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
187,advice,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0
188,advise,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0
189,advised,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
190,advocacy,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
191,advocate,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
192,advocates,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0
193,aestheticiansmaricopa,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194,aetna,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
195,aff,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
196,affect,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
197,affecting,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
198,affects,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
199,affilate,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
200,affiliate,13.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
201,affiliatecode,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
202,affiliatecodelocation,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
203,affiliated,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
204,affiliateid,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
205,affiliates,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
206,affiliation,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
207,affiliations,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
208,affirming,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
209,afford,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
210,affordable,7.0,5.0,0.0,0.0,6.0,0.0,6.0,0.0
211,africa,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
212,african,2.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0
213,after,13.0,72.0,0.0,52.0,13.0,0.0,41.0,12.0
214,afternoon,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
215,aftertransition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
216,again,2.0,0.0,0.0,4.0,2.0,0.0,4.0,1.0
217,against,2.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0
218,age,7.0,35.0,0.0,4.0,10.0,0.0,0.0,1.0
219,agencies,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
220,agency,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0
221,agent,5.0,0.0,0.0,2.0,6.0,0.0,0.0,88.0
222,ages,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
223,aggregate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
224,ago,41.0,0.0,0.0,2.0,41.0,0.0,0.0,0.0
225,agosee,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
226,agree,1.0,20.0,0.0,0.0,1.0,0.0,0.0,14.0
227,agreed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
228,agreeing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
229,agreement,0.0,5.0,0.0,3.0,0.0,0.0,0.0,4.0
230,agreementid,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
231,agreementname,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
232,agreements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
233,agreetotermsentity,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
234,ahcccs,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
235,ahead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
236,ahora,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
237,aid,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
238,aids,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
239,aiming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
240,ajax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
241,ajaxenabled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
242,ajo,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
243,alabamaalaskaamerican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
244,alarming,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
245,alateen,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
246,alcohol,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
247,alcoholics,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
248,alert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
249,alerts,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
250,align,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
251,alignfull,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
252,alignwide,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
253,alike,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
254,all,31.0,68.0,0.0,81.0,34.0,0.0,60.0,1206.0
255,allergic,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
256,allergies,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
257,allergy,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
258,alleviate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
259,allied,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
260,allison,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
261,allnear,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
262,allow,1.0,1.0,0.0,1.0,2.0,0.0,3.0,9.0
263,allowable,6.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0
264,allowed,2.0,17.0,0.0,4.0,1.0,0.0,2.0,1.0
265,allowing,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
266,allows,3.0,0.0,0.0,36.0,3.0,0.0,1.0,4.0
267,alloy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
268,ally,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
269,almost,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
270,alone,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0
271,along,1.0,1.0,0.0,12.0,1.0,0.0,1.0,4.0
272,alpha,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
273,already,1.0,5.0,0.0,16.0,1.0,0.0,4.0,3.0
274,also,8.0,37.0,0.0,29.0,8.0,0.0,17.0,26.0
275,alter,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
276,alternative,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
277,alternatives,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
278,although,0.0,4.0,0.0,6.0,0.0,0.0,1.0,2.0
279,always,9.0,0.0,0.0,18.0,9.0,0.0,3.0,5.0
280,amazing,1.0,0.0,0.0,12.0,1.0,0.0,5.0,0.0
281,amended,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
282,america,6.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0
283,america's,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
284,american,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
285,americannative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
286,americasarmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
287,amniotic,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
288,amongst,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
289,amount,4.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0
290,amounts,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
291,analystnyc,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
292,analytics,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
293,anatomy,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
294,anchor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
295,anchorindex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
296,and…,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
297,anemic,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
298,anesthesia,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0
299,anesthetic,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
300,angel,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
301,angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
302,angry,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
303,anillo,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
304,animations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
305,announce,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
306,announced,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
307,annual,5.0,0.0,0.0,6.0,4.0,0.0,0.0,11.0
308,anomalies,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
309,anomalieswe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
310,anonymous,2.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0
311,another,0.0,9.0,0.0,8.0,0.0,0.0,3.0,16.0
312,another's,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
313,answer,1.0,0.0,0.0,5.0,1.0,0.0,9.0,0.0
314,answered,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0
315,answering,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
316,answerother,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
317,answers,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
318,antibiotic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
319,antibiotics,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
320,anticonceptivo,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
321,anus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
322,any,17.0,128.0,0.0,10.0,17.0,0.0,11.0,119.0
323,anyone,0.0,2.0,0.0,8.0,0.0,0.0,0.0,3.0
324,anyone's,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
325,anyonei,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
326,anything,1.0,4.0,0.0,6.0,1.0,0.0,4.0,6.0
327,anytime,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
328,api,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
329,apiagreementcapabilityid,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
330,apis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
331,apiversion,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
332,apologize,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0
333,app,7.0,11.0,0.0,3.0,7.0,0.0,0.0,0.0
334,apparel,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
335,appear,2.0,5.0,0.0,0.0,2.0,0.0,1.0,4.0
336,appearing,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
337,appears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
338,append,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
339,appendcsrftokentourl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
340,appending,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
341,appends,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
342,applicable,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0
343,applicant,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
344,application,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
345,applied,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0
346,applies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
347,apply,1.0,5.0,0.0,2.0,1.0,0.0,0.0,5.0
348,appointment,19.0,17.0,0.0,20.0,21.0,0.0,17.0,28.0
349,appointments,5.0,0.0,0.0,6.0,5.0,0.0,0.0,10.0
350,appreciate,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0
351,appreciated,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
352,appreciates,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
353,appreciation,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
354,approaching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
355,appropriate,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0
356,approved,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
357,approximate,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
358,approximately,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
359,appsign,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
360,appts,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
361,april,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
362,arab,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
363,archived,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
364,area,1.0,3.0,0.0,2.0,0.0,0.0,4.0,1.0
365,areas,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
