,Total
2px,918.0
2rem,1.0
2s,3.0
2vw,2.0
2½,1.0
30,32.0
300colorado,1.0
300ms,223.0
300px,13.0
305,8.0
308,8.0
309,1.0
30px,121.0
31,4.0
317,19.0
31learn,1.0
31px,18.0
31statesin,1.0
32,2.0
32px,197.0
33,7.0
33px,16.0
34,5.0
34px,8.0
35,7.0
350,3.0
350px,16.0
35px,119.0
36,5.0
36px,8.0
37,1.0
3700,9.0
3721,25.0
3729,2.0
378,1.0
37px,9.0
38,1.0
38px,18.0
39,7.0
3925,9.0
39px,19.0
3em,2.0
3pm,23.0
3px,510.0
3rd,2.0
3rem,18.0
40,29.0
400,3.0
4050,26.0
40px,38.0
41,1.0
411,1.0
41px,3.0
42,1.0
420px,1.0
424,17.0
42px,16.0
43,1.0
43px,8.0
44,5.0
44px,2.0
45,4.0
450px,2.0
45px,99.0
45vw,2.0
46,3.0
461031815,1.0
461031815see,25.0
46px,19.0
47,4.0
47px,16.0
48,14.0
48px,13.0
49503,4.0
499px,8.0
49px,1.0
49th,2.0
4em,2.0
4pm,68.0
4px,498.0
4th,30.0
4vw,2.0
50,55.0
500,11.0
5000,1.0
500ms,9.0
500px,1.0
501,1.0
50ms,3.0
50px,95.0
50th,3.0
50vw,1.0
510,1.0
51px,17.0
52,3.0
523,12.0
529,16.0
52px,1.0
538,9.0
53px,2.0
54px,2.0
55,6.0
55px,8.0
55th,1.0
56,3.0
56px,5.0
58px,6.0
59,7.0
59px,3.0
5em,2.0
5fr,4.0
5k,1.0
5pm,13.0
5pmfriday,1.0
5pmor,4.0
5pmthursday,1.0
5pmtuesday,1.0
5pmwednesday,1.0
5px,878.0
5rem,2.0
5th,1.0
5vw,4.0
60,7.0
600px,16.0
60px,70.0
60vw,1.0
614,3.0
61px,2.0
62px,3.0
62vw,1.0
63px,2.0
64px,3.0
65px,1.0
65vw,1.0
667,1.0
66px,8.0
66th,1.0
67px,2.0
68px,9.0
69,1.0
6pm,8.0
6pmor,4.0
6px,44.0
6th,1.0
70,8.0
704px,1.0
705,1.0
70px,13.0
7103,13.0
7195449312,2.0
72,14.0
73103,1.0
732,2.0
75,3.0
761,1.0
767,7.0
768,7.0
780px,2.0
781px,2.0
782px,3.0
79,1.0
7pm,23.0
7px,306.0
7vw,3.0
80,2.0
800,1.0
80011monday,9.0
80020,1.0
80023,1.0
800px,3.0
80112,3.0
80112business,3.0
80112wednesday,6.0
801px,1.0
80202monday,3.0
80204monday,6.0
80205,18.0
80226monday,9.0
80304,21.0
80308,1.0
80435,4.0
80437,1.0
80439,25.0
80524,30.0
80537,2.0
80550,16.0
80631,16.0
80723,12.0
80734,12.0
80751,12.0
80758,4.0
80759,12.0
80813,1.0
80863,18.0
80918,26.0
80px,33.0
81004,4.0
81050,2.0
81054,2.0
81211,19.0
81211the,1.0
81212,1.0
81230,28.0
81301,1.0
81401,22.0
81416,11.0
81505,18.0
81505call,3.0
81601,19.0
81625,19.0
81625visit,2.0
820,1.0
822,17.0
85,1.0
860,1.0
87,6.0
879,1.0
88,1.0
89,1.0
896,1.0
8px,92.0
8th,1.0
90,27.0
900,1.0
901,6.0
90vw,2.0
91,3.0
911,3.0
95,4.0
950px,1.0
97,10.0
990,6.0
9902021,1.0
990s,7.0
9999,1.0
999px,15.0
9am,15.0
9px,55.0
9vw,1.0
9yo,1.0
_0xh,4.0
_0xi,4.0
_0xj,4.0
_____________________________________________________________________,1.0
_______________________________________________________________________,1.0
_________________________________________________________________________,1.0
__fa,2.0
__frmhideorshowfields,1.0
__frmrules,1.0
__i18nlocale,1.0
_ctct_m,9.0
_end_,89.0
_epyt_,89.0
_extend,2.0
_gaq,1.0
_max_,89.0
_menu_,89.0
_start_,89.0
_total_,89.0
_trfd,1.0
_trfq,1.0
_vwo_code,1.0
_vwo_settings_timer,1.0
_wpmejssettings,7.0
aacc,2.0
aaplog,3.0
aaron,7.0
abdomen,4.0
abdominal,7.0
aberdeen,1.0
abeyta,2.0
abide,4.0
abiding,1.0
abiertos,3.0
ability,17.0
able,90.0
ablincoln,1.0
ablincoln_config,2.0
abnormal,17.0
abnormalities,3.0
abnormality,1.0
abort,5.0
aborted,2.0
abortifacient,6.0
abortion,2546.0
abortionabortion,3.0
abortionafter,3.0
abortionan,4.0
abortionheavy,3.0
abortions,48.0
abortionthere,1.0
abortionvoices,3.0
abound,1.0
about,1356.0
aboutadoption,1.0
above,38.0
abruptly,1.0
absence,3.0
absences,3.0
absolute,3.0
absolutely,98.0
abundant,1.0
abuse,14.0
abusive,1.0
abuso,3.0
acc,27.0
accelerate,1.0
accelerating,1.0
accept,68.0
acceptable,1.0
acceptallbutton,12.0
acceptalllink,4.0
acceptbannerfptidata,8.0
accepted,6.0
accepting,5.0
access,165.0
accesscontrolledhttpredirecturl,1.0
accesscontrollerresponse,1.0
accessed,17.0
accessible,30.0
accessing,15.0
accessories,4.0
accommodate,5.0
accommodated,3.0
accommodationssupport,3.0
accompany,4.0
accomplished,5.0
accordance,6.0
accordian,1.0
according,25.0
account,505.0
account_id,2.0
accountability,61.0
accountcreate,2.0
accountemail,1.0
accountenglish,6.0
accounting,1.0
accounts,3.0
accountssign,1.0
accreditation,4.0
accumsan,4.0
accuracy,9.0
accurate,104.0
accustomed,1.0
acetate,7.0
ach,2.0
aches,1.0
achieve,14.0
achievement,1.0
achieving,3.0
acknowledge,19.0
acpc,33.0
acquaintance,1.0
acquire,6.0
acquiring,6.0
across,32.0
act,24.0
action,58.0
actionable,1.0
actions,4.0
activate,178.0
active,81.0
activeelement,4.0
activegroups,2.0
actively,2.0
activex,2.0
activities,12.0
activity,37.0
activityadoption,1.0
activityearn,1.0
actress,2.0
actually,8.0
acute,1.0
ad,35.0
adcock,1.0
adcreate,8.0
add,53.0
addbreadcrumb,38.0
added,119.0
addiction,2.0
adding,45.0
addition,17.0
additional,107.0
additionally,3.0
additive,1.0
address,225.0
address228,17.0
addressed,9.0
addresses,1.0
addthis_config,1.0
addtowatchlistid,2.0
adelante,3.0
adequate,6.0
adhere,12.0
adheres,1.0
adipiscing,4.0
adjacent,3.0
adjoining,1.0
adjust,14.0
adjustments,3.0
administer,5.0
administered,4.0
administration,2.0
administrative,35.0
administrator,3.0
admire,10.0
admit,3.0
admits,1.0
adobe,3.0
adolescents,1.0
adopt,10.0
adopted,18.0
adoptee,8.0
adopting,4.0
adoption,850.0
adoptiona,1.0
adoptionadoption,1.0
adoptionan,1.0
adoptionconfidential,1.0
adoptionlearn,1.0
adoptionnot,1.0
adoptions,27.0
adoptive,56.0
adore,1.0
adored,1.0
adores,1.0
adress,2.0
adressing,2.0
ads,30.0
adssocial,6.0
adult,8.0
adults,14.0
advance,18.0
advanced,52.0
advancement,2.0
advances,5.0
advantage,7.0
adventure,1.0
adventures,2.0
adverse,2.0
adversity,3.0
advertisement,45.0
advertisementmy,1.0
advertising,5.0
advice,16.0
advise,1.0
advised,4.0
advising,48.0
advisor,6.0
advisory,7.0
advocacy,6.0
advocacyalternatives,3.0
advocacyif,3.0
advocate,60.0
advocates,78.0
advocating,4.0
advocatingour,1.0
afecciones,1.0
affect,53.0
affected,8.0
affecting,1.0
affectionate,1.0
affects,15.0
affiliate,5.0
affiliated,5.0
affiliates,8.0
affiliations,1.0
affirming,3.0
afford,2.0
affordable,2.0
afghani,8.0
afghanis,4.0
afraid,1.0
africa,2.0
african,96.0
after,947.0
again,73.0
against,70.0
age,55.0
aged,1.0
agencies,22.0
agency,36.0
agencyreturning,6.0
agenda,2.0
agent,6.0
ages,2.0
aggregate,1.0
aggressive,1.0
ago,53.0
agree,89.0
agreement,5.0
ahead,4.0
aid,108.0
aide,3.0
aides,3.0
aim,3.0
aiming,1.0
air,2.0
airport,1.0
aislada,1.0
aka,3.0
al,5.0
alabama,5.0
alabamaalaskaamerican,6.0
alaska,5.0
albania,2.0
albany,117.0
alcohol,10.0
alec,1.0
alert,88.0
alerts,59.0
alex,3.0
alexis,2.0
alguno,1.0
aligned,3.0
aligns,6.0
alison,3.0
all,2373.0
allen,3.0
allergic,1.0
allied,1.0
allocation,1.0
allow,49.0
allowed,2.0
allowing,16.0
allows,49.0
almost,18.0
alojamientoreferencias,3.0
alone,31.0
along,151.0
alongside,36.0
alpha,92.0
already,102.0
also,460.0
alter,2.0
alternate,1.0
alternative,14.0
alternatives,743.0
alternativesalternatives,3.0
although,25.0
aluminum,1.0
always,134.0
alyssa,1.0
am,384.0
amar,3.0
amazement,1.0
amazing,35.0
amazon,7.0
amazonsmile,1.0
ambassador,8.0
ambassadors,7.0
amber,3.0
ambulance,1.0
amend,2.0
america,9.0
american,15.0
americans,7.0
americasarmed,6.0
amniotic,3.0
among,5.0
amos,1.0
amount,55.0
amy,5.0
anal,9.0
analysis,8.0
analyst,2.0
analytical,15.0
analytics,92.0
analyze,34.0
analyzed,15.0
anappointment,134.0
anatomy,4.0
anatomywhy,3.0
andrew,5.0
android,2.0
anesthesia,2.0
anesthetic,1.0
anger,4.0
animal,1.0
animals,3.0
animas,1.0
animation,2.0
anita,2.0
ann,4.0
annals,2.0
annie,8.0
anniversary,7.0
announced,6.0
announces,1.0
annual,42.0
annually,5.0
anomalies,1.0
anonymous,5.0
another,123.0
answer,113.0
answered,5.0
answering,2.0
answers,54.0
answersare,2.0
antepartum,1.0
anthesis,1.0
antibiotics,4.0
antibodies,2.0
anticipated,1.0
anticipates,2.0
anticipating,1.0
antillean,12.0
antiprogestins,2.0
antiviral,3.0
anus,1.0
anxiety,28.0
anxious,11.0
anxiously,1.0
anxiousnesssadnessangerguilt,3.0
any,638.0
anya,3.0
anyone,111.0
anything,38.0
anytime,49.0
anywhere,1.0
ap,1.0
apart,1.0
apathy,1.0
apf,3.0
api,6.0
apologize,12.0
apostolic,1.0
apoyo,6.0
app,4.0
apparel,4.0
appealing,4.0
appeals,7.0
appearing,1.0
appears,3.0
append,2.0
appendjstimerelement,6.0
apple,1.0
applicable,5.0
application,17.0
applications,1.0
applied,2.0
applies,4.0
apply,21.0
applying,3.0
appoi9ntment,1.0
appointment,1219.0
appointment538,15.0
appointmentall,6.0
appointmentbook,1.0
appointmentconsidering,6.0
appointmentif,6.0
appointmentour,2.0
appointmentprivacy,24.0
appointments,188.0
appointmentschedule,1.0
appointmentsubmitsomeone,4.0
appointmentwhen,3.0
appreciate,2.0
appreciated,1.0
appreciation,2.0
approach,18.0
approaches,1.0
appropriate,11.0
appropriateness,2.0
approved,9.0
approximate,3.0
approximately,21.0
apps,1.0
apr,8.0
aprenda,1.0
april,27.0
aquellos,3.0
aquí,1.0
arab,56.0
arc,4.0
archheight,2.0
archive,2.0
archivo,4.0
archivos,1.0
area,45.0
areapainful,1.0
areas,24.0
args,2.0
argument,24.0
arise,3.0
arising,38.0
arizona,5.0
arkansas,8.0
arm,1.0
armed,1.0
arms,3.0
army,1.0
arose,1.0
around,64.0
arrange,2.0
arranged,1.0
arrangement,2.0
arrival,2.0
arrive,1.0
arrived,1.0
arrow,28.0
arrow_list,1.0
arrows,9.0
arrwithtrailingcomma,38.0
art,2.0
article,26.0
articles,12.0
artist,8.0
asana,3.0
asapwed,2.0
ascended,1.0
ascension,1.0
ash,22.0
ashamed,3.0
ashleigh,1.0
ashley,13.0
asistencia,9.0
ask,46.0
asked,76.0
asking,33.0
asks,4.0
aspect,2.0
aspects,3.0
aspen,4.0
aspiration,5.0
assess,4.0
assessed,2.0
assessing,2.0
assessment,14.0
asset,6.0
assets,2.0
assign,13.0
assignments,6.0
assist,30.0
assistance,47.0
assistanceemployment,9.0
assistant,8.0
assistantaspen,3.0
assistantpa,3.0
assisting,2.0
assists,2.0
associate,24.0
associated,59.0
associations,1.0
assume,2.0
assure,8.0
assured,1.0
assures,1.0
astra,1.0
asymptomatic,3.0
async,82.0
atmosphere,1.0
atoning,1.0
atsave,2.0
attach,6.0
attached,1.0
attachevent,4.0
attaching,2.0
attachment,2.0
attain,1.0
attempt,26.0
attempted,1.0
attempts,4.0
attend,16.0
attendance,3.0
attended,3.0
attendee,3.0
attending,11.0
attends,1.0
attention,10.0
attentive,1.0
attitudes,1.0
attorney,1.0
attr,2.0
attraction,1.0
auction,1.0
audience,1.0
audiences,2.0
audit,6.0
audited,5.0
audrey,1.0
aug,2.0
august,19.0
auraria,3.0
aurora,9.0
austin,21.0
australian,1.0
auth,2.0
authentic,8.0
authenticating,2.0
author,133.0
authoritative,1.0
authorities,4.0
authority,4.0
authorization,4.0
authorize,20.0
authorized,6.0
authors,38.0
auto,691.0
automated,1.0
automatically,80.0
autoplay,13.0
autor,2.0
availability,3.0
available,364.0
avatar,1.0
ave,204.0
avenue,1.0
avenuelas,1.0
average,8.0
average_rating,2.0
aversions,5.0
aversionsheadachesthe,3.0
averted,1.0
avoid,17.0
avoiding,3.0
avpc,1.0
avs,1.0
await,38.0
awaiting,1.0
award,2.0
awarded,1.0
awards,1.0
aware,15.0
awareness,26.0
away,7.0
awesome,2.0
axworthy,1.0
ayuda,4.0
ayudar,9.0
azarbaijan,2.0
babies,24.0
baby,288.0
babyif,3.0
babywhat,6.0
back,221.0
backed,1.0
background,4.0
backgrounds,1.0
backs,1.0
backyard,1.0
bacteria,4.0
bacterial,3.0
bad,1.0
bag,3.0
bailey,1.0
bake,1.0
bakhtiari,1.0
baking,2.0
balance,3.0
balancing,1.0
baldwin,37.0
baldwinwoodland,1.0
ball,9.0
baluchestan,1.0
ban,1.0
band,1.0
bank,18.0
banking,2.0
banks,10.0
banner,5.0
bannerbottomheight,4.0
bannerclosebutton,12.0
bannerdeclinebutton,12.0
bannerdeclinedata,8.0
bannerfptidata,8.0
bannerheight,8.0
bannerpaddingbottom,16.0
banquet,16.0
baptism,1.0
baptist,1.0
bar,6.0
barb,1.0
barclay,1.0
barjhoux,3.0
barr,1.0
barriers,3.0
basalt,1.0
base,1.0
baseball,7.0
based,74.0
basic,36.0
basis,73.0
basketball,2.0
bathroom,2.0
battery,2.0
battle,2.0
battled,1.0
baum,1.0
bcc,3.0
beach,4.0
beacon,3.0
beanie,2.0
bear,3.0
bearable,1.0
beat,1.0
beautiful,38.0
beautifully,4.0
beauty,3.0
became,12.0
because,83.0
become,72.0
becomes,8.0
becoming,30.0
been,1491.0
before,595.0
beforehand,2.0
began,22.0
begin,66.0
beginning,5.0
begins,15.0
beginsmediation,1.0
begotten,1.0
begun,3.0
behalf,9.0
behavior,1.0
behind,2.0
being,134.0
beings,3.0
bel,1.0
belief,15.0
beliefs,2.0
believe,57.0
believed,2.0
believers,4.0
believes,4.0
believing,1.0
belly,2.0
belong,5.0
belongs,5.0
below,99.0
beneficial,2.0
benefit,9.0
benefits,19.0
benefitting,1.0
benjamin,1.0
bennett,3.0
benzinga,1.0
bernadette,2.0
bernard,3.0
bernardo,1.0
bernhardt,3.0
beside,6.0
besides,2.0
best,182.0
beta,1.0
beth,3.0
bethany,29.0
betsy,1.0
better,74.0
betty,1.0
between,88.0
beverly,1.0
beyond,32.0
bi,38.0
biases,1.0
bible,4.0
biblical,7.0
big,34.0
biggest,2.0
bike,4.0
biking,2.0
bill,10.0
billing,5.0
bindgdprevents,4.0
binding,3.0
biological,7.0
biomarkers,3.0
biotechnology,3.0
birds,1.0
birth,207.0
birthday,1.0
birthdays,4.0
birthine,2.0
birthline,131.0
birthmothers,2.0
birthparents,1.0
births,3.0
bit,3.0
biweekly,2.0
bjog,3.0
black,10.0
blake,9.0
blanket,1.0
bleeding,34.0
bleedinginfectionfeverdigestive,6.0
bleedingpain,1.0
bleedinguterine,1.0
blended,1.0
bless,2.0
blessed,25.0
blessing,25.0
blessings,2.0
blind,1.0
blink,2.0
blobdata,2.0
block,22.0
blocked,1.0
blocking,5.0
blockquote,240.0
blocks,9.0
blog,301.0
blogall,1.0
blogcontact,1.0
blogging,21.0
bloggrow,1.0
blogpeer,1.0
blogs,1.0
blogways,1.0
blogwe,3.0
blogwhen,1.0
blogwhy,1.0
blood,14.0
bloom,1.0
blower,1.0
blue,2.0
blvd,6.0
blye,2.0
bmorning,1.0
board,111.0
boardbetsy,3.0
boardboard,3.0
boards,1.0
boating,1.0
bob,2.0
bodily,4.0
body,283.0
bodycacheable,38.0
bodypaddingbottom,4.0
bold,341.0
boliviano,8.0
bolivianos,4.0
bolívar,8.0
bolívars,4.0
bond,5.0
bonding,2.0
bonds,1.0
bones,1.0
bonnie,2.0
bonus,7.0
book,283.0
bookkeeper,4.0
books,5.0
bookstore,6.0
boomerang,3.0
boomr_lstart,4.0
boost,1.0
boosting,1.0
booth,1.0
booths,1.0
bootstrap,2.0
border,133.0
born,33.0
botanical,1.0
both,87.0
bottle,21.0
bottled,3.0
bottles,8.0
bottlesraise,3.0
bottom,51.0
bou,1.0
bought,5.0
boulder,171.0
bounce,100.0
bounceindown,84.0
bounceoutup,84.0
bound,2.0
boutique,22.0
bowen,1.0
box,18.0
boy,4.0
boycotting,1.0
boyerahmad,1.0
boyfriend,8.0
boys,3.0
bprc,9.0
br,2.0
bracelet,10.0
brain,1.0
brand,10.0
branded,2.0
brass,14.0
bratcher,5.0
brave,5.0
bravery,2.0
bravest,1.0
brazoria,1.0
breaches,6.0
bread,1.0
breadth,1.0
break,3.0
breaking,2.0
breast,3.0
breastfeeding,3.0
breasts,10.0
breastsnausea,2.0
breastsspottingfrequent,3.0
breath,4.0
breeze,45.0
brenda,1.0
brick,2.0
bridge,7.0
bridges,28.0
brief,1.0
bright,11.0
brightcourse,1.0
bring,58.0
bringing,17.0
brings,11.0
british,1.0
broadway,3.0
broken,5.0
bronx,1.0
brooking,2.0
brother,9.0
brothers,1.0
brought,8.0
brown,2.0
browse,12.0
browser,81.0
browsers,66.0
browsing,17.0
bruce,1.0
brush,29.0
bsd,38.0
bsn,24.0
bsncertified,3.0
btn,1.0
bua,1.0
buccal,2.0
bucks,15.0
buddies,1.0
budget,1.0
buena,115.0
buenos,1.0
buffalo,16.0
bug,24.0
build,24.0
build_hash,1.0
building,26.0
built,4.0
bumps,1.0
bundle,1.0
bundles,3.0
bundt,1.0
burden,9.0
burdens,10.0
burdick,2.0
bureau,3.0
burgetgregory,3.0
burkea,1.0
burlington,1.0
burning,1.0
bus,103.0
buses,18.0
business,41.0
businesses,3.0
busy,4.0
but,353.0
button,99.0
buttons,7.0
buy,19.0
buyer,8.0
bv,5.0
bvpc,12.0
bvpregnancycenter,8.0
bypassing,4.0
ca,1.0
cache,4.0
cached,8.0
caesarean,1.0
caicos,52.0
cake,2.0
cakes,1.0
calculate,1.0
calculation,21.0
calculator,51.0
calhoun,2.0
california,12.0
call,455.0
callappointment,2.0
callback,13.0
callbacks,1.0
called,36.0
callers,3.0
calling,12.0
callings,3.0
callously,4.0
calls,7.0
calm,2.0
calves,1.0
camaraderie,1.0
came,16.0
cameras,2.0
cameron,9.0
campaign,16.0
campbell,2.0
campus,9.0
campuses,2.0
campushelp,3.0
can,1829.0
cancel,40.0
canceling,1.0
cancellation,1.0
cancelled,2.0
cancels,5.0
cancers,1.0
candidates,29.0
cannot,71.0
canon,5.0
canyon,1.0
capabilities,1.0
capability,1.0
capable,5.0
capacitarla,1.0
capacities,2.0
cape,3.0
capital,11.0
captcha,15.0
captchaerror,2.0
captchaphonethis,3.0
captchaready,8.0
captioning,1.0
captions,10.0
captureevent,38.0
captureexception,38.0
capturemessage,38.0
car,26.0
card,264.0
cardcard,3.0
cardholder,3.0
cardiac,10.0
cards,5.0
care,553.0
carebreastfeedingchild,3.0
carebreastfeedingraising,1.0
cared,11.0
career,5.0
careers,445.0
careful,1.0
carefully,1.0
carehousing,3.0
carenet,3.0
cares,10.0
caresupport,3.0
caribbean,12.0
caring,231.0
carlier,3.0
carlos,1.0
carol,1.0
carolina,4.0
carolinanorth,6.0
carolinasouth,6.0
carolyn,5.0
carousel,3.0
carried,1.0
carries,1.0
carry,46.0
carrying,6.0
cars,1.0
cart,8.0
case,6.0
cases,1.0
cash,4.0
castle,12.0
casts,3.0
casual,4.0
cat,3.0
catch,58.0
categories,2.0
categorized,15.0
category,90.0
catholic,8.0
catholics,1.0
cause,64.0
caused,7.0
causes,12.0
causing,7.0
caution,1.0
cavalry,1.0
cañon,16.0
cbn,5.0
ccm,1.0
cdc,10.0
cdl,2.0
cedi,8.0
cedis,4.0
celebrate,9.0
celebrated,2.0
celebrates,1.0
celebration,2.0
celebrity,1.0
cell,1.0
censor,4.0
censored,1.0
censorship,2.0
centennial,24.0
center,1996.0
center1315,1.0
center23,23.0
center2334,3.0
centerabortion,1.0
centerabortionevaluating,1.0
centeradoptionwhen,1.0
centerall,1.0
centercontact,1.0
centerdonatehow,1.0
centeremergency,1.0
centerfrequently,1.0
centergroupsaboutcreate,8.0
centerhomevolunteer,9.0
centeroptions,1.0
centerparentingan,1.0
centerpregnancy,25.0
centerprivacy,8.0
centers,65.0
centerservicespregnancy,1.0
centerterms,2.0
centerthe,1.0
centerthink,2.0
centerthrough,1.0
centeryour,1.0
central,11.0
centro,2.0
ceo,11.0
cerrado,6.0
certain,39.0
certainly,2.0
certified,15.0
cervical,3.0
cervix,15.0
cervixscar,2.0
cetner,1.0
cfa,24.0
cfo,1.0
chaffee,17.0
chain,1.0
chair,1.0
chairkatrina,1.0
chairmanfrazer,1.0
challenge,10.0
challenged,4.0
challenges,6.0
challenging,44.0
champions,1.0
champlin,1.0
chance,32.0
chances,5.0
change,128.0
changed,98.0
changes,60.0
changing,10.0
channel,8.0
channels,6.0
chapel,1.0
chapter,1.0
chapters,6.0
characters,13.0
charge,18.0
charged,18.0
charitable,3.0
charities,4.0
charity,22.0
charting,4.0
charts,28.0
chase,3.0
chash,1.0
chat,69.0
chatavailable,7.0
chaz,1.0
chd,1.0
check,164.0
checked,2.0
checkhope,1.0
checking,1.0
checklist,2.0
checkout,1.0
checks,2.0
cheerfully,5.0
cheering,1.0
cheese,1.0
cheikh,1.0
chemical,10.0
chenoweth,2.0
cherish,4.0
chicago,3.0
chief,8.0
chieftain,1.0
child,168.0
childbirth,6.0
childbirthbeing,3.0
childcare,4.0
childheight,76.0
childhood,3.0
childplus,3.0
children,62.0
childrens,1.0
chills,1.0
chip,16.0
chlamydia,40.0
chloride,2.0
chocolate,1.0
choice,117.0
choices,285.0
choicesreceive,1.0
choicestermshelpcontact,8.0
choose,195.0
chooses,1.0
choosing,24.0
chores,2.0
chorionic,8.0
chose,32.0
chosen,33.0
chrissy,1.0
christ,11.0
christian,57.0
christianity,1.0
christians,1.0
christmas,7.0
chrome,25.0
chuck,1.0
chunk,76.0
church,155.0
church_button,2.0
church_tab,2.0
churches,21.0
cindy,3.0
circle,4.0
circles,1.0
circulating,2.0
circumstance,2.0
circumstances,14.0
circumvent,2.0
cita,2.0
citas,10.0
cities,2.0
citizen,1.0
citizens,3.0
city,98.0
claim,5.0
claimed,10.0
claiming,2.0
claims,2.0
clarification,1.0
clarify,3.0
clarity,4.0
class,211.0
classes,202.0
classescommunity,1.0
classic,2.0
classified,15.0
classroom,18.0
clayton,92.0
clean,3.0
clear,14.0
clearly,2.0
cleveland,1.0
cli_cookiebar_settings,15.0
cli_data,15.0
click,125.0
clicking,17.0
client,379.0
clientradiootheranything,6.0
clients,60.0
clienttype,2.0
clifton,1.0
cling,1.0
clinic,183.0
clinical,14.0
clinics,35.0
clinicwe,2.0
clip,2.0
clock,4.0
close,155.0
closebannerfptidata,8.0
closed,88.0
closedsaturday,2.0
closedsunday,2.0
closely,5.0
closer,18.0
closest,12.0
closet,61.0
closetthe,1.0
closure,4.0
clothed,1.0
clothes,7.0
clothing,18.0
clots,3.0
club,1.0
clubs,3.0
cma,1.0
cms,1.0
cnn,1.0
co,1019.0
coach,3.0
coached,1.0
coaches,13.0
coaching,2.0
coachingpregnancyabortionsexual,1.0
coal,1.0
coalition,1.0
code,112.0
codes,18.0
codified,2.0
cogan,1.0
cohort,3.0
cold,1.0
collaborate,1.0
collaboration,2.0
collect,43.0
collected,7.0
collecting,8.0
collection,14.0
collectionhost,3.0
collective,1.0
collects,3.0
college,60.0
collins,37.0
collinsexecutive,1.0
colombia,2.0
colonias,1.0
color,349.0
coloradans,1.0
colorado,647.0
colored,1.0
coloring,1.0
colroado,1.0
columbia,2.0
columbiafloridageorgiaguamhawaiiidahoillinoisindianaiowakansaskentuckylouisianamainemarylandmassachusettsmichiganminnesotamississippimissourimontananebraskanevadanew,6.0
columbus,6.0
column,188.0
combination,2.0
come,157.0
comedy,1.0
comes,99.0
comfort,8.0
comfortable,186.0
comfortably,1.0
coming,33.0
commas,1.0
commend,1.0
comment,7.0
commentary,1.0
comments,132.0
commerce,18.0
commercial,2.0
commissioned,1.0
commit,6.0
commitment,12.0
commitmentto,1.0
committed,60.0
committee,3.0
commodo,4.0
common,84.0
commonest,1.0
commonly,21.0
communicate,8.0
communicating,2.0
communication,30.0
communications,33.0
communities,13.0
community,140.0
communitydid,1.0
communitywith,1.0
companies,12.0
company,5.0
companyspecificurlprefix,1.0
compare,5.0
compared,1.0
comparison,4.0
compassion,26.0
