,token,Total0,Total1,Total2,Total3
102,'lineitemkey,1.0,0.0,0.0,0.0
103,'lineitemkey',2.0,0.0,0.0,0.0
104,'link',1.0,0.0,0.0,0.0
105,'linkbuttoncontainer,12.0,0.0,0.0,0.0
106,'location,9.0,0.0,5.0,5.0
107,'log,13.0,0.0,0.0,0.0
108,'logout',1.0,0.0,0.0,0.0
109,'macau,1.0,0.0,0.0,0.0
110,'maincontent,6.0,0.0,0.0,0.0
111,'many,1.0,0.0,1.0,1.0
112,'marshall,2.0,0.0,0.0,0.0
113,'mazel,1.0,0.0,1.0,1.0
114,'merchant,3.0,0.0,0.0,0.0
115,'micronesia,1.0,0.0,0.0,0.0
116,'mobile,4.0,0.0,0.0,0.0
117,'multiplefieldscontainer,1.0,0.0,0.0,0.0
118,'mute',1.0,0.0,1.0,1.0
119,'my,1.0,0.0,1.0,1.0
120,'netherlands,1.0,0.0,0.0,0.0
121,'new,10.0,0.0,0.0,0.0
122,'new',1.0,0.0,0.0,0.0
123,'next',2.0,0.0,0.0,0.0
124,'no',2.0,0.0,0.0,0.0
125,'norfolk,1.0,0.0,0.0,0.0
126,'north,4.0,0.0,0.0,0.0
127,'northern,2.0,0.0,0.0,0.0
128,'of',8.0,0.0,8.0,8.0
129,'off',1.0,0.0,0.0,0.0
130,'on',55.0,0.0,0.0,0.0
131,'original,3.0,0.0,0.0,0.0
132,'palestinian,1.0,0.0,0.0,0.0
133,'paperless,3.0,0.0,0.0,0.0
134,'papua,1.0,0.0,0.0,0.0
135,'patient,5.0,0.0,0.0,0.0
136,'patientbirthdate',2.0,0.0,0.0,0.0
137,'patientcity',2.0,0.0,0.0,0.0
138,'patientcountry',2.0,0.0,0.0,0.0
139,'patiententityid,1.0,0.0,0.0,0.0
140,'patientfirstname',2.0,0.0,0.0,0.0
141,'patientid',2.0,0.0,0.0,0.0
142,'patientinvoicenumber',2.0,0.0,0.0,0.0
143,'patientlastname',2.0,0.0,0.0,0.0
144,'patientmiddlename',2.0,0.0,0.0,0.0
145,'patientphonenumber',2.0,0.0,0.0,0.0
146,'patientserviceenddate',2.0,0.0,0.0,0.0
147,'patientstate',2.0,0.0,0.0,0.0
148,'patientzip',2.0,0.0,0.0,0.0
149,'pay,14.0,0.0,0.0,0.0
150,'payment,13.0,0.0,0.0,0.0
151,'paymentdate',2.0,0.0,0.0,0.0
152,'pending,3.0,0.0,0.0,0.0
153,'pktransaction,2.0,0.0,0.0,0.0
154,'planned,7.0,0.0,0.0,0.0
155,'please,5.0,0.0,0.0,0.0
156,'previously,3.0,0.0,0.0,0.0
157,'privacy',12.0,0.0,0.0,0.0
158,'product,1.0,0.0,1.0,1.0
159,'provider,1.0,0.0,0.0,0.0
160,'puerto,2.0,0.0,0.0,0.0
161,'receiptnavigation,1.0,0.0,0.0,0.0
162,'recipient,1.0,0.0,1.0,1.0
163,'remove,4.0,0.0,0.0,0.0
164,'republic,1.0,0.0,0.0,0.0
165,'rhode,2.0,0.0,0.0,0.0
166,'right',36.0,0.0,0.0,0.0
167,'russian,1.0,0.0,0.0,0.0
168,'saint,5.0,0.0,0.0,0.0
169,'san,1.0,0.0,0.0,0.0
170,'sao,1.0,0.0,0.0,0.0
171,'saudi,1.0,0.0,0.0,0.0
172,'script,2.0,0.0,2.0,2.0
173,'script',1.0,0.0,0.0,0.0
174,'secondary,9.0,0.0,0.0,0.0
175,'select,5.0,0.0,4.0,4.0
176,'select',4.0,0.0,4.0,4.0
177,'send',1.0,0.0,0.0,0.0
178,'share,2.0,0.0,0.0,0.0
179,'sharereceipt,1.0,0.0,0.0,0.0
180,'sierra,1.0,0.0,0.0,0.0
181,'sign,1.0,0.0,0.0,0.0
182,'small,2.0,0.0,0.0,0.0
183,'solomon,1.0,0.0,0.0,0.0
184,'south,5.0,0.0,0.0,0.0
185,'spacer',140.0,0.0,0.0,0.0
186,'src',1.0,0.0,0.0,0.0
187,'sri,2.0,0.0,0.0,0.0
188,'statementid,1.0,0.0,0.0,0.0
189,'store,3.0,0.0,0.0,0.0
190,'string',6.0,0.0,0.0,0.0
191,'stylesheet',1.0,0.0,0.0,0.0
192,'svalbard,1.0,0.0,0.0,0.0
193,'syrian,1.0,0.0,0.0,0.0
194,'terminal,3.0,0.0,0.0,0.0
195,'terms',12.0,0.0,0.0,0.0
196,'textenrollphonenumber,1.0,0.0,0.0,0.0
197,'thank,1.0,0.0,1.0,1.0
198,'there,9.0,0.0,5.0,5.0
199,'thinking,1.0,0.0,1.0,1.0
200,'this,1.0,0.0,0.0,0.0
201,'to,2.0,0.0,0.0,0.0
202,'total,4.0,0.0,0.0,0.0
203,'totalamount,1.0,0.0,0.0,0.0
204,'transaction,6.0,0.0,0.0,0.0
205,'transactionaccountid,1.0,0.0,0.0,0.0
206,'transactionaction,1.0,0.0,0.0,0.0
207,'transactioncode',2.0,0.0,0.0,0.0
208,'transactiongroupid,1.0,0.0,0.0,0.0
209,'trinidad,1.0,0.0,0.0,0.0
210,'true',1.0,0.0,0.0,0.0
211,'turks,1.0,0.0,0.0,0.0
212,'united,6.0,0.0,0.0,0.0
213,'unmik,1.0,0.0,0.0,0.0
214,'update,1.0,0.0,0.0,0.0
215,'use,12.0,0.0,7.0,7.0
216,'validationsummary',1.0,0.0,0.0,0.0
217,'verify',2.0,0.0,0.0,0.0
218,'viet,1.0,0.0,0.0,0.0
219,'view,5.0,0.0,0.0,0.0
220,'virgin,2.0,0.0,0.0,0.0
221,'walletpatiententityid,1.0,0.0,0.0,0.0
222,'wallis,1.0,0.0,0.0,0.0
223,'west,2.0,0.0,0.0,0.0
224,'western,1.0,0.0,0.0,0.0
225,'what,1.0,0.0,0.0,0.0
226,'with,1.0,0.0,0.0,0.0
227,'yes',2.0,0.0,0.0,0.0
228,'your,2.0,0.0,0.0,0.0
229,aac,1.0,0.0,1.0,1.0
230,abigail,2.0,0.0,0.0,0.0
231,able,4.0,0.0,0.0,1.0
232,abortion,88.0,0.0,63.0,63.0
233,abortions,5.0,0.0,5.0,5.0
234,abortion”,1.0,0.0,1.0,1.0
235,about,56.0,0.0,45.0,42.0
236,above,3.0,0.0,2.0,2.0
237,abstinence,2.0,0.0,2.0,2.0
238,abuse,1.0,0.0,1.0,1.0
239,accept,8.0,0.0,3.0,3.0
240,acceptance,1.0,0.0,0.0,0.0
241,accepted,3.0,0.0,1.0,1.0
242,accepting,1.0,0.0,1.0,1.0
243,access,47.0,0.0,26.0,26.0
244,accessing,1.0,0.0,0.0,0.0
245,accessories,1.0,0.0,1.0,1.0
246,accordance,1.0,0.0,0.0,0.0
247,according,1.0,0.0,0.0,0.0
248,account,22.0,0.0,7.0,7.0
249,account',2.0,0.0,0.0,0.0
250,accountnum,1.0,0.0,0.0,0.0
251,accounttoggle,1.0,0.0,1.0,1.0
252,accounttype,2.0,0.0,0.0,0.0
253,accounttypecmp,2.0,0.0,0.0,0.0
254,accuracy,1.0,0.0,1.0,1.0
255,accurate,9.0,0.0,5.0,5.0
256,ach,2.0,0.0,1.0,1.0
257,acknowledge,5.0,0.0,0.0,0.0
258,across,4.0,0.0,3.0,3.0
259,act,7.0,0.0,2.0,2.0
260,acting,1.0,0.0,0.0,0.0
261,action,23.0,0.0,22.0,22.0
262,actions,1.0,0.0,1.0,1.0
263,actiontag,1.0,0.0,1.0,1.0
264,activate,1.0,0.0,0.0,0.0
265,active,1.0,0.0,1.0,1.0
266,activists,2.0,0.0,2.0,2.0
267,activity,5.0,0.0,5.0,5.0
268,actually,1.0,0.0,1.0,1.0
269,add,17.0,0.0,15.0,15.0
270,addednodes,1.0,0.0,0.0,0.0
271,additional,13.0,0.0,9.0,9.0
272,addms,1.0,0.0,1.0,1.0
273,address,12.0,0.0,5.0,5.0
274,addresses,1.0,0.0,1.0,1.0
275,adds,5.0,0.0,5.0,5.0
276,adhere,1.0,0.0,1.0,1.0
277,adjusted,0.0,0.0,0.0,1.0
278,adjustments,1.0,0.0,0.0,0.0
279,administration,0.0,0.0,1.0,1.0
280,administrationnew,1.0,0.0,1.0,1.0
281,ads,2.0,0.0,2.0,2.0
282,advance,3.0,0.0,2.0,2.0
283,advanced,1.0,0.0,1.0,1.0
284,advances,1.0,0.0,1.0,1.0
285,advancing,2.0,0.0,2.0,2.0
286,advice,1.0,0.0,0.0,0.0
287,advocacy,13.0,0.0,13.0,13.0
288,advocate,1.0,0.0,1.0,1.0
289,advocates,1.0,0.0,1.0,1.0
290,aetna,7.0,0.0,1.0,1.0
291,aff,3.0,0.0,3.0,3.0
292,affecting,1.0,0.0,0.0,0.0
293,affilate,2.0,0.0,2.0,2.0
294,affiliate,17.0,0.0,13.0,13.0
295,affiliatecode,2.0,0.0,2.0,2.0
296,affiliatecodelocation,1.0,0.0,1.0,1.0
297,affiliated,1.0,0.0,0.0,0.0
298,affiliateid,4.0,0.0,4.0,4.0
299,affiliates,1.0,0.0,0.0,0.0
300,affiliation,1.0,0.0,1.0,1.0
301,affirming,3.0,0.0,2.0,2.0
302,affirms,1.0,0.0,0.0,0.0
303,afford,1.0,0.0,0.0,0.0
304,affordable,9.0,0.0,9.0,9.0
305,africa,1.0,0.0,1.0,1.0
306,african,3.0,0.0,2.0,2.0
307,after,19.0,0.0,11.0,11.0
308,again,5.0,0.0,2.0,2.0
309,against,2.0,0.0,2.0,2.0
310,age,22.0,0.0,14.0,14.0
311,agent,11.0,0.0,6.0,6.0
312,agents,1.0,0.0,0.0,0.0
313,ago,41.0,0.0,41.0,41.0
314,agree,9.0,0.0,1.0,1.0
315,agreement,3.0,0.0,0.0,0.0
316,ahead,2.0,0.0,0.0,0.0
317,airport,0.0,0.0,0.0,12.0
318,alaska,7.0,0.0,1.0,1.0
319,alerts,4.0,0.0,2.0,2.0
320,align,1.0,0.0,0.0,0.0
321,all,76.0,0.0,33.0,32.0
322,alliance,2.0,0.0,1.0,1.0
323,allow,1.0,0.0,1.0,1.0
324,allowable,12.0,0.0,7.0,7.0
325,allows,4.0,0.0,3.0,3.0
326,aloha,1.0,0.0,0.0,0.0
327,already,2.0,0.0,1.0,1.0
328,also,16.0,0.0,10.0,9.0
329,always,9.0,0.0,8.0,8.0
330,ama,1.0,0.0,1.0,1.0
331,amazing,1.0,0.0,1.0,1.0
332,ambetter,2.0,0.0,0.0,0.0
333,america,6.0,0.0,6.0,6.0
334,america's,2.0,0.0,2.0,2.0
335,american,2.0,0.0,2.0,2.0
336,america’s,0.0,0.0,1.0,1.0
337,amnt,3.0,0.0,0.0,0.0
338,among,1.0,0.0,1.0,1.0
339,amount,14.0,0.0,5.0,5.0
340,amounts,1.0,0.0,0.0,0.0
341,amountval,5.0,0.0,0.0,0.0
342,amt,1.0,0.0,0.0,0.0
343,analystnyc,1.0,0.0,1.0,1.0
344,analytics,2.0,0.0,2.0,2.0
345,anatomy,2.0,0.0,2.0,2.0
346,anchorage,3.0,0.0,0.0,0.0
347,androiddata,1.0,0.0,0.0,0.0
348,androidkey,3.0,0.0,0.0,0.0
349,angle,2.0,0.0,0.0,0.0
350,anillo,2.0,0.0,2.0,2.0
351,annual,10.0,0.0,4.0,4.0
352,anonymous,2.0,0.0,2.0,2.0
353,answer,3.0,0.0,2.0,2.0
354,answering,2.0,0.0,2.0,2.0
355,answers,5.0,0.0,4.0,4.0
356,anthem,4.0,0.0,0.0,0.0
357,anticipated,1.0,0.0,1.0,1.0
358,anticonceptivo,1.0,0.0,1.0,1.0
359,any,45.0,0.0,17.0,17.0
360,anything,2.0,0.0,1.0,1.0
361,anytime,4.0,0.0,1.0,1.0
362,anywhere,1.0,0.0,0.0,0.0
363,apauth,2.0,0.0,0.0,0.0
364,apcheckbox,2.0,0.0,0.0,0.0
365,apcontrol,2.0,0.0,0.0,0.0
366,api,1.0,0.0,1.0,1.0
367,app,10.0,0.0,7.0,7.0
368,apparel,1.0,0.0,1.0,1.0
369,appear,2.0,0.0,2.0,2.0
370,appends,2.0,0.0,2.0,2.0
371,applepaysupported,1.0,0.0,0.0,0.0
372,applicable,6.0,0.0,1.0,1.0
373,applicant,1.0,0.0,1.0,1.0
374,applies,2.0,0.0,0.0,0.0
375,apply,3.0,0.0,1.0,1.0
376,appointment,25.0,0.0,13.0,13.0
377,appointments,4.0,0.0,2.0,2.0
378,apps,1.0,0.0,0.0,0.0
379,arab,4.0,0.0,2.0,2.0
380,archived,1.0,0.0,1.0,1.0
381,area,1.0,0.0,0.0,0.0
382,arising,1.0,0.0,0.0,0.0
383,arm,3.0,0.0,3.0,3.0
384,arrange,1.0,0.0,0.0,0.0
385,arrangements,1.0,0.0,1.0,1.0
386,array,5.0,0.0,5.0,5.0
387,arrow,6.0,0.0,6.0,6.0
388,art,1.0,0.0,1.0,1.0
389,ask,8.0,0.0,5.0,5.0
390,asked,6.0,0.0,5.0,5.0
391,assault,6.0,0.0,6.0,6.0
392,assignees,1.0,0.0,0.0,0.0
393,assistance,4.0,0.0,2.0,2.0
394,assoc,2.0,0.0,2.0,2.0
395,associated,2.0,0.0,0.0,0.0
396,association,4.0,0.0,0.0,0.0
397,assume,1.0,0.0,0.0,0.0
398,assurance,1.0,0.0,0.0,0.0
399,assured,1.0,0.0,1.0,1.0
400,atlantic,5.0,0.0,5.0,5.0
401,attack,2.0,0.0,2.0,2.0
402,attacks,9.0,0.0,9.0,9.0
403,attempt,1.0,0.0,0.0,0.0
404,attention,1.0,0.0,0.0,0.0
405,attorneynyc,1.0,0.0,1.0,1.0
406,attributefilter,1.0,0.0,1.0,1.0
407,attributename,1.0,0.0,0.0,0.0
408,attributes,1.0,0.0,1.0,1.0
409,auth,2.0,0.0,2.0,2.0
410,authority,1.0,0.0,0.0,0.0
411,authorization,8.0,0.0,0.0,0.0
412,authorize,4.0,0.0,0.0,0.0
413,authorized,3.0,0.0,0.0,0.0
414,auto,2.0,0.0,2.0,2.0
415,autofocus,1.0,0.0,1.0,1.0
416,automated,1.0,0.0,0.0,0.0
417,automatic,10.0,0.0,2.0,2.0
418,automatically,4.0,0.0,0.0,0.0
419,autopopulate,9.0,0.0,5.0,5.0
420,available,17.0,0.0,10.0,10.0
421,away,0.0,0.0,1.0,0.0
422,ayudarte,1.0,0.0,1.0,1.0
423,back,24.0,0.0,12.0,12.0
424,background,25.0,0.0,25.0,25.0
425,backslash,2.0,0.0,0.0,0.0
426,bad,2.0,0.0,2.0,2.0
427,badword,3.0,0.0,3.0,3.0
428,badwordfilter,1.0,0.0,1.0,1.0
429,badwords,1.0,0.0,1.0,1.0
430,balance,2.0,0.0,0.0,0.0
431,balances,1.0,0.0,0.0,0.0
432,ban,3.0,0.0,3.0,3.0
433,bank,5.0,0.0,2.0,2.0
434,bans,15.0,0.0,15.0,15.0
435,basados,2.0,0.0,2.0,2.0
436,based,2.0,0.0,2.0,2.0
437,basic,4.0,0.0,4.0,4.0
438,basics,1.0,0.0,0.0,0.0
439,basis,6.0,0.0,1.0,1.0
440,basta,1.0,0.0,1.0,1.0
441,because,8.0,0.0,4.0,3.0
442,become,3.0,0.0,3.0,3.0
443,becomes,2.0,0.0,2.0,2.0
444,been,9.0,0.0,4.0,4.0
445,before,8.0,0.0,4.0,4.0
446,being,5.0,0.0,2.0,2.0
447,belongs,1.0,0.0,0.0,0.0
448,below,5.0,0.0,3.0,4.0
449,benefit,1.0,0.0,0.0,0.0
450,benefits,2.0,0.0,1.0,1.0
451,best,4.0,0.0,2.0,2.0
452,better,1.0,0.0,0.0,0.0
453,between,2.0,0.0,1.0,1.0
454,bill,8.0,0.0,5.0,3.0
455,bills,1.0,0.0,1.0,1.0
456,bin,2.0,0.0,0.0,0.0
457,bind,1.0,0.0,1.0,1.0
458,biopsy,0.0,0.0,1.0,1.0
459,birth,50.0,0.0,32.0,31.0
460,black,1.0,0.0,1.0,1.0
461,block,5.0,0.0,5.0,5.0
462,blockaction,2.0,0.0,0.0,0.0
463,blog,18.0,0.0,13.0,13.0
464,blood,1.0,0.0,1.0,1.0
465,blue,23.0,0.0,0.0,0.0
466,bluegrass,1.0,0.0,0.0,0.0
467,blur,1.0,0.0,1.0,1.0
468,bodies,12.0,0.0,12.0,12.0
469,body,3.0,0.0,2.0,2.0
470,bogus,1.0,0.0,1.0,1.0
471,book,15.0,0.0,9.0,9.0
472,both,4.0,0.0,3.0,3.0
473,bothinfo,1.0,0.0,1.0,1.0
474,bottom,1.0,0.0,1.0,1.0
475,bound,1.0,0.0,0.0,0.0
476,box,2.0,0.0,2.0,2.0
477,brand,2.0,0.0,1.0,1.0
478,breaking,1.0,0.0,1.0,1.0
479,breast,1.0,0.0,0.0,0.0
480,bring,1.0,0.0,2.0,0.0
481,brings,2.0,0.0,2.0,2.0
482,browser,4.0,0.0,1.0,1.0
483,browsername,1.0,0.0,0.0,0.0
484,browserversion,1.0,0.0,0.0,0.0
485,btn,13.0,0.0,0.0,0.0
486,bucket,1.0,0.0,1.0,1.0
487,budget,1.0,0.0,1.0,1.0
488,business,4.0,0.0,0.0,0.0
489,but,8.0,0.0,1.0,1.0
490,button,9.0,0.0,9.0,9.0
491,buttons,4.0,0.0,4.0,4.0
492,buttonsubmit,9.0,0.0,5.0,5.0
493,cada,2.0,0.0,2.0,2.0
494,caicos,3.0,0.0,2.0,2.0
495,call,42.0,0.0,21.0,20.0
496,calling,5.0,0.0,0.0,0.0
497,camera,1.0,0.0,0.0,0.0
498,campaigns,8.0,0.0,8.0,8.0
499,campaignsapplynational,1.0,0.0,1.0,1.0
500,campaignshybridpublic,1.0,0.0,1.0,1.0
501,campaignspublic,1.0,0.0,1.0,1.0
502,can,76.0,0.0,46.0,45.0
503,can't,3.0,0.0,2.0,2.0
504,cancel,2.0,0.0,0.0,0.0
505,cancer,6.0,0.0,5.0,5.0
506,candidates,1.0,0.0,1.0,1.0
507,cannot,2.0,0.0,2.0,2.0
508,can’t,1.0,0.0,1.0,1.0
509,capacity,2.0,0.0,1.0,1.0
510,captions,2.0,0.0,2.0,2.0
511,capuchón,2.0,0.0,2.0,2.0
512,card,17.0,0.0,11.0,10.0
513,cardnumber,2.0,0.0,0.0,0.0
514,cards,4.0,0.0,4.0,4.0
515,cardtype,11.0,0.0,0.0,0.0
516,cardtypevalue,4.0,0.0,0.0,0.0
517,care,128.0,0.0,76.0,75.0
518,carefully,1.0,0.0,0.0,0.0
519,caregiver's,1.0,0.0,1.0,1.0
520,caresource,3.0,0.0,0.0,0.0
521,carrier,1.0,0.0,0.0,0.0
522,cart,11.0,0.0,11.0,11.0
523,case,4.0,0.0,4.0,4.0
524,cash,1.0,0.0,0.0,0.0
525,cat's,1.0,0.0,1.0,1.0
526,catch,2.0,0.0,2.0,2.0
527,categories,1.0,0.0,1.0,1.0
528,cccontainer,5.0,0.0,0.0,0.0
529,cctext,1.0,0.0,1.0,1.0
530,cell,1.0,0.0,0.0,0.0
531,center,42.0,0.0,26.0,24.0
532,center's,1.0,0.0,1.0,1.0
533,centered,1.0,0.0,1.0,1.0
534,centers,8.0,0.0,4.0,4.0
535,central,6.0,0.0,6.0,6.0
536,certain,4.0,0.0,0.0,0.0
537,certificate,1.0,0.0,0.0,0.0
538,certify,1.0,0.0,0.0,0.0
539,cervical,1.0,0.0,1.0,1.0
540,change,15.0,0.0,10.0,10.0
541,changed,2.0,0.0,1.0,1.0
542,changes,2.0,0.0,1.0,1.0
543,channel,4.0,0.0,4.0,4.0
544,charge,3.0,0.0,0.0,0.0
545,charged,3.0,0.0,0.0,0.0
546,charges,3.0,0.0,1.0,1.0
547,chars,1.0,0.0,0.0,0.0
548,chat,6.0,0.0,0.0,0.0
549,chatbot,3.0,0.0,3.0,3.0
550,check,11.0,0.0,9.0,9.0
551,checkbox,10.0,0.0,10.0,10.0
552,checkboxes,5.0,0.0,5.0,5.0
553,checkcontainer,5.0,0.0,0.0,0.0
554,checked,2.0,0.0,2.0,2.0
555,checkingaccounttype,2.0,0.0,0.0,0.0
556,chief,12.0,0.0,12.0,12.0
557,chirp,1.0,0.0,1.0,1.0
558,chlamydia,1.0,0.0,1.0,1.0
559,choice,0.0,0.0,1.0,1.0
560,choose,53.0,0.0,51.0,51.0
561,choosing,2.0,0.0,2.0,2.0
562,christmas,1.0,0.0,1.0,1.0
563,cigna,7.0,0.0,1.0,1.0
564,circle,8.0,0.0,8.0,8.0
565,city,10.0,0.0,5.0,5.0
566,civil,6.0,0.0,1.0,1.0
567,claim,1.0,0.0,0.0,0.0
568,class,15.0,0.0,4.0,4.0
569,classes,2.0,0.0,2.0,2.0
570,clean,3.0,0.0,3.0,3.0
571,cleanbadfirstname,1.0,0.0,1.0,1.0
572,cleanbadlastname,1.0,0.0,1.0,1.0
573,cleanbadword,1.0,0.0,1.0,1.0
574,clearing,1.0,0.0,0.0,0.0
575,click,3.0,0.0,1.0,1.0
576,clicking,10.0,0.0,5.0,5.0
577,clicks,1.0,0.0,1.0,1.0
578,client,1.0,0.0,1.0,1.0
579,clientid,1.0,0.0,1.0,1.0
580,clinic,5.0,0.0,5.0,6.0
581,clinical,10.0,0.0,1.0,1.0
582,clinician,9.0,0.0,0.0,0.0
583,clinicians,2.0,0.0,0.0,0.0
584,close,2.0,0.0,2.0,1.0
585,closed,7.0,0.0,10.0,9.0
586,closely,1.0,0.0,1.0,1.0
587,cmp,10.0,0.0,0.0,0.0
588,cmpform,4.0,0.0,0.0,0.0
589,coast,3.0,0.0,3.0,3.0
590,code,22.0,0.0,18.0,18.0
591,codes,4.0,0.0,4.0,4.0
592,coitus,2.0,0.0,2.0,2.0
593,collection,1.0,0.0,1.0,1.0
594,color,20.0,0.0,20.0,20.0
595,colorsobject,1.0,0.0,0.0,0.0
596,columbia,3.0,0.0,3.0,3.0
597,come,9.0,0.0,4.0,4.0
598,comes,2.0,0.0,2.0,2.0
599,comfort,1.0,0.0,0.0,0.0
600,coming,2.0,0.0,2.0,2.0
601,commented,2.0,0.0,0.0,0.0
602,comments,2.0,0.0,2.0,2.0
603,commerce,1.0,0.0,0.0,0.0
604,commitment,3.0,0.0,2.0,2.0
605,committed,2.0,0.0,1.0,1.0
606,committee,2.0,0.0,2.0,2.0
607,committees,1.0,0.0,1.0,1.0
608,common,2.0,0.0,2.0,2.0
609,communication,6.0,0.0,0.0,0.0
610,communicationen,1.0,0.0,1.0,1.0
611,communications,27.0,0.0,3.0,3.0
612,communities,3.0,0.0,2.0,2.0
613,community,4.0,0.0,1.0,1.0
614,company,2.0,0.0,1.0,1.0
615,compare,2.0,0.0,2.0,2.0
616,compass,1.0,0.0,0.0,0.0
617,compassionate,1.0,0.0,0.0,0.0
618,complete,3.0,0.0,1.0,1.0
619,completely,1.0,0.0,0.0,0.0
620,compliance,1.0,0.0,1.0,1.0
621,complies,6.0,0.0,1.0,1.0
622,comply,1.0,0.0,0.0,0.0
623,components,1.0,0.0,1.0,1.0
624,computer,3.0,0.0,0.0,0.0
625,concerned,0.0,0.0,3.0,0.0
626,concerns,1.0,0.0,0.0,0.0
627,conditions,2.0,0.0,0.0,0.0
628,condolences,1.0,0.0,1.0,1.0
629,condom,7.0,0.0,7.0,7.0
