,token,Total0,Total1,Total2,Total3,Total4,Total5,Total6,Total7
31,able,0.0,0.0,0.0,1.0,0.0,56.0,0.0,3.0
32,abort,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
33,abortion,0.0,0.0,24.0,47.0,17.0,141.0,21.0,27.0
34,abortionhaving,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,abortionif,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36,abortionlearn,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37,abortions,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
38,abortive,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39,about,2.0,0.0,23.0,65.0,7.0,79.0,10.0,49.0
40,above,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0
41,absolute,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
42,absolutely,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,abundant,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
44,abuse,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45,accept,0.0,0.0,0.0,1.0,0.0,32.0,0.0,5.0
46,acceptallbutton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
47,acceptalllink,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,acceptbannerfptidata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
49,accepted,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0
50,accepting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,accepts,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
52,access,0.0,0.0,0.0,55.0,0.0,1.0,2.0,5.0
53,accessable,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
54,accessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,accessibility,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
56,accessibilityada,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
57,accessible,0.0,0.0,0.0,1.0,0.0,8.0,0.0,2.0
58,accessing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
59,accommodate,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
60,accomplished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
61,accordance,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62,account,0.0,0.0,0.0,0.0,0.0,3.0,1.0,71.0
63,accounting,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
64,accounts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65,accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
66,accurate,0.0,0.0,0.0,23.0,1.0,1.0,2.0,14.0
67,ach,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
68,achieving,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
69,acknowledge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
70,acog,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
71,acquiring,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
72,acronym,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
73,act,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
74,action,0.0,0.0,1.0,11.0,0.0,32.0,0.0,1.0
75,activate,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
76,active,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
77,activeelement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78,activities,0.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0
79,acts,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
80,ada,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
81,adamerica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
82,adcreate,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
83,add,0.0,0.0,0.0,44.0,0.0,0.0,0.0,6.0
84,addbreadcrumb,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
85,added,0.0,0.0,0.0,0.0,0.0,16.0,1.0,4.0
86,adding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
87,addition,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
88,additional,0.0,0.0,0.0,11.0,1.0,8.0,0.0,7.0
89,address,0.0,0.0,1.0,5.0,2.0,21.0,3.0,34.0
90,addressed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
91,addresses,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92,addtional,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
93,adhere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
94,adjust,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
95,adjusting,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
96,admin,0.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0
97,administer,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
98,administrative,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
99,adoption,0.0,0.0,21.0,6.0,0.0,0.0,0.0,8.0
100,adoptionadoption,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
101,adoptions,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102,adoptive,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
103,ads,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
104,adult,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
105,advance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
106,advanced,0.0,0.0,0.0,44.0,3.0,0.0,3.0,0.0
107,advertising,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
108,advice,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
109,advise,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
110,advised,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
111,advisory,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
112,advocacy,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
113,advocate,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
114,advocates,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
115,aed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
116,affected,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
117,affects,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
118,affiliate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
119,affiliated,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
120,affiliates,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
121,affiliation,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
122,affirming,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
123,afghani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
124,afghanis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
125,afraid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
126,african,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
127,after,0.0,0.0,1.0,57.0,1.0,25.0,1.0,4.0
128,again,0.0,0.0,0.0,0.0,0.0,48.0,0.0,16.0
129,against,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
130,age,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
131,agency,0.0,0.0,0.0,1.0,0.0,18.0,0.0,1.0
132,agent,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
133,ages,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
134,aggregate,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
135,agree,0.0,0.0,0.0,5.0,0.0,0.0,0.0,24.0
136,agreed,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
137,agreeing,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
138,agreement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
139,ahead,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0
140,aid,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0
141,aidmental,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
142,alerts,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
143,alertssnow,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
144,all,1.0,0.0,120.0,199.0,11.0,141.0,21.0,208.0
145,allnewsshoppingimages,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
146,allow,0.0,0.0,0.0,36.0,0.0,113.0,0.0,8.0
147,allowed,0.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0
148,allowing,0.0,0.0,0.0,22.0,1.0,1.0,1.0,0.0
149,allows,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
150,almost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
151,alone,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
152,along,0.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0
153,already,0.0,0.0,0.0,13.0,0.0,2.0,0.0,6.0
154,also,0.0,0.0,0.0,23.0,0.0,55.0,0.0,10.0
155,alter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
156,alternate,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
157,alternative,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
158,alternatives,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
159,although,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
160,always,0.0,0.0,0.0,22.0,1.0,33.0,0.0,1.0
161,amazon,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
162,amend,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
163,amendment,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
164,american,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
165,amount,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0
166,analysis,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
167,analytics,0.0,0.0,0.0,22.0,0.0,160.0,0.0,0.0
168,analytics',0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
169,anger,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
170,annual,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
171,annually,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
172,anonymous,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
173,another,0.0,0.0,1.0,25.0,0.0,2.0,1.0,4.0
174,answer,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0
175,answers,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
176,answers…,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
177,antillean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
178,anxiety,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
179,anxious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
180,any,0.0,0.0,4.0,60.0,2.0,32.0,4.0,57.0
181,anybody,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
182,anyone,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
183,anything,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
184,anytime,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0
185,apis,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
186,aplos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
187,apologize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
188,app,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
189,appearance,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
190,appending,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
191,applicable,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
192,application,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
193,applied,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194,applies,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0
195,apply,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0
196,appointment,2.0,0.0,10.0,17.0,0.0,42.0,0.0,39.0
197,appointmentcall,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
198,appointmentfirst,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
199,appointments,0.0,0.0,0.0,11.0,1.0,1.0,0.0,1.0
200,appropriate,0.0,0.0,2.0,4.0,0.0,2.0,0.0,1.0
201,appropriateness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
202,approval,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
203,approximately,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
204,apps,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
205,apptransit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
206,apr,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
207,arab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
208,arches,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0
209,area,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
210,aren't,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
211,aren’t,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
212,args,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
213,arise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
214,arising,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
215,armed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
216,around,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
217,arrange,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
218,array,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
219,arrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
220,arrows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
221,arrwithtrailingcomma,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
222,article,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
223,ask,0.0,0.0,0.0,7.0,0.0,3.0,0.0,6.0
224,asked,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
225,asking,0.0,0.0,0.0,1.0,0.0,16.0,0.0,2.0
226,asks,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
227,aspect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
228,aspects,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
229,assess,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
230,assessment,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
231,assist,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0
232,assistance,0.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0
233,assisting,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
234,associated,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0
235,associates,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
236,assume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
237,async,0.0,0.0,0.0,11.0,0.0,16.0,0.0,0.0
238,atmosphere,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
239,attachments,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
240,attempt,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
241,attempts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
242,attend,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
243,attending,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
244,attorneys’,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
245,attractions,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
246,attribute,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
247,audiences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
248,audited,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
249,aug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
250,august,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
251,authentication,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
252,author,0.0,0.0,9.0,22.0,0.0,0.0,0.0,13.0
253,authorities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
254,authority,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0
255,authorization,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
256,authorizations,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
257,authorize,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
258,authorized,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0
259,authors,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
260,auto,1.0,0.0,63.0,2.0,2.0,96.0,11.0,106.0
261,automatically,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
262,autonomous,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
263,available,0.0,0.0,3.0,5.0,1.0,23.0,3.0,2.0
264,average,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
265,avert,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
266,aviacookierefused,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0
267,aviaprivacycookieconsent,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
268,avoid,0.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0
269,avoidance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
270,await,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
271,award,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
272,awards,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
273,aware,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
274,awareness,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
275,babies,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
276,baby,0.0,0.0,3.0,6.0,2.0,2.0,4.0,1.0
277,baby's,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
278,back,0.0,0.0,9.0,22.0,4.0,3.0,4.0,8.0
279,backfadesin,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,bank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
281,banking,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
282,banner,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
283,bannerbottomheight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
284,bannerclosebutton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
285,bannerdeclinebutton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
286,bannerdeclinedata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
287,bannerfptidata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
288,bannerheight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
289,bannerpaddingbottom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
290,banquet,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
291,bar,0.0,0.0,0.0,22.0,0.0,32.0,0.0,0.0
292,base,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
293,based,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0
294,beautifully,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
295,beauty,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
296,because,0.0,0.0,1.0,2.0,0.0,35.0,0.0,3.0
297,become,0.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0
298,becoming,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0
299,been,0.0,0.0,3.0,6.0,4.0,20.0,6.0,10.0
300,before,0.0,0.0,0.0,49.0,0.0,13.0,0.0,5.0
301,began,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
302,begin,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0
303,beginning,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
304,begins,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
305,behalf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
306,being,0.0,0.0,0.0,22.0,0.0,17.0,1.0,0.0
307,beliefs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
308,believe,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0
309,belongs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
310,below,0.0,0.0,9.0,0.0,0.0,2.0,2.0,13.0
311,benefit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
312,benefits,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
313,best,0.0,0.0,1.0,2.0,0.0,9.0,0.0,8.0
314,better,0.0,0.0,0.0,24.0,0.0,16.0,0.0,3.0
315,between,0.0,0.0,0.0,1.0,0.0,15.0,0.0,1.0
316,beyond,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
317,bike,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
318,bikes,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
319,bill,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
320,billing,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0
321,bindgdprevents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
322,birth,0.0,0.0,9.0,0.0,0.0,0.0,0.0,18.0
323,birthparents,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
324,births,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
325,biweekly,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
326,blank,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
327,block,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0
328,blocked,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
329,blocking,0.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0
330,blockquote,5.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0
331,blog,0.0,0.0,9.0,0.0,2.0,0.0,1.0,31.0
332,blogging,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
333,blogs,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
334,board,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0
335,boarding,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
336,body,0.0,0.0,0.0,0.0,0.0,49.0,6.0,0.0
337,bodycacheable,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
338,bodypaddingbottom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
339,boliviano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
340,bolivianos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
341,bolívar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
342,bolívars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
343,bonding,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
344,bonus,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
345,books,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
346,bookstore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
347,border,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
348,both,0.0,0.0,0.0,2.0,0.0,5.0,0.0,3.0
349,bottle,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0
350,bounceindown,0.0,0.0,0.0,0.0,8.0,4.0,12.0,0.0
351,bounceoutup,0.0,0.0,0.0,0.0,8.0,4.0,12.0,0.0
352,bound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
353,boutique,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
354,box,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0
355,boyfriend,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
356,brand,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
357,breach,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
358,breaches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
359,breast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
360,breasts,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
361,breasts–,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
362,brigham,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
363,brings,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
364,broad,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
365,broken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
366,browse,0.0,0.0,0.0,1.0,0.0,16.0,0.0,2.0
