,token,Total0,Total1,Total2,Total3,Total4,Total5,Total6
64,'nv',0.0,1.0,0.0,0.0,0.0,0.0,0.0
65,'ny',0.0,1.0,0.0,0.0,0.0,0.0,0.0
66,'of',0.0,8.0,0.0,0.0,0.0,8.0,0.0
67,'oh',0.0,1.0,0.0,0.0,0.0,0.0,0.0
68,'ok',0.0,1.0,0.0,0.0,0.0,0.0,0.0
69,'on,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,'option',0.0,4.0,0.0,0.0,0.0,0.0,0.0
71,'or',0.0,1.0,0.0,0.0,0.0,0.0,0.0
72,'pa',0.0,1.0,0.0,0.0,0.0,0.0,0.0
73,'product,0.0,0.0,1.0,0.0,0.0,0.0,1.0
74,'recipient,0.0,2.0,1.0,0.0,0.0,0.0,1.0
75,'red,0.0,0.0,0.0,0.0,2.0,0.0,0.0
76,'regular,0.0,0.0,0.0,0.0,2.0,0.0,0.0
77,'reversal',1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,'rhode,0.0,1.0,0.0,0.0,0.0,0.0,0.0
79,'ri',0.0,1.0,0.0,0.0,0.0,0.0,0.0
80,'roboto,0.0,0.0,0.0,0.0,0.0,18.0,0.0
81,'sc',0.0,1.0,0.0,0.0,0.0,0.0,0.0
82,'screen,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83,'script,0.0,5.0,2.0,0.0,0.0,0.0,2.0
84,'sd',0.0,1.0,0.0,0.0,0.0,0.0,0.0
85,'select,0.0,4.0,4.0,0.0,0.0,0.0,4.0
86,'select',0.0,4.0,4.0,0.0,0.0,0.0,4.0
87,'severe',0.0,0.0,0.0,0.0,2.0,0.0,0.0
88,'south,0.0,2.0,0.0,0.0,0.0,0.0,0.0
89,'text,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90,'thank,0.0,2.0,1.0,0.0,0.0,0.0,1.0
91,'the,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,'there,0.0,15.0,4.0,0.0,0.0,0.0,4.0
93,'thinking,0.0,2.0,1.0,0.0,0.0,0.0,1.0
94,'tn',0.0,1.0,0.0,0.0,0.0,0.0,0.0
95,'tracklink',0.0,2.0,0.0,0.0,0.0,0.0,0.0
96,'true',0.0,0.0,0.0,0.0,1.0,0.0,0.0
97,'tx',0.0,1.0,0.0,0.0,0.0,0.0,0.0
98,'use,0.0,15.0,6.0,0.0,0.0,0.0,6.0
99,'ut',0.0,1.0,0.0,0.0,0.0,0.0,0.0
100,'va',0.0,1.0,0.0,0.0,0.0,0.0,0.0
101,'virtual',0.0,109.0,0.0,0.0,0.0,0.0,0.0
102,'vt',0.0,1.0,0.0,0.0,0.0,0.0,0.0
103,'wa',0.0,1.0,0.0,0.0,0.0,0.0,0.0
104,'west,0.0,1.0,0.0,0.0,0.0,0.0,0.0
105,'wi',0.0,1.0,0.0,0.0,0.0,0.0,0.0
106,'wv',0.0,1.0,0.0,0.0,0.0,0.0,0.0
107,'wy',0.0,1.0,0.0,0.0,0.0,0.0,0.0
108,'x',0.0,4.0,0.0,0.0,0.0,0.0,0.0
109,abc,4.0,1.0,0.0,0.0,0.0,0.0,0.0
110,abide,0.0,0.0,0.0,0.0,0.0,1.0,0.0
111,abiding,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112,ability,5.0,6.0,0.0,0.0,0.0,3.0,0.0
113,able,4.0,73.0,0.0,0.0,0.0,4.0,0.0
114,abortion,288.0,161.0,59.0,0.0,17.0,1.0,59.0
115,abortions,27.0,13.0,6.0,0.0,3.0,0.0,6.0
116,abortion”,0.0,0.0,1.0,0.0,0.0,0.0,1.0
117,abortus,1.0,0.0,0.0,0.0,0.0,0.0,0.0
118,about,46.0,437.0,44.0,0.0,21.0,31.0,44.0
119,above,0.0,40.0,2.0,0.0,5.0,2.0,2.0
120,abovemembers,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121,absolute,0.0,1.0,0.0,0.0,1.0,0.0,0.0
122,absolutely,0.0,2.0,0.0,0.0,0.0,0.0,0.0
123,abstinence,0.0,4.0,2.0,0.0,0.0,0.0,2.0
124,abstract,0.0,0.0,0.0,0.0,0.0,1.0,0.0
125,abuse,1.0,2.0,1.0,0.0,0.0,1.0,1.0
126,accept,12.0,4.0,1.0,0.0,1.0,4.0,1.0
127,acceptance,0.0,0.0,0.0,0.0,0.0,1.0,0.0
128,accepted,0.0,1.0,0.0,0.0,0.0,0.0,0.0
129,accepting,2.0,0.0,0.0,0.0,0.0,2.0,0.0
130,accepts,0.0,1.0,0.0,0.0,0.0,0.0,0.0
131,access,34.0,67.0,26.0,0.0,4.0,36.0,26.0
132,accessed,0.0,2.0,0.0,0.0,0.0,0.0,0.0
133,accessibility,0.0,0.0,0.0,0.0,1.0,0.0,0.0
134,accessibilitywe,0.0,0.0,0.0,0.0,1.0,0.0,0.0
135,accessible,1.0,3.0,0.0,0.0,0.0,4.0,0.0
136,accessing,1.0,5.0,1.0,0.0,0.0,3.0,1.0
137,accessories,0.0,0.0,1.0,0.0,0.0,0.0,1.0
138,accident,0.0,1.0,0.0,0.0,0.0,0.0,0.0
139,accidental,0.0,65.0,0.0,0.0,0.0,0.0,0.0
140,accommodate,0.0,2.0,0.0,0.0,0.0,0.0,0.0
141,accommodation,2.0,0.0,0.0,0.0,0.0,0.0,0.0
142,accordance,0.0,5.0,1.0,0.0,0.0,2.0,1.0
143,according,1.0,0.0,0.0,0.0,1.0,0.0,0.0
144,accordingly,0.0,3.0,0.0,0.0,0.0,0.0,0.0
145,account,0.0,11.0,7.0,0.0,4.0,27.0,7.0
146,accountability,0.0,1.0,0.0,0.0,0.0,1.0,0.0
147,accounting,0.0,1.0,0.0,0.0,0.0,1.0,0.0
148,accounts,0.0,2.0,0.0,0.0,0.0,2.0,0.0
149,accounttoggle,0.0,0.0,1.0,0.0,0.0,0.0,1.0
150,accreditation,0.0,1.0,0.0,0.0,0.0,0.0,0.0
151,accrued,0.0,2.0,0.0,0.0,0.0,0.0,0.0
152,accuracy,0.0,3.0,0.0,0.0,0.0,1.0,0.0
153,accurate,0.0,16.0,3.0,0.0,0.0,0.0,3.0
154,accurately,0.0,0.0,0.0,0.0,1.0,0.0,0.0
155,ach,0.0,2.0,1.0,0.0,0.0,0.0,1.0
156,achievement,0.0,0.0,0.0,0.0,0.0,1.0,0.0
157,acknowledge,0.0,1.0,0.0,0.0,0.0,5.0,0.0
158,aclu,2.0,0.0,0.0,0.0,0.0,0.0,0.0
159,acm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
160,acquire,2.0,0.0,0.0,0.0,0.0,0.0,0.0
161,acquisition,0.0,0.0,0.0,0.0,0.0,1.0,0.0
162,acrobat,0.0,0.0,0.0,0.0,0.0,2.0,0.0
163,across,5.0,17.0,2.0,0.0,9.0,0.0,2.0
164,across—and,0.0,2.0,0.0,0.0,0.0,0.0,0.0
165,act,0.0,4.0,0.0,0.0,0.0,5.0,0.0
166,action,20.0,19.0,21.0,0.0,1.0,0.0,21.0
167,actionoverview,2.0,0.0,0.0,0.0,0.0,0.0,0.0
168,actions,0.0,3.0,1.0,0.0,0.0,2.0,1.0
169,actiontag,0.0,2.0,1.0,0.0,0.0,0.0,1.0
170,activate,0.0,2.0,0.0,0.0,0.0,0.0,0.0
171,activated,0.0,0.0,0.0,0.0,0.0,1.0,0.0
172,activating,0.0,0.0,0.0,0.0,0.0,1.0,0.0
173,active,1.0,4.0,1.0,0.0,1.0,3.0,1.0
174,activelanguage,0.0,0.0,0.0,0.0,0.0,7.0,0.0
175,activelink,0.0,0.0,0.0,0.0,0.0,2.0,0.0
176,actively,2.0,0.0,0.0,0.0,0.0,1.0,0.0
177,activism,1.0,0.0,0.0,0.0,0.0,0.0,0.0
178,activist,0.0,1.0,0.0,0.0,0.0,0.0,0.0
179,activists,4.0,0.0,2.0,0.0,0.0,0.0,2.0
180,activities,1.0,5.0,0.0,0.0,0.0,1.0,0.0
181,activitiesallergy,0.0,0.0,0.0,0.0,1.0,0.0,0.0
182,activity,0.0,4.0,5.0,0.0,1.0,0.0,5.0
183,actrelayclinical,0.0,0.0,0.0,0.0,0.0,1.0,0.0
184,actually,0.0,23.0,0.0,0.0,0.0,0.0,0.0
185,adcreate,1.0,1.0,1.0,0.0,0.0,0.0,1.0
186,add,1.0,20.0,15.0,0.0,0.0,3.0,15.0
187,added,0.0,6.0,0.0,0.0,0.0,1.0,0.0
188,adding,0.0,0.0,0.0,0.0,0.0,1.0,0.0
189,addition,0.0,4.0,0.0,0.0,0.0,0.0,0.0
190,additional,2.0,24.0,6.0,0.0,0.0,2.0,6.0
191,addms,0.0,2.0,1.0,0.0,0.0,0.0,1.0
192,address,0.0,13.0,5.0,0.0,2.0,18.0,5.0
193,addresses,0.0,2.0,1.0,0.0,0.0,1.0,1.0
194,addressing,0.0,0.0,0.0,0.0,0.0,1.0,0.0
195,adds,0.0,16.0,5.0,0.0,0.0,1.0,5.0
196,adhere,0.0,1.0,1.0,0.0,0.0,1.0,1.0
197,adhesive,0.0,2.0,0.0,0.0,0.0,0.0,0.0
198,adjust,0.0,2.0,0.0,0.0,0.0,0.0,0.0
199,adjusted,0.0,2.0,0.0,0.0,0.0,0.0,0.0
200,adjustment,0.0,0.0,0.0,0.0,0.0,1.0,0.0
201,administer,1.0,0.0,0.0,0.0,0.0,0.0,0.0
202,administration,1.0,1.0,0.0,0.0,0.0,0.0,0.0
203,administrationnew,0.0,0.0,1.0,0.0,0.0,0.0,1.0
204,administrative,0.0,4.0,0.0,0.0,0.0,2.0,0.0
205,adobe,0.0,0.0,0.0,0.0,0.0,4.0,0.0
206,adoption,0.0,0.0,0.0,0.0,0.0,1.0,0.0
207,adorable,0.0,0.0,0.0,0.0,2.0,0.0,0.0
208,ads,1.0,8.0,3.0,0.0,4.0,0.0,3.0
209,adult,2.0,1.0,0.0,0.0,0.0,0.0,0.0
210,adults,0.0,2.0,0.0,0.0,0.0,0.0,0.0
211,advance,1.0,3.0,3.0,0.0,0.0,1.0,3.0
212,advanced,0.0,0.0,1.0,0.0,0.0,0.0,1.0
213,advances,6.0,1.0,1.0,0.0,0.0,0.0,1.0
214,advancing,0.0,0.0,2.0,0.0,0.0,0.0,2.0
215,advantage,0.0,2.0,0.0,0.0,0.0,0.0,0.0
216,advantages,0.0,11.0,0.0,0.0,0.0,0.0,0.0
217,advent,1.0,0.0,0.0,0.0,0.0,0.0,0.0
218,adverse,0.0,0.0,0.0,0.0,0.0,1.0,0.0
219,advertisement,0.0,1.0,0.0,0.0,0.0,0.0,0.0
220,advertisements,0.0,6.0,0.0,0.0,0.0,0.0,0.0
221,advertising,0.0,3.0,0.0,0.0,4.0,0.0,0.0
222,advice,0.0,3.0,0.0,0.0,0.0,0.0,0.0
223,advised,0.0,1.0,0.0,0.0,0.0,1.0,0.0
224,advocacy,2.0,15.0,15.0,0.0,0.0,0.0,15.0
225,advocate,2.0,2.0,1.0,0.0,0.0,0.0,1.0
226,advocates,2.0,5.0,0.0,0.0,0.0,0.0,0.0
227,aesthetic,0.0,1.0,0.0,0.0,0.0,0.0,0.0
228,aetna,0.0,1.0,1.0,0.0,0.0,0.0,1.0
229,aff,0.0,10.0,3.0,0.0,0.0,0.0,3.0
230,affect,1.0,19.0,0.0,0.0,2.0,1.0,0.0
231,affected,2.0,0.0,0.0,0.0,0.0,0.0,0.0
232,affecting,1.0,0.0,0.0,0.0,0.0,0.0,0.0
233,affects,0.0,0.0,0.0,0.0,0.0,1.0,0.0
234,affilate,0.0,4.0,2.0,0.0,0.0,0.0,2.0
235,affiliate,0.0,40.0,14.0,0.0,1.0,0.0,14.0
236,affiliatecode,0.0,4.0,2.0,0.0,0.0,0.0,2.0
237,affiliatecodelocation,0.0,2.0,1.0,0.0,0.0,0.0,1.0
238,affiliateid,0.0,8.0,4.0,0.0,0.0,0.0,4.0
239,affiliates,0.0,11.0,0.0,0.0,0.0,1.0,0.0
240,affiliation,0.0,2.0,1.0,0.0,0.0,0.0,1.0
241,affiliationsformspatient,0.0,0.0,0.0,0.0,0.0,1.0,0.0
242,affirm,0.0,2.0,0.0,0.0,0.0,0.0,0.0
243,affirmation,2.0,0.0,0.0,0.0,0.0,0.0,0.0
244,affirmationlow,1.0,0.0,0.0,0.0,0.0,0.0,0.0
245,affirming,0.0,1.0,0.0,0.0,0.0,0.0,0.0
246,affirms,0.0,1.0,0.0,0.0,0.0,0.0,0.0
247,affixed,0.0,1.0,0.0,0.0,0.0,0.0,0.0
248,afford,0.0,4.0,0.0,0.0,0.0,0.0,0.0
249,affordable,0.0,8.0,5.0,0.0,0.0,0.0,5.0
250,affordablearia,0.0,0.0,0.0,0.0,1.0,0.0,0.0
251,affordably,0.0,1.0,0.0,0.0,0.0,0.0,0.0
252,affs,0.0,3.0,0.0,0.0,0.0,0.0,0.0
253,afraid,0.0,4.0,0.0,0.0,0.0,0.0,0.0
254,africa,0.0,0.0,1.0,0.0,1.0,0.0,1.0
255,african,0.0,0.0,0.0,0.0,3.0,0.0,0.0
256,after,13.0,132.0,11.0,0.0,20.0,1.0,11.0
257,again,0.0,11.0,2.0,0.0,0.0,1.0,2.0
258,against,9.0,23.0,2.0,0.0,3.0,2.0,2.0
259,age,2.0,30.0,6.0,0.0,0.0,1.0,6.0
260,agencies,2.0,0.0,0.0,0.0,1.0,3.0,0.0
261,agency,0.0,4.0,0.0,0.0,0.0,0.0,0.0
262,agenda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
263,agent,0.0,19.0,5.0,0.0,0.0,0.0,5.0
264,aggregate,0.0,2.0,0.0,0.0,0.0,1.0,0.0
265,ago,1.0,42.0,41.0,0.0,0.0,0.0,41.0
266,agree,0.0,5.0,1.0,0.0,2.0,11.0,1.0
267,agreed,0.0,1.0,0.0,0.0,0.0,1.0,0.0
268,agreeing,0.0,2.0,0.0,0.0,0.0,2.0,0.0
269,agreement,0.0,1.0,0.0,0.0,2.0,5.0,0.0
270,agreements,0.0,0.0,0.0,0.0,0.0,1.0,0.0
271,ahead,1.0,2.0,0.0,0.0,0.0,1.0,0.0
272,ahref,0.0,2.0,0.0,0.0,0.0,0.0,0.0
273,aileen,1.0,0.0,0.0,0.0,0.0,0.0,0.0
274,aim,1.0,0.0,0.0,0.0,1.0,0.0,0.0
275,aims,0.0,0.0,0.0,0.0,1.0,0.0,0.0
276,air,1.0,8.0,0.0,0.0,2.0,0.0,0.0
277,ajax,0.0,0.0,0.0,0.0,0.0,2.0,0.0
278,ajaxenabled,0.0,0.0,0.0,0.0,0.0,2.0,0.0
279,aktiverlink,0.0,0.0,0.0,0.0,0.0,1.0,0.0
280,alabama,0.0,1.0,0.0,0.0,2.0,0.0,0.0
281,alabamaalaskaamerican,0.0,0.0,0.0,0.0,0.0,1.0,0.0
282,alcohol,0.0,2.0,0.0,0.0,0.0,0.0,0.0
283,alert,0.0,1.0,0.0,0.0,1.0,1.0,0.0
284,alerts,0.0,2.0,2.0,0.0,0.0,0.0,2.0
285,alertssafety,0.0,0.0,0.0,0.0,1.0,0.0,0.0
286,aligncontent,0.0,16.0,0.0,0.0,0.0,0.0,0.0
287,alive,0.0,0.0,0.0,0.0,1.0,0.0,0.0
288,all,19.0,197.0,27.0,0.0,4.0,53.0,27.0
289,allankers,0.0,0.0,0.0,0.0,0.0,1.0,0.0
290,alldivs,0.0,0.0,0.0,0.0,0.0,3.0,0.0
291,alleged,0.0,1.0,0.0,0.0,0.0,0.0,0.0
292,allegedly,0.0,2.0,0.0,0.0,0.0,0.0,0.0
293,allergens,0.0,0.0,0.0,0.0,1.0,0.0,0.0
294,allergic,0.0,26.0,0.0,0.0,0.0,0.0,0.0
295,allergies,0.0,0.0,0.0,0.0,2.0,0.0,0.0
296,allergy,0.0,0.0,0.0,0.0,3.0,0.0,0.0
297,alleviate,0.0,2.0,0.0,0.0,0.0,0.0,0.0
298,alliance,2.0,0.0,0.0,0.0,0.0,0.0,0.0
299,allied,0.0,1.0,0.0,0.0,0.0,0.0,0.0
300,allies,2.0,0.0,0.0,0.0,0.0,0.0,0.0
301,alliudimplantthe,0.0,1.0,0.0,0.0,0.0,0.0,0.0
302,allow,2.0,10.0,1.0,0.0,1.0,7.0,1.0
303,allowable,0.0,6.0,6.0,0.0,0.0,0.0,6.0
304,allowed,5.0,4.0,0.0,0.0,2.0,1.0,0.0
305,allowing,3.0,5.0,0.0,0.0,1.0,0.0,0.0
306,allows,2.0,8.0,3.0,0.0,0.0,3.0,3.0
307,almost,0.0,8.0,1.0,0.0,0.0,0.0,1.0
308,along,0.0,6.0,0.0,0.0,1.0,3.0,0.0
309,already,3.0,9.0,1.0,0.0,3.0,3.0,1.0
310,als,1.0,0.0,0.0,0.0,0.0,0.0,0.0
311,also,11.0,69.0,9.0,0.0,1.0,11.0,9.0
312,alternate,0.0,8.0,0.0,0.0,0.0,0.0,0.0
313,alternative,0.0,2.0,0.0,0.0,0.0,0.0,0.0
314,alternatives,0.0,0.0,0.0,0.0,0.0,1.0,0.0
315,alternet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
316,although,0.0,3.0,0.0,0.0,0.0,0.0,0.0
317,alton,1.0,0.0,0.0,0.0,0.0,0.0,0.0
318,always,0.0,30.0,8.0,0.0,0.0,2.0,8.0
319,amazing,0.0,1.0,1.0,0.0,4.0,0.0,1.0
320,amazon,2.0,0.0,0.0,0.0,0.0,0.0,0.0
321,amazonsmile,0.0,1.0,0.0,0.0,0.0,0.0,0.0
322,ambetter,0.0,0.0,1.0,0.0,0.0,0.0,0.0
323,amend,0.0,2.0,0.0,0.0,0.0,0.0,0.0
324,amended,0.0,1.0,0.0,0.0,0.0,0.0,0.0
325,amending,1.0,0.0,0.0,0.0,0.0,0.0,0.0
326,amendment,15.0,8.0,0.0,0.0,0.0,0.0,0.0
327,amenhorrea,0.0,2.0,0.0,0.0,0.0,0.0,0.0
328,america,3.0,8.0,6.0,0.0,0.0,0.0,6.0
329,america's,0.0,2.0,2.0,0.0,0.0,0.0,2.0
330,american,6.0,4.0,0.0,0.0,0.0,0.0,0.0
331,americans,1.0,0.0,0.0,0.0,0.0,0.0,0.0
332,americas,1.0,0.0,0.0,0.0,0.0,0.0,0.0
333,americasarmed,0.0,0.0,0.0,0.0,0.0,1.0,0.0
334,america’s,1.0,12.0,1.0,0.0,0.0,0.0,1.0
335,amerigroup,0.0,0.0,0.0,0.0,0.0,0.0,1.0
336,amid,11.0,0.0,0.0,0.0,0.0,0.0,0.0
337,among,1.0,2.0,0.0,0.0,0.0,0.0,0.0
338,amount,5.0,8.0,4.0,0.0,4.0,0.0,4.0
339,amounts,0.0,0.0,0.0,0.0,2.0,0.0,0.0
340,amy,1.0,0.0,0.0,0.0,0.0,0.0,0.0
341,anal,0.0,2.0,0.0,0.0,0.0,0.0,0.0
342,analysis,1.0,0.0,0.0,0.0,0.0,0.0,0.0
343,analystnyc,0.0,0.0,1.0,0.0,0.0,0.0,1.0
344,analytics,0.0,6.0,2.0,0.0,1.0,1.0,2.0
345,analyzing,0.0,2.0,0.0,0.0,0.0,0.0,0.0
346,anastasia,0.0,2.0,0.0,0.0,0.0,0.0,0.0
347,anatomy,0.0,2.0,2.0,0.0,0.0,0.0,2.0
348,anchor,0.0,0.0,0.0,0.0,0.0,5.0,0.0
349,anchorindex,0.0,0.0,0.0,0.0,0.0,1.0,0.0
350,android,0.0,0.0,0.0,0.0,5.0,0.0,0.0
351,andâ¯december,0.0,1.0,0.0,0.0,0.0,0.0,0.0
352,anesthesia,4.0,0.0,0.0,0.0,0.0,0.0,0.0
353,angeles,2.0,1.0,0.0,0.0,0.0,0.0,0.0
354,anillo,0.0,2.0,2.0,0.0,0.0,0.0,2.0
355,anniversary,3.0,2.0,0.0,0.0,0.0,0.0,0.0
356,announce,1.0,1.0,0.0,0.0,0.0,0.0,0.0
357,announced,0.0,1.0,0.0,0.0,0.0,0.0,0.0
358,announcements,0.0,1.0,1.0,0.0,0.0,0.0,1.0
359,announcementspatient,0.0,0.0,0.0,0.0,0.0,1.0,0.0
360,annovera,0.0,14.0,0.0,0.0,0.0,0.0,0.0
361,annual,14.0,14.0,4.0,0.0,4.0,0.0,4.0
362,anonymous,0.0,5.0,2.0,0.0,0.0,0.0,2.0
363,another,2.0,69.0,1.0,0.0,0.0,3.0,1.0
364,answer,1.0,4.0,1.0,0.0,0.0,1.0,1.0
365,answered,0.0,0.0,0.0,0.0,1.0,0.0,0.0
366,answering,0.0,2.0,2.0,0.0,0.0,0.0,2.0
367,answers,1.0,4.0,4.0,0.0,0.0,1.0,4.0
368,antiabortion,1.0,0.0,0.0,0.0,0.0,0.0,0.0
369,antibiotic,0.0,4.0,0.0,0.0,0.0,0.0,0.0
370,antibiotics,0.0,1.0,0.0,0.0,0.0,0.0,0.0
371,anticonceptivo,0.0,1.0,1.0,0.0,0.0,0.0,1.0
372,anxious,1.0,0.0,0.0,0.0,0.0,0.0,0.0
373,any,16.0,137.0,16.0,0.0,15.0,74.0,17.0
374,anyone,0.0,7.0,0.0,0.0,2.0,3.0,0.0
375,anyone's,0.0,0.0,0.0,0.0,0.0,1.0,0.0
376,anything,0.0,6.0,1.0,0.0,0.0,4.0,1.0
377,anytime,0.0,0.0,0.0,0.0,0.0,0.0,1.0
378,anywhere,0.0,6.0,0.0,0.0,0.0,0.0,0.0
379,api,0.0,2.0,1.0,0.0,0.0,0.0,1.0
380,apocalypse,0.0,0.0,0.0,0.0,2.0,0.0,0.0
381,apointment,0.0,1.0,0.0,0.0,0.0,0.0,0.0
382,apologize,0.0,1.0,0.0,0.0,0.0,0.0,0.0
383,app,0.0,25.0,8.0,0.0,4.0,0.0,8.0
384,apparel,0.0,0.0,1.0,0.0,0.0,0.0,1.0
385,appeal,1.0,0.0,0.0,0.0,0.0,0.0,0.0
386,appealed,0.0,1.0,0.0,0.0,0.0,0.0,0.0
387,appeals,3.0,0.0,0.0,0.0,0.0,0.0,0.0
388,appear,0.0,4.0,2.0,0.0,0.0,3.0,2.0
389,appeared,0.0,0.0,0.0,0.0,1.0,0.0,0.0
390,appears,0.0,1.0,0.0,0.0,1.0,1.0,0.0
391,append,0.0,2.0,0.0,0.0,0.0,5.0,0.0
392,appendcsrftokentourl,0.0,0.0,0.0,0.0,0.0,1.0,0.0
393,appending,0.0,0.0,0.0,0.0,0.0,1.0,0.0
394,appends,0.0,4.0,2.0,0.0,0.0,0.0,2.0
395,appetite,0.0,2.0,0.0,0.0,0.0,0.0,0.0
396,applauded,0.0,1.0,0.0,0.0,0.0,0.0,0.0
397,apple,0.0,3.0,0.0,0.0,0.0,0.0,0.0
398,apple's,0.0,3.0,0.0,0.0,0.0,0.0,0.0
399,apple’s,0.0,1.0,0.0,0.0,0.0,0.0,0.0
400,applicable,0.0,1.0,0.0,0.0,0.0,3.0,0.0
401,applicant,0.0,0.0,1.0,0.0,0.0,0.0,1.0
402,application,0.0,2.0,0.0,0.0,2.0,2.0,0.0
403,applications,0.0,3.0,0.0,0.0,0.0,0.0,0.0
404,applicator,0.0,4.0,0.0,0.0,0.0,0.0,0.0
405,applies,0.0,1.0,0.0,0.0,0.0,0.0,0.0
406,apply,0.0,7.0,1.0,0.0,0.0,4.0,1.0
407,applying,0.0,1.0,0.0,0.0,0.0,0.0,0.0
408,appointment,92.0,36.0,11.0,0.0,2.0,8.0,14.0
409,appointmentpayment,11.0,0.0,0.0,0.0,0.0,0.0,0.0
